;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;122;oxidane;O
1;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;48;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
2;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;47;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
3;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;29;methylbenzene;Cc1ccccc1
4;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;28;octane;CCCCCCCC
5;InChIKey=GLDOVTGHNKAZLK-UHFFFAOYSA-N;25;Octadecan-1-ol;CCCCCCCCCCCCCCCCCCO
6;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;24;BENZENE;c1ccccc1
7;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;23;Methoxymethane;COC
8;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;22;Decane;CCCCCCCCCC
9;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;22;1,4-Dimethylbenzene;Cc1ccc(C)cc1
10;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;22;Hexane;CCCCCC
11;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;21;PROPANE;CCC
12;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;21;BUTANE;CCCC
13;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;21;2-Methylpropane;CC(C)C
14;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;19;1,2-Dimethylbenzene;Cc1ccccc1C
15;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;18;2-Methoxyethanol;COCCO
16;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;18;1,3-Dimethylbenzene;Cc1cccc(C)c1
17;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;16;2-Methylbutan-2-ol;CCC(C)(C)O
18;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;16;ethanol;CCO
19;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;15;2-Methylbutan-1-ol;CCC(C)CO
20;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;15;3-Methylbutan-1-ol;CC(C)CCO
21;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;13;Propane-1,3-diol;OCCCO
22;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;13;Butan-1-ol;CCCCO
23;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;13;pentan-2-ol;CCCC(C)O
24;InChIKey=LQZZUXJYWNFBMV-UHFFFAOYSA-N;12;dodecan-1-ol;CCCCCCCCCCCCO
25;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;11;Pentan-3-ol;CCC(O)CC
26;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;11;Propan-1-ol;CCCO
27;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;11;Nonane;CCCCCCCCC
28;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;10;3-Methylbutan-2-ol;CC(C)C(C)O
29;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;10;PROPANE-1,2-DIOL;CC(O)CO
30;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;10;methanol;CO
31;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;10;PROPANE-1,2,3-TRIOL;OCC(O)CO
32;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;9;FURAN;o1cccc1
33;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;9;DECAN-1-OL;CCCCCCCCCCO
34;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;8;Ethylbenzene;CCc1ccccc1
35;InChIKey=HLZKNKRTKFSKGZ-UHFFFAOYSA-N;8;tetradecan-1-ol;CCCCCCCCCCCCCCO
36;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;8;HEPTANE;CCCCCCC
37;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;7;Cyclohexane;C1CCCCC1
38;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;7;;C1CCCCCCC1
39;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;6;Propan-2-ol;CC(C)O
40;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;6;Ethane-1,2-diol;OCCO
41;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;6;Pentane;CCCCC
42;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;6;Cyclopentane;C1CCCC1
43;InChIKey=DMEGYFMYUHOHGS-UHFFFAOYSA-N;6;Cycloheptane;C1CCCCCC1
44;InChIKey=QWVGKYWNOKOFNN-UHFFFAOYSA-N;4;2-Methylphenol;Cc1ccccc1O
45;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;4;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
46;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;4;2-Methoxy-2-methylpropane;COC(C)(C)C
47;InChIKey=RLSSMJSEOOYNOY-UHFFFAOYSA-N;4;3-methylphenol;Cc1cccc(O)c1
48;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;4;2-Methoxy-2-methylbutane;CCC(C)(C)OC
49;InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N;4;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC
50;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;3;Undecane;CCCCCCCCCCC
51;InChIKey=UFWIBTONFRDIAS-UHFFFAOYSA-N;2;NAPHTHALENE;c1ccc2ccccc2c1
52;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;1;Methylcyclohexane;CC1CCCCC1
53;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;1;Methylcyclopentane;CC1CCCC1
54;InChIKey=HFPZCAJZSCWRBC-UHFFFAOYSA-N;1;1-methyl-4-propan-2-ylbenzene;CC(C)c1ccc(C)cc1
