;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;122;oxidane;O
7;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;23;Methoxymethane;COC
10;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;22;Hexane;CCCCCC
11;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;21;PROPANE;CCC
12;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;21;BUTANE;CCCC
13;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;21;2-Methylpropane;CC(C)C
15;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;18;2-Methoxyethanol;COCCO
17;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;16;2-Methylbutan-2-ol;CCC(C)(C)O
18;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;16;ethanol;CCO
19;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;15;2-Methylbutan-1-ol;CCC(C)CO
20;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;15;3-Methylbutan-1-ol;CC(C)CCO
22;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;13;Butan-1-ol;CCCCO
23;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;13;pentan-2-ol;CCCC(C)O
26;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;11;Propan-1-ol;CCCO
28;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;10;3-Methylbutan-2-ol;CC(C)C(C)O
30;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;10;methanol;CO
36;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;8;HEPTANE;CCCCCCC
37;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;7;Cyclohexane;C1CCCCC1
38;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;7;;C1CCCCCCC1
39;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;6;Propan-2-ol;CC(C)O
41;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;6;Pentane;CCCCC
42;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;6;Cyclopentane;C1CCCC1
43;InChIKey=DMEGYFMYUHOHGS-UHFFFAOYSA-N;6;Cycloheptane;C1CCCCCC1
45;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;4;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
48;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;4;2-Methoxy-2-methylbutane;CCC(C)(C)OC
52;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;1;Methylcyclohexane;CC1CCCCC1
53;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;1;Methylcyclopentane;CC1CCCC1
