;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;276;oxidane;O
1;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;113;methylbenzene;Cc1ccccc1
2;InChIKey=QFTYSVGGYOXFRQ-UHFFFAOYSA-N;108;dodecane-1,12-diamine;NCCCCCCCCCCCCN
3;InChIKey=POULHZVOKOAJMA-UHFFFAOYSA-N;104;Dodecanoic acid;CCCCCCCCCCCC(O)=O
4;InChIKey=TUNFSRHWOTWDNC-UHFFFAOYSA-N;103;Tetradecanoic acid;CCCCCCCCCCCCCC(O)=O
5;InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N;89;Decanoic acid;CCCCCCCCCC(O)=O
6;InChIKey=YQLZOAVZWJBZSY-UHFFFAOYSA-N;78;decane-1,10-diamine;NCCCCCCCCCCN
7;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;77;BENZENE;c1ccccc1
8;InChIKey=QIQXTHQIDYTFRH-UHFFFAOYSA-N;76;Octadecanoic acid;CCCCCCCCCCCCCCCCCC(O)=O
9;InChIKey=SECXISVLQFMRJM-UHFFFAOYSA-N;76;1-methylpyrrolidin-2-one;CN1CCCC1=O
10;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;73;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
11;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;72;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
12;InChIKey=LCEDQNDDFOCWGG-UHFFFAOYSA-N;72;;O=CN1CCOCC1
13;InChIKey=OYHQOLUKZRVURQ-HZJYTTRNSA-N;71;(9Z,12Z)-octadeca-9,12-dienoic acid;CCCCC/C=C\C\C=C/CCCCCCCC(O)=O
14;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;68;1,4-Dimethylbenzene;Cc1ccc(C)cc1
15;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;66;Hexane;CCCCCC
16;InChIKey=ZQPPMHVWECSIRJ-KTKRTIGZSA-N;66;(Z)-Octadec-9-enoic acid;CCCCCCCC\C=C/CCCCCCCC(O)=O
17;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;62;ethanol;CCO
18;InChIKey=IPCSVZSSVZVIGE-UHFFFAOYSA-N;62;Hexadecanoic acid;CCCCCCCCCCCCCCCC(O)=O
19;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;61;Propan-1-ol;CCCO
20;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;58;1,2-Dimethylbenzene;Cc1ccccc1C
21;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;58;HEPTANE;CCCCCCC
22;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;56;1,3-Dimethylbenzene;Cc1cccc(C)c1
23;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;54;methanol;CO
24;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;53;Butan-1-ol;CCCCO
25;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;52;Ethylbenzene;CCc1ccccc1
26;InChIKey=GLDOVTGHNKAZLK-UHFFFAOYSA-N;50;Octadecan-1-ol;CCCCCCCCCCCCCCCCCCO
27;InChIKey=HXJUTPCZVOIRIF-UHFFFAOYSA-N;50;thiolane 1,1-dioxide;O=[S]1(=O)CCCC1
28;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;49;Cyclohexane;C1CCCCC1
29;InChIKey=XEKOWRVHYACXOJ-UHFFFAOYSA-N;48;Ethyl acetate;CCOC(C)=O
30;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;48;octane;CCCCCCCC
31;InChIKey=LIKMAJRDDDTEIG-UHFFFAOYSA-N;47;hex-1-ene;CCCCC=C
32;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;44;Propan-2-ol;CC(C)O
33;InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N;40;Ethenylbenzene;C=Cc1ccccc1
34;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;35;Decane;CCCCCCCCCC
35;InChIKey=MVPPADPHJFYWMZ-UHFFFAOYSA-N;33;Chlorobenzene;Clc1ccccc1
36;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;31;propan-2-one;CC(C)=O
37;InChIKey=HEDRZPFGACZZDS-UHFFFAOYSA-N;30;Chloroform;ClC(Cl)Cl
38;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;28;Methoxybenzene;COc1ccccc1
39;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;28;Methoxymethane;COC
40;InChIKey=HRYZWHHZPQKTII-UHFFFAOYSA-N;28;Chloroethane;CCCl
41;InChIKey=XSTXAVWGXDQKEL-UHFFFAOYSA-N;26;1,1,2-trichloroethene;ClC=C(Cl)Cl
42;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;25;2-Methoxyethanol;COCCO
43;InChIKey=KAKZBPTYRLMSJV-UHFFFAOYSA-N;24;Buta-1,3-diene;C=CC=C
44;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;24;BUTANE;CCCC
