;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;276;oxidane;O
15;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;66;Hexane;CCCCCC
17;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;62;ethanol;CCO
19;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;61;Propan-1-ol;CCCO
21;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;58;HEPTANE;CCCCCCC
23;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;54;methanol;CO
24;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;53;Butan-1-ol;CCCCO
28;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;49;Cyclohexane;C1CCCCC1
32;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;44;Propan-2-ol;CC(C)O
39;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;28;Methoxymethane;COC
42;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;25;2-Methoxyethanol;COCCO
44;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;24;BUTANE;CCCC
48;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;24;PROPANE;CCC
52;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;24;2-Methylpropane;CC(C)C
56;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;22;2-Methylheptane;CCCCCC(C)C
59;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;20;Butan-2-ol;CCC(C)O
67;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;16;Pentane;CCCCC
68;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;16;2-Methylbutan-2-ol;CCC(C)(C)O
70;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;15;2-Methylbutan-1-ol;CCC(C)CO
71;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;15;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
72;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;15;3-Methylbutan-1-ol;CC(C)CCO
73;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;15;;C1CCCCCCC1
78;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;13;pentan-2-ol;CCCC(C)O
84;InChIKey=DMEGYFMYUHOHGS-UHFFFAOYSA-N;12;Cycloheptane;C1CCCCCC1
86;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;12;Cyclopentane;C1CCCC1
92;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;10;3-Methylbutan-2-ol;CC(C)C(C)O
97;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;8;Methylcyclohexane;CC1CCCCC1
108;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;7;Ethoxyethane;CCOCC
122;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;4;2-Methoxy-2-methylbutane;CCC(C)(C)OC
124;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;4;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
131;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;2;Methylcyclopentane;CC1CCCC1
140;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;1;Pentan-1-ol;CCCCCO
141;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;1;HEXAN-1-OL;CCCCCCO
