;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;26397;oxidane;O
1;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;9153;ethanol;CCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;8557;HEPTANE;CCCCCCC
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;6527;Butan-1-ol;CCCCO
4;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;5684;Propan-1-ol;CCCO
5;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;5195;2-Methoxy-2-methylpropane;COC(C)(C)C
6;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;4964;methylbenzene;Cc1ccccc1
7;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;4861;octane;CCCCCCCC
8;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;4707;Decane;CCCCCCCCCC
9;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;4512;Cyclohexane;C1CCCCC1
10;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;4255;BENZENE;c1ccccc1
11;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;3800;Propan-2-ol;CC(C)O
12;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;3788;Hexane;CCCCCC
13;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;3575;methanol;CO
14;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;2880;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
15;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;2543;Methylcyclohexane;CC1CCCCC1
16;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;2477;1-Butoxybutane;CCCCOCCCC
17;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;2437;1,4-Dimethylbenzene;Cc1ccc(C)cc1
18;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;2336;Nonane;CCCCCCCCC
19;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;2264;2-Methylpropan-2-ol;CC(C)(C)O
20;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;2103;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
21;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;2006;HEXAN-1-OL;CCCCCCO
22;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;2006;2-Butoxyethanol;CCCCOCCO
23;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;1971;OCTAN-1-OL;CCCCCCCCO
24;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;1936;Heptan-1-ol;CCCCCCCO
25;InChIKey=DCAYPVUWAIABOU-UHFFFAOYSA-N;1896;HEXADECANE;CCCCCCCCCCCCCCCC
26;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;1894;DECAN-1-OL;CCCCCCCCCCO
27;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;1894;Ethane-1,2-diol;OCCO
28;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;1815;1,2-Dimethylbenzene;Cc1ccccc1C
29;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1739;Butane-1,4-diol;OCCCCO
30;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;1734;1,3-Dimethylbenzene;Cc1cccc(C)c1
31;InChIKey=SNRUBQQJIBEYMU-UHFFFAOYSA-N;1726;Dodecane;CCCCCCCCCCCC
32;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;1708;Ethylbenzene;CCc1ccccc1
33;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;1655;Pentan-1-ol;CCCCCO
34;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;1618;Nonan-1-ol;CCCCCCCCCO
35;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;1609;1-(2-methoxyethoxy)-2-[2-(2-methoxyethoxy)ethoxy]ethane;COCCOCCOCCOCCOC
36;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;1479;PROPANE-1,2-DIOL;CC(O)CO
37;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;1450;Oxolane;C1CCOC1
38;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;1415;2-Methoxyethanol;COCCO
39;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;1239;Methoxybenzene;COc1ccccc1
40;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;1196;PROPANE-1,2,3-TRIOL;OCC(O)CO
41;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;1181;Propane-1,3-diol;OCCCO
42;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;1147;1,2-Dimethoxyethane;COCCOC
43;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;1084;1,4-Dioxane;C1COCCO1
44;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;1052;phenylmethanol;OCc1ccccc1
45;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;1021;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
46;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;1013;2-Methylpropan-1-ol;CC(C)CO
47;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;1011;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
48;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;921;Cyclopentane;C1CCCC1
49;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;910;PROPANE;CCC
50;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;897;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
51;InChIKey=PRAKJMSDJKAYCZ-UHFFFAOYSA-N;892;2,6,10,15,19,23-Hexamethyltetracosane;CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
52;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;877;2-Methylpropane;CC(C)C
53;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;873;2-Ethoxyethanol;CCOCCO
54;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;859;2-Methylbutan-2-ol;CCC(C)(C)O
55;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;851;2-Methylheptane;CCCCCC(C)C
56;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;841;butane-1,2-diol;CCC(O)CO
57;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;823;BUTANE;CCCC
58;InChIKey=GZMAAYIALGURDQ-UHFFFAOYSA-N;819;2-(2-hexoxyethoxy)ethanol;CCCCCCOCCOCCO
59;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;775;Undecane;CCCCCCCCCCC
60;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;706;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
61;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;700;2-propan-2-yloxypropane;CC(C)OC(C)C
62;InChIKey=AUHZEENZYGFFBQ-UHFFFAOYSA-N;698;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1
63;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;666;2-PHENYLETHANOL;OCCc1ccccc1
64;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;656;Butane-1,3-diol;CC(O)CCO
65;InChIKey=WEEGYLXZBRQIMU-WAAGHKOSSA-N;600;4,7,7-trimethyl-8-oxabicyclo[2.2.2]octane;CC12CCC(CC1)C(C)(C)O2
66;InChIKey=SXFJDZNJHVPHPH-UHFFFAOYSA-N;592;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO
67;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;580;1,2-Bis(2-methoxyethoxy)ethane;COCCOCCOCCOC
68;InChIKey=WXZMFSXDPGVJKK-UHFFFAOYSA-N;556;2,2-bis(hydroxymethyl)propane-1,3-diol;OCC(CO)(CO)CO
69;InChIKey=JVZZUPJFERSVRN-UHFFFAOYSA-N;554;2-Methyl-2-propylpropane-1,3-diol;CCCC(C)(CO)CO
70;InChIKey=XRVCFZPJAHWYTB-UHFFFAOYSA-N;551;2,2-Diethylpropane-1,3-diol;CCC(CC)(CO)CO
71;InChIKey=ALQSHHUCVQOPAS-UHFFFAOYSA-N;545;Pentane-1,5-diol;OCCCCCO
72;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;528;pentan-2-ol;CCCC(C)O
73;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;519;Pentane;CCCCC
