;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;26397;oxidane;O
1;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;9153;ethanol;CCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;8557;HEPTANE;CCCCCCC
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;6527;Butan-1-ol;CCCCO
4;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;5684;Propan-1-ol;CCCO
9;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;4512;Cyclohexane;C1CCCCC1
11;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;3800;Propan-2-ol;CC(C)O
12;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;3788;Hexane;CCCCCC
13;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;3575;methanol;CO
14;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;2880;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
15;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;2543;Methylcyclohexane;CC1CCCCC1
19;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;2264;2-Methylpropan-2-ol;CC(C)(C)O
20;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;2103;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
21;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;2006;HEXAN-1-OL;CCCCCCO
33;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;1655;Pentan-1-ol;CCCCCO
37;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;1450;Oxolane;C1CCOC1
38;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;1415;2-Methoxyethanol;COCCO
43;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;1084;1,4-Dioxane;C1COCCO1
45;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;1021;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
46;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;1013;2-Methylpropan-1-ol;CC(C)CO
48;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;921;Cyclopentane;C1CCCC1
49;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;910;PROPANE;CCC
52;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;877;2-Methylpropane;CC(C)C
53;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;873;2-Ethoxyethanol;CCOCCO
54;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;859;2-Methylbutan-2-ol;CCC(C)(C)O
55;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;851;2-Methylheptane;CCCCCC(C)C
57;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;823;BUTANE;CCCC
61;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;700;2-propan-2-yloxypropane;CC(C)OC(C)C
66;InChIKey=SXFJDZNJHVPHPH-UHFFFAOYSA-N;592;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO
72;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;528;pentan-2-ol;CCCC(C)O
73;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;519;Pentane;CCCCC
74;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;511;Butan-2-ol;CCC(C)O
80;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;470;1,3-DIOXOLANE;C1COCO1
81;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;463;1-Propoxypropan-2-ol;CCCOCC(C)O
84;InChIKey=SLCVBVWXLSEKPL-UHFFFAOYSA-N;440;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO
86;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;422;;C1CCCCCCC1
89;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;380;2-Propoxyethanol;CCCOCCO
98;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;313;3-Methylbutan-1-ol;CC(C)CCO
104;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;276;2,2-dimethylpropan-1-ol;CC(C)(C)CO
108;InChIKey=QWGRWMMWNDWRQN-UHFFFAOYSA-N;263;2-Methylpropane-1,3-diol;CC(CO)CO
109;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;260;2-Methylbutan-1-ol;CCC(C)CO
115;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;224;2-Methyloxolane;CC1CCCO1
126;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;180;2-Methoxy-2-methylbutane;CCC(C)(C)OC
128;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;177;hexan-2-ol;CCCCC(C)O
138;InChIKey=DHKHKXVYLBGOIT-UHFFFAOYSA-N;152;1,1-Diethoxyethane;CCOC(C)OCC
141;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;129;heptan-2-ol;CCCCCC(C)O
146;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;118;Methoxymethane;COC
154;InChIKey=HHAPGMVKBLELOE-UHFFFAOYSA-N;90;2-(2-Methylpropoxy)ethanol;CC(C)COCCO
159;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;79;1-propoxypropane;CCCOCCC
162;InChIKey=VNWKTOKETHGBQD-UHFFFAOYSA-N;67;methane;C
163;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;66;ETHANE;CC
169;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;63;2,3-Dimethylbutane;CC(C)C(C)C
171;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;62;2,2-Dimethylbutane;CCC(C)(C)C
178;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;45;Ethoxyethane;CCOCC
188;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;36;2-propan-2-yloxyethanol;CC(C)OCCO
202;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;19;2-Methylpentane;CCCC(C)C
203;InChIKey=PFEOZHBOMNWTJB-UHFFFAOYSA-N;19;3-Methylpentane;CCC(C)CC
205;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;18;3-Methylbutan-2-ol;CC(C)C(C)O
211;InChIKey=DMEGYFMYUHOHGS-UHFFFAOYSA-N;7;Cycloheptane;C1CCCCCC1
222;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;1;Methylcyclopentane;CC1CCCC1
