;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;57675;oxidane;O
1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;17203;HEPTANE;CCCCCCC
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;16395;ethanol;CCO
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;12187;Butan-1-ol;CCCCO
4;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;11524;Propan-1-ol;CCCO
7;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;8778;methanol;CO
8;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;8423;Cyclohexane;C1CCCCC1
9;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;7704;Propan-2-ol;CC(C)O
10;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;7603;Hexane;CCCCCC
16;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;5743;HEXAN-1-OL;CCCCCCO
19;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;4117;2-Methylpropan-2-ol;CC(C)(C)O
26;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;3627;Pentan-1-ol;CCCCCO
30;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;3125;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
33;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;3099;Oxolane;C1CCOC1
39;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;2833;Methylcyclohexane;CC1CCCCC1
40;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;2803;2-Methylpropan-1-ol;CC(C)CO
42;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;2716;1,4-Dioxane;C1COCCO1
47;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;2512;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
49;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;2329;2-propan-2-yloxypropane;CC(C)OC(C)C
52;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;2143;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
71;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;1715;2-Methoxyethanol;COCCO
