;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;12690;oxidane;O
1;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;4710;ethanol;CCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;3493;HEPTANE;CCCCCCC
3;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;3295;Propan-1-ol;CCCO
4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;3277;Butan-1-ol;CCCCO
5;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;3184;octane;CCCCCCCC
6;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;2705;methylbenzene;Cc1ccccc1
7;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;2568;Cyclohexane;C1CCCCC1
8;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;2520;Propan-2-ol;CC(C)O
9;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2321;2-Methoxy-2-methylpropane;COC(C)(C)C
10;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;2314;BENZENE;c1ccccc1
11;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;2270;Decane;CCCCCCCCCC
12;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;1719;Nonane;CCCCCCCCC
13;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;1478;Methylcyclohexane;CC1CCCCC1
14;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;1435;2-Methylpropan-2-ol;CC(C)(C)O
15;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;1430;Heptan-1-ol;CCCCCCCO
16;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;1370;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
17;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;1327;1-Butoxybutane;CCCCOCCCC
18;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;1307;1,4-Dimethylbenzene;Cc1ccc(C)cc1
19;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;1184;methanol;CO
20;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;1157;OCTAN-1-OL;CCCCCCCCO
21;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;1153;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
22;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;1105;HEXAN-1-OL;CCCCCCO
23;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;860;PROPANE-1,2,3-TRIOL;OCC(O)CO
24;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;858;Pentan-1-ol;CCCCCO
25;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;851;2-Butoxyethanol;CCCCOCCO
26;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;817;DECAN-1-OL;CCCCCCCCCCO
27;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;777;Nonan-1-ol;CCCCCCCCCO
28;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;732;Hexane;CCCCCC
29;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;711;1,2-Dimethylbenzene;Cc1ccccc1C
30;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;708;1,3-Dimethylbenzene;Cc1cccc(C)c1
31;InChIKey=PRAKJMSDJKAYCZ-UHFFFAOYSA-N;673;2,6,10,15,19,23-Hexamethyltetracosane;CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
32;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;669;PROPANE-1,2-DIOL;CC(O)CO
33;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;615;Ethane-1,2-diol;OCCO
34;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;588;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
35;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;565;2-Methoxyethanol;COCCO
36;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;542;Ethylbenzene;CCc1ccccc1
37;InChIKey=SNRUBQQJIBEYMU-UHFFFAOYSA-N;537;Dodecane;CCCCCCCCCCCC
38;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;505;Oxolane;C1CCOC1
39;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;488;1,2-Dimethoxyethane;COCCOC
40;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;483;2-Methylpropan-1-ol;CC(C)CO
41;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;483;Pentane;CCCCC
42;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;466;Methoxybenzene;COc1ccccc1
43;InChIKey=GZMAAYIALGURDQ-UHFFFAOYSA-N;464;2-(2-hexoxyethoxy)ethanol;CCCCCCOCCOCCO
44;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;442;Butane-1,4-diol;OCCCCO
45;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;413;2-Methylheptane;CCCCCC(C)C
46;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;412;Cyclopentane;C1CCCC1
47;InChIKey=DCAYPVUWAIABOU-UHFFFAOYSA-N;411;HEXADECANE;CCCCCCCCCCCCCCCC
48;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;406;Propane-1,3-diol;OCCCO
49;InChIKey=WEEGYLXZBRQIMU-WAAGHKOSSA-N;364;4,7,7-trimethyl-8-oxabicyclo[2.2.2]octane;CC12CCC(CC1)C(C)(C)O2
50;InChIKey=LPSXSORODABQKT-UHFFFAOYSA-N;352;;C1CC2C3CCC(C3)C2C1
51;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;349;2-PHENYLETHANOL;OCCc1ccccc1
52;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;332;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
53;InChIKey=QXJQHYBHAIHNGG-UHFFFAOYSA-N;324;2-(hydroxymethyl)-2-methylpropane-1,3-diol;CC(CO)(CO)CO
54;InChIKey=SBASXUCJHJRPEV-UHFFFAOYSA-N;320;2-(2-Methoxyethoxy)ethanol;COCCOCCO
55;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;318;1-Propoxypropan-2-ol;CCCOCC(C)O
56;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;300;phenylmethanol;OCc1ccccc1
57;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;289;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
58;InChIKey=XCIXKGXIYUWCLL-UHFFFAOYSA-N;287;Cyclopentanol;OC1CCCC1
59;InChIKey=AUHZEENZYGFFBQ-UHFFFAOYSA-N;285;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1
60;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;280;Cyclohexanol;OC1CCCCC1
61;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;278;butane-1,2-diol;CCC(O)CO
62;InChIKey=NNBZCPXTIHJBJL-MGCOHNPYSA-N;278;;C1CC[C@H]2CCCC[C@@H]2C1
63;InChIKey=NNBZCPXTIHJBJL-AOOOYVTPSA-N;278;;C1CC[C@@H]2CCCC[C@@H]2C1
64;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;271;;C1CCCCCCC1
65;InChIKey=ZJCCRDAZUWHFQH-UHFFFAOYSA-N;270;2-ethyl-2-(hydroxymethyl)propane-1,3-diol;CCC(CO)(CO)CO
66;InChIKey=ALQSHHUCVQOPAS-UHFFFAOYSA-N;269;Pentane-1,5-diol;OCCCCCO
67;InChIKey=ZUOUZKKEUPVFJK-UHFFFAOYSA-N;260;Phenylbenzene;c1ccc(cc1)c2ccccc2
68;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;257;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
69;InChIKey=XXMIOPMDWAUFGU-UHFFFAOYSA-N;255;HEXANE-1,6-DIOL;OCCCCCCO
70;InChIKey=KJIOQYGWTQBHNH-UHFFFAOYSA-N;253;undecan-1-ol;CCCCCCCCCCCO
71;InChIKey=USIUVYZYUHIAEV-UHFFFAOYSA-N;250;Phenoxybenzene;O(c1ccccc1)c2ccccc2
72;InChIKey=WXZMFSXDPGVJKK-UHFFFAOYSA-N;249;2,2-bis(hydroxymethyl)propane-1,3-diol;OCC(CO)(CO)CO
73;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;248;2-Methylbutan-2-ol;CCC(C)(C)O
74;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;241;1,4-Dioxane;C1COCCO1
75;InChIKey=RWNUSVWFHDHRCJ-UHFFFAOYSA-N;240;1-Butoxypropan-2-ol;CCCCOCC(C)O
76;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;235;3-Methylbutan-1-ol;CC(C)CCO
77;InChIKey=LQZZUXJYWNFBMV-UHFFFAOYSA-N;227;dodecan-1-ol;CCCCCCCCCCCCO
78;InChIKey=QCRFMSUKWRQZEM-UHFFFAOYSA-N;222;Cycloheptanol;OC1CCCCCC1
79;InChIKey=OEIJHBUUFURJLI-UHFFFAOYSA-N;220;Octane-1,8-diol;OCCCCCCCCO
80;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;218;Butane-1,3-diol;CC(O)CCO
81;InChIKey=WMYINDVYGQKYMI-UHFFFAOYSA-N;214;2-[2,2-bis(hydroxymethyl)butoxymethyl]-2-ethylpropane-1,3-diol;CCC(CO)(CO)COCC(CC)(CO)CO
82;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;213;2,2-dimethylpropan-1-ol;CC(C)(C)CO
83;InChIKey=ALVZNPYWJMLXKV-UHFFFAOYSA-N;213;nonane-1,9-diol;OCCCCCCCCCO
84;InChIKey=QWGRWMMWNDWRQN-UHFFFAOYSA-N;209;2-Methylpropane-1,3-diol;CC(CO)CO
85;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;204;1,3-DIOXOLANE;C1COCO1
86;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;202;Butan-2-ol;CCC(C)O
87;InChIKey=KXUHSQYYJYAXGZ-UHFFFAOYSA-N;200;2-methylpropylbenzene;CC(C)Cc1ccccc1
88;InChIKey=LZDKZFUFMNSQCJ-UHFFFAOYSA-N;196;1,2-Diethoxyethane;CCOCCOCC
89;InChIKey=OAYXUHPQHDHDDZ-UHFFFAOYSA-N;193;2-(2-Butoxyethoxy)ethanol;CCCCOCCOCCO
90;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;190;2-Propoxyethanol;CCCOCCO
91;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;186;1-(2-methoxyethoxy)-2-[2-(2-methoxyethoxy)ethoxy]ethane;COCCOCCOCCOCCOC
92;InChIKey=VSSAZBXXNIABDN-UHFFFAOYSA-N;176;Cyclohexylmethanol;OCC1CCCCC1
93;InChIKey=QJQZRLXDLORINA-UHFFFAOYSA-N;175;2-Cyclohexylethanol;OCCC1CCCCC1
94;InChIKey=KLKFAASOGCDTDT-UHFFFAOYSA-N;173;ethoxymethoxyethane;CCOCOCC
95;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;173;2-Methylbutan-1-ol;CCC(C)CO
96;InChIKey=IWDCLRJOBJJRNH-UHFFFAOYSA-N;164;4-Methylphenol;Cc1ccc(O)cc1
97;InChIKey=RLSSMJSEOOYNOY-UHFFFAOYSA-N;164;3-methylphenol;Cc1cccc(O)c1
98;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;163;BUTANE;CCCC
99;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;157;PROPANE;CCC
100;InChIKey=FHADSMKORVFYOS-UHFFFAOYSA-N;156;Cyclooctanol;OC1CCCCCCC1
101;InChIKey=SLCVBVWXLSEKPL-UHFFFAOYSA-N;156;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO
102;InChIKey=GHMLBKRAJCXXBS-UHFFFAOYSA-N;142;benzene-1,3-diol;Oc1cccc(O)c1
103;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;139;;OC[C@H](O)[C@H](O)[C@H](O)CO
104;InChIKey=SXFJDZNJHVPHPH-UHFFFAOYSA-N;138;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO
105;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;136;2-Methoxy-2-methylbutane;CCC(C)(C)OC
106;InChIKey=RRQYJINTUHWNHW-UHFFFAOYSA-N;135;1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE;CCOCCOCCOCC
107;InChIKey=RZJRJXONCZWCBN-UHFFFAOYSA-N;130;Octadecane;CCCCCCCCCCCCCCCCCC
108;InChIKey=JLGLQAWTXXGVEM-UHFFFAOYSA-N;129;2-[2-(2-Methoxyethoxy)ethoxy]ethanol;COCCOCCOCCO
109;InChIKey=FBPFZTCFMRRESA-KVTDHHQDSA-N;128;(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol;OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
110;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;126;pentan-2-ol;CCCC(C)O
111;InChIKey=DSKYSDCYIODJPC-UHFFFAOYSA-N;120;2-butyl-2-ethylpropane-1,3-diol;CCCCC(CC)(CO)CO
112;InChIKey=CZMRCDWAGMRECN-UGDNZRGBSA-N;117;(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol;OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
113;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;116;2-Ethylhexan-1-ol;CCCCC(CC)CO
114;InChIKey=YHGNXEIQSHICNK-UHFFFAOYSA-N;114;2-(furan-2-ylmethyl)furan;C(c1occc1)c2occc2
115;InChIKey=OHMBHFSEKCCCBW-UHFFFAOYSA-N;114;hexane-2,5-diol;CC(O)CCC(C)O
116;InChIKey=BGHCVCJVXZWKCC-UHFFFAOYSA-N;108;Tetradecane;CCCCCCCCCCCCCC
117;InChIKey=FHKSXSQHXQEMOK-UHFFFAOYSA-N;96;hexane-1,2-diol;CCCCC(O)CO
118;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;91;2-Ethoxyethanol;CCOCCO
119;InChIKey=FBPFZTCFMRRESA-JGWLITMVSA-N;91;(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol;OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
120;InChIKey=JWAZRIHNYRIHIV-UHFFFAOYSA-N;90;naphthalen-2-ol;Oc1ccc2ccccc2c1
121;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;90;hexan-2-ol;CCCCC(C)O
122;InChIKey=KJCVRFUGPWSIIH-UHFFFAOYSA-N;90;naphthalen-1-ol;Oc1cccc2ccccc12
123;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;88;2-propan-2-yloxypropane;CC(C)OC(C)C
124;InChIKey=WQZGKKKJIJFFOK-GASJEMHNSA-N;86;(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol;OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
125;InChIKey=COBPKKZHLDDMTB-UHFFFAOYSA-N;85;2-[2-(2-Butoxyethoxy)ethoxy]ethanol;CCCCOCCOCCOCCO
126;InChIKey=GWHJZXXIDMPWGX-UHFFFAOYSA-N;84;1,2,4-Trimethylbenzene;Cc1ccc(C)c(C)c1
127;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;84;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
128;InChIKey=OQUIHNRSFOIOFU-UHFFFAOYSA-N;83;1-methoxy-2-(2-methoxypropoxy)propane;COCC(C)OCC(C)OC
129;InChIKey=WFSMVVDJSNMRAR-UHFFFAOYSA-N;82;2-[2-(2-ethoxyethoxy)ethoxy]ethanol;CCOCCOCCOCCO
130;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;80;2-Methylpropane;CC(C)C
131;InChIKey=UNVGBIALRHLALK-UHFFFAOYSA-N;75;Hexane-1,5-diol;CC(O)CCCCO
132;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;75;1,2-Bis(2-methoxyethoxy)ethane;COCCOCCOCCOC
133;InChIKey=SJWFXCIHNDVPSH-UHFFFAOYSA-N;68;octan-2-ol;CCCCCCC(C)O
134;InChIKey=GGBJHURWWWLEQH-UHFFFAOYSA-N;66;Butylcyclohexane;CCCCC1CCCCC1
135;InChIKey=VCJPCEVERINRSG-UHFFFAOYSA-N;66;1,2,4-Trimethylcyclohexane;CC1CCC(C)C(C)C1
136;InChIKey=IIEWJVIFRVWJOD-UHFFFAOYSA-N;66;Ethylcyclohexane;CCC1CCCCC1
137;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;65;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
138;InChIKey=GUBGYTABKSRVRQ-UHFFFAOYSA-N;59;2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
139;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;57;ETHANE;CC
140;InChIKey=VNWKTOKETHGBQD-UHFFFAOYSA-N;55;methane;C
141;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;54;FURAN;o1cccc1
142;InChIKey=GUBGYTABKSRVRQ-QUYVBRFLSA-N;50;(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
143;InChIKey=HHAPGMVKBLELOE-UHFFFAOYSA-N;45;2-(2-Methylpropoxy)ethanol;CC(C)COCCO
144;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;42;heptan-2-ol;CCCCCC(C)O
145;InChIKey=VQHSOMBJVWLPSR-UHFFFAOYSA-N;40;4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexane-1,2,3,5,6-pentol;OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
146;InChIKey=YCIMNLLNPGFGHC-UHFFFAOYSA-N;40;benzene-1,2-diol;Oc1ccccc1O
147;InChIKey=HEBKCHPVOIAQTA-NGQZWQHPSA-N;40;(2S,4R)-pentane-1,2,3,4,5-pentol;OC[C@H](O)C(O)[C@H](O)CO
148;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;39;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol;OCCOCCOCCOCCO
149;InChIKey=DLRJIFUOBPOJNS-UHFFFAOYSA-N;37;Ethoxybenzene;CCOc1ccccc1
150;InChIKey=QWVGKYWNOKOFNN-UHFFFAOYSA-N;32;2-Methylphenol;Cc1ccccc1O
151;InChIKey=LCZVSXRMYJUNFX-UHFFFAOYSA-N;30;2-[2-(2-hydroxypropoxy)propoxy]propan-1-ol;CC(O)COC(C)COC(C)CO
152;InChIKey=BSYVTEYKTMYBMK-UHFFFAOYSA-N;30;oxolan-2-ylmethanol;OCC1CCCO1
153;InChIKey=HEBKCHPVOIAQTA-SCDXWVJYSA-N;30;;OC[C@@H](O)[C@H](O)[C@@H](O)CO
154;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;27;2-Methyloxolane;CC1CCCO1
155;InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N;27;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC
