;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;12690;oxidane;O
1;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;4710;ethanol;CCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;3493;HEPTANE;CCCCCCC
3;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;3295;Propan-1-ol;CCCO
4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;3277;Butan-1-ol;CCCCO
7;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;2568;Cyclohexane;C1CCCCC1
8;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;2520;Propan-2-ol;CC(C)O
13;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;1478;Methylcyclohexane;CC1CCCCC1
14;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;1435;2-Methylpropan-2-ol;CC(C)(C)O
16;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;1370;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
19;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;1184;methanol;CO
21;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;1153;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
22;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;1105;HEXAN-1-OL;CCCCCCO
24;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;858;Pentan-1-ol;CCCCCO
28;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;732;Hexane;CCCCCC
35;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;565;2-Methoxyethanol;COCCO
38;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;505;Oxolane;C1CCOC1
40;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;483;2-Methylpropan-1-ol;CC(C)CO
41;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;483;Pentane;CCCCC
45;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;413;2-Methylheptane;CCCCCC(C)C
46;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;412;Cyclopentane;C1CCCC1
55;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;318;1-Propoxypropan-2-ol;CCCOCC(C)O
57;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;289;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
64;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;271;;C1CCCCCCC1
73;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;248;2-Methylbutan-2-ol;CCC(C)(C)O
74;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;241;1,4-Dioxane;C1COCCO1
76;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;235;3-Methylbutan-1-ol;CC(C)CCO
82;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;213;2,2-dimethylpropan-1-ol;CC(C)(C)CO
84;InChIKey=QWGRWMMWNDWRQN-UHFFFAOYSA-N;209;2-Methylpropane-1,3-diol;CC(CO)CO
85;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;204;1,3-DIOXOLANE;C1COCO1
86;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;202;Butan-2-ol;CCC(C)O
90;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;190;2-Propoxyethanol;CCCOCCO
95;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;173;2-Methylbutan-1-ol;CCC(C)CO
98;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;163;BUTANE;CCCC
99;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;157;PROPANE;CCC
101;InChIKey=SLCVBVWXLSEKPL-UHFFFAOYSA-N;156;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO
104;InChIKey=SXFJDZNJHVPHPH-UHFFFAOYSA-N;138;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO
105;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;136;2-Methoxy-2-methylbutane;CCC(C)(C)OC
110;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;126;pentan-2-ol;CCCC(C)O
118;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;91;2-Ethoxyethanol;CCOCCO
121;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;90;hexan-2-ol;CCCCC(C)O
123;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;88;2-propan-2-yloxypropane;CC(C)OC(C)C
130;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;80;2-Methylpropane;CC(C)C
139;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;57;ETHANE;CC
140;InChIKey=VNWKTOKETHGBQD-UHFFFAOYSA-N;55;methane;C
143;InChIKey=HHAPGMVKBLELOE-UHFFFAOYSA-N;45;2-(2-Methylpropoxy)ethanol;CC(C)COCCO
144;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;42;heptan-2-ol;CCCCCC(C)O
154;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;27;2-Methyloxolane;CC1CCCO1
166;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;22;Ethoxyethane;CCOCC
171;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;18;2-propan-2-yloxyethanol;CC(C)OCCO
