;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;25787;oxidane;O
1;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;8554;ethanol;CCO
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;6348;Butan-1-ol;CCCCO
4;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;6034;Propan-1-ol;CCCO
5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;5919;HEPTANE;CCCCCCC
7;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;4889;Cyclohexane;C1CCCCC1
10;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;4519;Propan-2-ol;CC(C)O
14;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;3371;methanol;CO
15;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;3346;HEXAN-1-OL;CCCCCCO
17;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;2457;Hexane;CCCCCC
30;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;1711;2-Methylpropan-2-ol;CC(C)(C)O
32;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;1672;Pentan-1-ol;CCCCCO
33;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;1619;Methylcyclohexane;CC1CCCCC1
36;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;1476;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
44;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;1324;Oxolane;C1CCOC1
45;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;1208;2-Methylpropan-1-ol;CC(C)CO
46;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;1175;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
53;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;1045;Butan-2-ol;CCC(C)O
54;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;1034;2-propan-2-yloxypropane;CC(C)OC(C)C
67;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;787;1,4-Dioxane;C1COCCO1
82;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;683;Pentane;CCCCC
87;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;658;2-Methoxyethanol;COCCO
88;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;645;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
