;InChI;Count;Component;SMILES
0;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;620;methanol;CO
1;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;166;1-(2-methoxyethoxy)-2-[2-(2-methoxyethoxy)ethoxy]ethane;COCCOCCOCCOCCOC
2;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;156;octane;CCCCCCCC
3;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;156;Pentan-1-ol;CCCCCO
4;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;132;Nonane;CCCCCCCCC
5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;131;HEPTANE;CCCCCCC
6;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;117;2-Propoxyethanol;CCCOCCO
7;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;105;Propan-2-ol;CC(C)O
8;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;105;2-Methylpropan-1-ol;CC(C)CO
9;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;105;ethanol;CCO
10;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;105;Butan-1-ol;CCCCO
11;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;105;Propan-1-ol;CCCO
12;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;99;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
13;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;97;1,2-Dimethoxyethane;COCCOC
14;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;95;2-Methylpropan-2-ol;CC(C)(C)O
15;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;90;1-Butoxybutane;CCCCOCCCC
16;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;39;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol;OCCOCCOCCOCCO
17;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;39;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
18;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;39;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
19;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;34;oxidane;O
20;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;33;1,2-Bis(2-methoxyethoxy)ethane;COCCOCCOCCOC
21;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;10;Ethane-1,2-diol;OCCO
22;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;8;Propane-1,3-diol;OCCCO
23;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;8;PROPANE-1,2,3-TRIOL;OCC(O)CO
24;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;8;PROPANE-1,2-DIOL;CC(O)CO
