;InChI;Count;Component;SMILES
0;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;620;methanol;CO
3;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;156;Pentan-1-ol;CCCCCO
5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;131;HEPTANE;CCCCCCC
6;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;117;2-Propoxyethanol;CCCOCCO
7;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;105;Propan-2-ol;CC(C)O
8;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;105;2-Methylpropan-1-ol;CC(C)CO
9;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;105;ethanol;CCO
10;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;105;Butan-1-ol;CCCCO
11;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;105;Propan-1-ol;CCCO
14;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;95;2-Methylpropan-2-ol;CC(C)(C)O
19;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;34;oxidane;O
