;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;749;oxidane;O
1;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;620;methanol;CO
2;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;363;Methylsulfinylmethane;C[S](C)=O
3;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;166;1-(2-methoxyethoxy)-2-[2-(2-methoxyethoxy)ethoxy]ethane;COCCOCCOCCOCCOC
4;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;156;octane;CCCCCCCC
5;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;156;Pentan-1-ol;CCCCCO
6;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;143;1,2-Bis(2-methoxyethoxy)ethane;COCCOCCOCCOC
7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;141;Butan-1-ol;CCCCO
8;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;132;Nonane;CCCCCCCCC
9;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;131;HEPTANE;CCCCCCC
10;InChIKey=FXHOOIRPVKKKFG-UHFFFAOYSA-N;126;N,N-Dimethylacetamide;CN(C)C(C)=O
11;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;117;2-Propoxyethanol;CCCOCCO
12;InChIKey=CRVGTESFCCXCTH-UHFFFAOYSA-N;112;2-(2-hydroxyethyl-methylamino)ethanol;CN(CCO)CCO
13;InChIKey=OHLUUHNLEMFGTQ-UHFFFAOYSA-N;110;N-Methylacetamide;CNC(C)=O
14;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;105;Propan-2-ol;CC(C)O
15;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;105;Propan-1-ol;CCCO
16;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;105;2-Methylpropan-1-ol;CC(C)CO
17;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;105;ethanol;CCO
18;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;99;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
19;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;97;1,2-Dimethoxyethane;COCCOC
20;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;95;2-Methylpropan-2-ol;CC(C)(C)O
21;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;90;1-Butoxybutane;CCCCOCCCC
22;InChIKey=DHMQDGOQFOQNFH-UHFFFAOYSA-N;88;['2-Aminoacetic acid', 'carbonocyanidic acid'];NCC(O)=O
23;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;88;PROPANE-1,2,3-TRIOL;OCC(O)CO
24;InChIKey=HXJUTPCZVOIRIF-UHFFFAOYSA-N;88;thiolane 1,1-dioxide;O=[S]1(=O)CCCC1
25;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;55;Diethyl carbonate;CCOC(=O)OCC
26;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;55;Dimethyl carbonate;COC(=O)OC
27;InChIKey=MTCFGRXMJLQNBG-REOHCLBHSA-N;48;(2S)-2-amino-3-hydroxypropanoic acid;N[C@@H](CO)C(O)=O
28;InChIKey=QNAYBMKLOCPYGJ-REOHCLBHSA-N;48;(2S)-2-aminopropanoic acid;C[C@H](N)C(O)=O
