;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;749;oxidane;O
1;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;620;methanol;CO
5;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;156;Pentan-1-ol;CCCCCO
7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;141;Butan-1-ol;CCCCO
9;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;131;HEPTANE;CCCCCCC
11;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;117;2-Propoxyethanol;CCCOCCO
14;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;105;Propan-2-ol;CC(C)O
15;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;105;Propan-1-ol;CCCO
16;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;105;2-Methylpropan-1-ol;CC(C)CO
17;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;105;ethanol;CCO
20;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;95;2-Methylpropan-2-ol;CC(C)(C)O
