;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;391;oxidane;O
1;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;239;Butane-1,4-diol;OCCCCO
2;InChIKey=WGQKYBSKWIADBV-UHFFFAOYSA-N;134;phenylmethanamine;NCc1ccccc1
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;130;Butan-1-ol;CCCCO
4;InChIKey=ZBCBWPMODOFKDW-UHFFFAOYSA-N;99;2-(2-Hydroxyethylamino)ethanol;OCCNCCO
5;InChIKey=CRVGTESFCCXCTH-UHFFFAOYSA-N;99;2-(2-hydroxyethyl-methylamino)ethanol;CN(CCO)CCO
6;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;85;PROPANE-1,2-DIOL;CC(O)CO
7;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;79;Ethane-1,2-diol;OCCO
8;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;64;Propane-1,3-diol;OCCCO
9;InChIKey=FHKSXSQHXQEMOK-UHFFFAOYSA-N;53;hexane-1,2-diol;CCCCC(O)CO
10;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;42;methanol;CO
11;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;39;Propan-1-ol;CCCO
12;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;39;Pentan-1-ol;CCCCCO
13;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;14;HEPTANE;CCCCCCC
14;InChIKey=SECXISVLQFMRJM-UHFFFAOYSA-N;1;1-methylpyrrolidin-2-one;CN1CCCC1=O
