;InChI;Count;Component;SMILES
0;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;595;1-Butoxybutane;CCCCOCCCC
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;581;Butan-1-ol;CCCCO
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;507;ethanol;CCO
3;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;376;oxidane;O
4;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;354;Cyclohexane;C1CCCCC1
5;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;299;Pentan-1-ol;CCCCCO
6;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;297;methanol;CO
7;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;241;BENZENE;c1ccccc1
8;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;227;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
9;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;221;2-Ethoxyethanol;CCOCCO
10;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;211;HEPTANE;CCCCCCC
11;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;210;phenylmethanol;OCc1ccccc1
12;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;202;Propan-1-ol;CCCO
13;InChIKey=AOPDRZXCEAKHHW-UHFFFAOYSA-N;174;1-pentoxypentane;CCCCCOCCCCC
14;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;158;methylbenzene;Cc1ccccc1
15;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;157;Hexane;CCCCCC
16;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;156;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
17;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;140;2-Methoxy-2-methylpropane;COC(C)(C)C
18;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;139;Propan-2-ol;CC(C)O
19;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;110;octane;CCCCCCCC
20;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;101;2-propan-2-yloxypropane;CC(C)OC(C)C
21;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;98;Oxolane;C1CCOC1
22;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;98;2-Methylbutan-2-ol;CCC(C)(C)O
