;InChI;Count;Component;SMILES
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;581;Butan-1-ol;CCCCO
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;507;ethanol;CCO
3;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;376;oxidane;O
4;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;354;Cyclohexane;C1CCCCC1
5;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;299;Pentan-1-ol;CCCCCO
6;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;297;methanol;CO
8;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;227;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
9;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;221;2-Ethoxyethanol;CCOCCO
10;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;211;HEPTANE;CCCCCCC
12;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;202;Propan-1-ol;CCCO
15;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;157;Hexane;CCCCCC
16;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;156;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
18;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;139;Propan-2-ol;CC(C)O
20;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;101;2-propan-2-yloxypropane;CC(C)OC(C)C
21;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;98;Oxolane;C1CCOC1
22;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;98;2-Methylbutan-2-ol;CCC(C)(C)O
24;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;85;Butan-2-ol;CCC(C)O
25;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;84;pentan-2-ol;CCCC(C)O
27;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;79;1-propoxypropane;CCCOCCC
29;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;76;Methylcyclohexane;CC1CCCCC1
30;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;76;Methoxymethane;COC
31;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;71;Cyclopentane;C1CCCC1
33;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;63;2,3-Dimethylbutane;CC(C)C(C)C
34;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;62;2,2-Dimethylbutane;CCC(C)(C)C
36;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;59;1,4-Dioxane;C1COCCO1
41;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;50;HEXAN-1-OL;CCCCCCO
43;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;44;2-Methyloxolane;CC1CCCO1
44;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;42;2-Methylheptane;CCCCCC(C)C
52;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;31;2-Methylpropan-1-ol;CC(C)CO
59;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;19;2-Methylpentane;CCCC(C)C
