;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1364;oxidane;O
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1126;Butan-1-ol;CCCCO
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;982;ethanol;CCO
3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;833;methanol;CO
4;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;819;Pentan-1-ol;CCCCCO
5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;755;HEPTANE;CCCCCCC
6;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;749;Propan-1-ol;CCCO
7;InChIKey=IYXGSMUGOJNHAZ-UHFFFAOYSA-N;645;Diethyl propanedioate;CCOC(=O)CC(=O)OCC
8;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;640;1-Butoxybutane;CCCCOCCCC
9;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;625;Cyclohexane;C1CCCCC1
10;InChIKey=KWOLFJPFCHCOCG-UHFFFAOYSA-N;559;1-Phenylethanone;CC(=O)c1ccccc1
11;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;518;Hexane;CCCCCC
12;InChIKey=XEKOWRVHYACXOJ-UHFFFAOYSA-N;491;Ethyl acetate;CCOC(C)=O
13;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;490;BENZENE;c1ccccc1
14;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;489;Propan-2-ol;CC(C)O
15;InChIKey=TZIHFWKZFHZASV-UHFFFAOYSA-N;457;METHYL FORMATE;COC=O
16;InChIKey=YKYONYBAUNKHLG-UHFFFAOYSA-N;445;Propyl acetate;CCCOC(C)=O
17;InChIKey=XYIBRDXRRQCHLP-UHFFFAOYSA-N;396;ethyl 3-oxobutanoate;CCOC(=O)CC(C)=O
18;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;394;Methylsulfinylmethane;C[S](C)=O
19;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;369;2-Methylpropan-2-ol;CC(C)(C)O
20;InChIKey=KFNNIILCVOLYIR-UHFFFAOYSA-N;368;PROPYL FORMATE;CCCOC=O
21;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;359;methylbenzene;Cc1ccccc1
22;InChIKey=NMJJFJNHVMGPGM-UHFFFAOYSA-N;359;Butyl formate;CCCCOC=O
23;InChIKey=WBJINCZRORDGAQ-UHFFFAOYSA-N;354;Ethyl formate;CCOC=O
24;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;347;octane;CCCCCCCC
25;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;335;2-Methylpropan-1-ol;CC(C)CO
26;InChIKey=CURLTUGMZLYLDI-UHFFFAOYSA-N;330;carbon dioxide;O=C=O
27;InChIKey=YRKCREAYFQTBPV-UHFFFAOYSA-N;327;Pentane-2,4-dione;CC(=O)CC(C)=O
28;InChIKey=SECXISVLQFMRJM-UHFFFAOYSA-N;322;1-methylpyrrolidin-2-one;CN1CCCC1=O
29;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;311;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
30;InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N;310;Octan-2-one;CCCCCCC(C)=O
31;InChIKey=WYACBZDAHNBPPB-UHFFFAOYSA-N;303;Diethyl oxalate;CCOC(=O)C(=O)OCC
32;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;297;Nonane;CCCCCCCCC
33;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;294;Diethyl carbonate;CCOC(=O)OCC
34;InChIKey=SNRUBQQJIBEYMU-UHFFFAOYSA-N;293;Dodecane;CCCCCCCCCCCC
35;InChIKey=KAESVJOAVNADME-UHFFFAOYSA-N;292;1H-Pyrrole;[nH]1cccc1
36;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;278;phenylmethanol;OCc1ccccc1
37;InChIKey=WSLDOOZREJYCGB-UHFFFAOYSA-N;267;['1,2-dichloroethane', '1,2-dichloroethyne'];ClCCCl
38;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;256;Decane;CCCCCCCCCC
39;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;253;Dimethyl carbonate;COC(=O)OC
40;InChIKey=WEVYAHXRMPXWCK-UHFFFAOYSA-N;247;Acetonitrile;CC#N
41;InChIKey=KJDRSWPQXHESDQ-UHFFFAOYSA-N;243;['1,4-dichlorobuta-1,3-diyne', '1,4-Dichlorobutane'];ClCCCCCl
42;InChIKey=OVISMSJCKCDOPU-UHFFFAOYSA-N;242;['1,6-Dichlorohexane', '1,6-dichlorohexa-1,3,5-triyne'];ClCCCCCCCl
43;InChIKey=BGHCVCJVXZWKCC-UHFFFAOYSA-N;240;Tetradecane;CCCCCCCCCCCCCC
44;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;227;HEXAN-1-OL;CCCCCCO
