;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1364;oxidane;O
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1126;Butan-1-ol;CCCCO
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;982;ethanol;CCO
3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;833;methanol;CO
4;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;819;Pentan-1-ol;CCCCCO
5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;755;HEPTANE;CCCCCCC
6;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;749;Propan-1-ol;CCCO
9;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;625;Cyclohexane;C1CCCCC1
11;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;518;Hexane;CCCCCC
14;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;489;Propan-2-ol;CC(C)O
19;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;369;2-Methylpropan-2-ol;CC(C)(C)O
25;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;335;2-Methylpropan-1-ol;CC(C)CO
29;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;311;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
44;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;227;HEXAN-1-OL;CCCCCCO
45;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;221;2-Ethoxyethanol;CCOCCO
65;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;175;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
68;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;172;Pentane;CCCCC
76;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;149;2-propan-2-yloxypropane;CC(C)OC(C)C
83;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;127;Oxolane;C1CCOC1
85;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;124;2-Methylbutan-2-ol;CCC(C)(C)O
87;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;123;pentan-2-ol;CCCC(C)O
91;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;104;Butan-2-ol;CCC(C)O
96;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;99;1-propoxypropane;CCCOCCC
101;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;97;1,4-Dioxane;C1COCCO1
111;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;84;2-Methylheptane;CCCCCC(C)C
114;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;76;Methoxymethane;COC
115;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;76;Methylcyclohexane;CC1CCCCC1
121;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;71;Cyclopentane;C1CCCC1
131;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;66;2-Methyloxolane;CC1CCCO1
134;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;63;2,3-Dimethylbutane;CC(C)C(C)C
136;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;62;2,2-Dimethylbutane;CCC(C)(C)C
190;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;19;2-Methylpentane;CCCC(C)C
199;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;18;1,3-DIOXOLANE;C1COCO1
201;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;18;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
210;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;16;3-Methylbutan-1-ol;CC(C)CCO
214;InChIKey=CXBDYQVECUFKRK-UHFFFAOYSA-N;15;1-Methoxybutane;CCCCOC
232;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;9;Ethoxyethane;CCOCC
