;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;578;oxidane;O
4;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;112;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
6;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;87;Hexane;CCCCCC
7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;71;Butan-1-ol;CCCCO
9;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;46;Cyclohexane;C1CCCCC1
10;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;39;Oxolane;C1CCOC1
11;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;39;2-Methylbutan-2-ol;CCC(C)(C)O
13;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;23;ethanol;CCO
14;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;19;2-Methoxy-2-methylbutane;CCC(C)(C)OC
19;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;14;HEPTANE;CCCCCCC
