;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;894;oxidane;O
1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;871;HEPTANE;CCCCCCC
2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;585;"acetic acid; 2-aminoethanol";CC(O)=O.NCCO
3;InChIKey=ZMXDDKWLCZADIW-UHFFFAOYSA-N;443;N,N-Dimethylformamide;CN(C)C=O
4;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;423;Hexane;CCCCCC
5;InChIKey=RNVCVTLRINQCPJ-UHFFFAOYSA-N;356;2-Methylaniline;Cc1ccccc1N
6;InChIKey=HNJBEVLQSNELDL-UHFFFAOYSA-N;339;pyrrolidin-2-one;O=C1CCCN1
7;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;324;ethanol;CCO
8;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;322;Dimethyl carbonate;COC(=O)OC
9;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;316;Butan-1-ol;CCCCO
10;InChIKey=SECXISVLQFMRJM-UHFFFAOYSA-N;310;1-methylpyrrolidin-2-one;CN1CCCC1=O
11;InChIKey=MLFHJEHSLIIPHL-UHFFFAOYSA-N;300;3-Methylbutyl acetate;CC(C)CCOC(C)=O
12;InChIKey=BMVXCPBXGZKUPN-UHFFFAOYSA-N;298;hexan-1-amine;CCCCCCN
13;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;281;Butane-1,4-diol;OCCCCO
14;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;264;methanol;CO
15;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;247;Decane;CCCCCCCCCC
16;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;209;Ethane-1,2-diol;OCCO
17;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;209;Propane-1,3-diol;OCCCO
18;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;209;Oxolane;C1CCOC1
19;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;190;;CC(O)C(C)O
20;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;185;HEXAN-1-OL;CCCCCCO
21;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;184;2-Methoxy-2-methylpropane;COC(C)(C)C
22;InChIKey=BTMVHUNTONAYDX-UHFFFAOYSA-N;174;Butyl propanoate;CCCCOC(=O)CC
23;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;165;Methylsulfinylmethane;C[S](C)=O
24;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;162;propan-2-one;CC(C)=O
25;InChIKey=DKPFZGUDAPQIHT-UHFFFAOYSA-N;162;Butyl acetate;CCCCOC(C)=O
26;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;156;2-Methylpropan-2-ol;CC(C)(C)O
27;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;154;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
28;InChIKey=KNKRKFALVUDBJE-UHFFFAOYSA-N;152;1,2-Dichloropropane;CC(Cl)CCl
29;InChIKey=ZMANZCXQSJIPKH-UHFFFAOYSA-N;145;N,N-Diethylethanamine;CCN(CC)CC
30;InChIKey=CATSNJVOTSVZJV-UHFFFAOYSA-N;142;Heptan-2-one;CCCCCC(C)=O
31;InChIKey=MCSINKKTEDDPNK-UHFFFAOYSA-N;138;Propyl propanoate;CCCOC(=O)CC
32;InChIKey=NMJJFJNHVMGPGM-UHFFFAOYSA-N;137;Butyl formate;CCCCOC=O
33;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;128;Butane-1,3-diol;CC(O)CCO
34;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;121;butane-1,2-diol;CCC(O)CO
