;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;894;oxidane;O
1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;871;HEPTANE;CCCCCCC
4;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;423;Hexane;CCCCCC
7;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;324;ethanol;CCO
9;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;316;Butan-1-ol;CCCCO
14;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;264;methanol;CO
18;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;209;Oxolane;C1CCOC1
20;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;185;HEXAN-1-OL;CCCCCCO
26;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;156;2-Methylpropan-2-ol;CC(C)(C)O
27;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;154;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
38;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;114;Propan-2-ol;CC(C)O
41;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;107;Cyclohexane;C1CCCCC1
48;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;96;Propan-1-ol;CCCO
56;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;78;2-Methylbutan-2-ol;CCC(C)(C)O
85;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;44;Pentan-1-ol;CCCCCO
88;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;41;2-Methylpropan-1-ol;CC(C)CO
120;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;19;2-Methoxy-2-methylbutane;CCC(C)(C)OC
143;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;9;3-Methylbutan-1-ol;CC(C)CCO
