;InChI;Count;Component;SMILES
0;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1219;Butan-1-ol;CCCCO
1;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1188;oxidane;O
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1065;HEPTANE;CCCCCCC
3;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;838;2-Methoxy-2-methylpropane;COC(C)(C)C
4;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;819;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
5;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;668;OCTAN-1-OL;CCCCCCCCO
6;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;660;methylbenzene;Cc1ccccc1
7;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;648;1,4-Dimethylbenzene;Cc1ccc(C)cc1
8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;647;Propan-1-ol;CCCO
9;InChIKey=SNRUBQQJIBEYMU-UHFFFAOYSA-N;642;Dodecane;CCCCCCCCCCCC
10;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;640;1,2-Dimethylbenzene;Cc1ccccc1C
11;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;632;2-Butoxyethanol;CCCCOCCO
12;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;605;1,3-Dimethylbenzene;Cc1cccc(C)c1
13;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;564;DECAN-1-OL;CCCCCCCCCCO
14;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;540;Cyclohexane;C1CCCCC1
15;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;499;Propan-2-ol;CC(C)O
16;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;454;ethanol;CCO
17;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;450;2-Methylbutan-2-ol;CCC(C)(C)O
18;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;405;1-Butoxybutane;CCCCOCCCC
19;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;405;Nonan-1-ol;CCCCCCCCCO
20;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;398;Cyclopentane;C1CCCC1
21;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;393;BENZENE;c1ccccc1
22;InChIKey=GZMAAYIALGURDQ-UHFFFAOYSA-N;355;2-(2-hexoxyethoxy)ethanol;CCCCCCOCCOCCO
23;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;354;Methylcyclohexane;CC1CCCCC1
24;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;354;2-Methoxyethanol;COCCO
25;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;340;Heptan-1-ol;CCCCCCCO
26;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;322;HEXAN-1-OL;CCCCCCO
27;InChIKey=DCAYPVUWAIABOU-UHFFFAOYSA-N;300;HEXADECANE;CCCCCCCCCCCCCCCC
28;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;290;Ethylbenzene;CCc1ccccc1
29;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;277;butane-1,2-diol;CCC(O)CO
30;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;261;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
31;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;254;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
32;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;245;Pentan-1-ol;CCCCCO
33;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;243;1,4-Dioxane;C1COCCO1
34;InChIKey=RWNUSVWFHDHRCJ-UHFFFAOYSA-N;240;1-Butoxypropan-2-ol;CCCCOCC(C)O
35;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;226;octane;CCCCCCCC
36;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;223;Hexane;CCCCCC
37;InChIKey=PRAKJMSDJKAYCZ-UHFFFAOYSA-N;219;2,6,10,15,19,23-Hexamethyltetracosane;CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
38;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;215;methanol;CO
39;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;204;Butane-1,3-diol;CC(O)CCO
40;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;198;2-PHENYLETHANOL;OCCc1ccccc1
41;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;196;Butane-1,4-diol;OCCCCO
42;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;186;phenylmethanol;OCc1ccccc1
43;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;177;2-Methylpropan-2-ol;CC(C)(C)O
44;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;164;Oxolane;C1CCOC1
45;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;155;2-Methylpropan-1-ol;CC(C)CO
46;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;148;1,3-DIOXOLANE;C1COCO1
47;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;145;Decane;CCCCCCCCCC
48;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;145;1-Propoxypropan-2-ol;CCCOCC(C)O
49;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;144;;C1CCCCCCC1
50;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;141;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
51;InChIKey=SBASXUCJHJRPEV-UHFFFAOYSA-N;140;2-(2-Methoxyethoxy)ethanol;COCCOCCO
52;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;136;Butan-2-ol;CCC(C)O
53;InChIKey=RRQYJINTUHWNHW-UHFFFAOYSA-N;135;1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE;CCOCCOCCOCC
54;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;132;Propane-1,3-diol;OCCCO
