;InChI;Count;Component;SMILES
0;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1219;Butan-1-ol;CCCCO
1;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1188;oxidane;O
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1065;HEPTANE;CCCCCCC
4;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;819;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;647;Propan-1-ol;CCCO
14;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;540;Cyclohexane;C1CCCCC1
15;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;499;Propan-2-ol;CC(C)O
16;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;454;ethanol;CCO
17;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;450;2-Methylbutan-2-ol;CCC(C)(C)O
20;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;398;Cyclopentane;C1CCCC1
23;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;354;Methylcyclohexane;CC1CCCCC1
24;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;354;2-Methoxyethanol;COCCO
26;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;322;HEXAN-1-OL;CCCCCCO
30;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;261;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
31;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;254;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
32;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;245;Pentan-1-ol;CCCCCO
33;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;243;1,4-Dioxane;C1COCCO1
36;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;223;Hexane;CCCCCC
38;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;215;methanol;CO
43;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;177;2-Methylpropan-2-ol;CC(C)(C)O
44;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;164;Oxolane;C1CCOC1
45;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;155;2-Methylpropan-1-ol;CC(C)CO
46;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;148;1,3-DIOXOLANE;C1COCO1
48;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;145;1-Propoxypropan-2-ol;CCCOCC(C)O
49;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;144;;C1CCCCCCC1
52;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;136;Butan-2-ol;CCC(C)O
59;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;97;2-propan-2-yloxypropane;CC(C)OC(C)C
63;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;73;2-Propoxyethanol;CCCOCCO
64;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;72;2-Methylheptane;CCCCCC(C)C
65;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;71;2-Ethoxyethanol;CCOCCO
69;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;56;2-Methylbutan-1-ol;CCC(C)CO
70;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;52;3-Methylbutan-1-ol;CC(C)CCO
72;InChIKey=HHAPGMVKBLELOE-UHFFFAOYSA-N;45;2-(2-Methylpropoxy)ethanol;CC(C)COCCO
73;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;45;2-Methyloxolane;CC1CCCO1
74;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;42;hexan-2-ol;CCCCC(C)O
75;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;42;heptan-2-ol;CCCCCC(C)O
78;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;39;pentan-2-ol;CCCC(C)O
89;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;23;Ethoxyethane;CCOCC
91;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;21;2-Methoxy-2-methylbutane;CCC(C)(C)OC
93;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;18;2-propan-2-yloxyethanol;CC(C)OCCO
