;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;5520;oxidane;O
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1664;Butan-1-ol;CCCCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1614;HEPTANE;CCCCCCC
3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;1196;methanol;CO
4;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;1104;DECAN-1-OL;CCCCCCCCCCO
5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;1026;Cyclohexane;C1CCCCC1
6;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1008;ethanol;CCO
7;InChIKey=SECXISVLQFMRJM-UHFFFAOYSA-N;994;1-methylpyrrolidin-2-one;CN1CCCC1=O
8;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;963;2-Methoxy-2-methylpropane;COC(C)(C)C
9;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;948;OCTAN-1-OL;CCCCCCCCO
10;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;934;Propan-1-ol;CCCO
11;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;866;HEXAN-1-OL;CCCCCCO
12;InChIKey=ZWEHNKRNPOVVGH-UHFFFAOYSA-N;857;butan-2-one;CCC(C)=O
13;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;849;methylbenzene;Cc1ccccc1
14;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;819;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
15;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;799;BENZENE;c1ccccc1
16;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;797;Propan-2-ol;CC(C)O
17;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;719;2-Butoxyethanol;CCCCOCCO
18;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;718;1,2-Dimethylbenzene;Cc1ccccc1C
19;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;705;1,4-Dimethylbenzene;Cc1ccc(C)cc1
20;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;669;2-propan-2-yloxypropane;CC(C)OC(C)C
21;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;658;Oxolane;C1CCOC1
22;InChIKey=SNRUBQQJIBEYMU-UHFFFAOYSA-N;642;Dodecane;CCCCCCCCCCCC
23;InChIKey=GZMAAYIALGURDQ-UHFFFAOYSA-N;630;2-(2-hexoxyethoxy)ethanol;CCCCCCOCCOCCO
24;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;615;1,3-Dimethylbenzene;Cc1cccc(C)c1
25;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;614;Hexane;CCCCCC
26;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;585;"acetic acid; 2-aminoethanol";CC(O)=O.NCCO
27;InChIKey=RNVCVTLRINQCPJ-UHFFFAOYSA-N;524;2-Methylaniline;Cc1ccccc1N
28;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;515;Cyclopentane;C1CCCC1
29;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;512;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
30;InChIKey=HEDRZPFGACZZDS-UHFFFAOYSA-N;487;Chloroform;ClC(Cl)Cl
31;InChIKey=XEKOWRVHYACXOJ-UHFFFAOYSA-N;485;Ethyl acetate;CCOC(C)=O
32;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;482;Heptan-1-ol;CCCCCCCO
33;InChIKey=PAYRUJLWNCNPSJ-UHFFFAOYSA-N;482;Aniline;Nc1ccccc1
34;InChIKey=STCOOQWBFONSKY-UHFFFAOYSA-N;471;['tributoxy-hydroxyphosphanium', 'Tributyl phosphate'];CCCCO[P](=O)(OCCCC)OCCCC
35;InChIKey=PIICEJLVQHRZGT-UHFFFAOYSA-N;471;['ethane-1,2-diamine', 'ethyne-1,2-diamine', 'Oxalonitrile'];NCCN
36;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;465;1,4-Dioxane;C1COCCO1
37;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;450;2-Methylbutan-2-ol;CCC(C)(C)O
38;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;449;Nonan-1-ol;CCCCCCCCCO
39;InChIKey=PAFZNILMFXTMIY-UHFFFAOYSA-N;432;Cyclohexanamine;NC1CCCCC1
40;InChIKey=ZMXDDKWLCZADIW-UHFFFAOYSA-N;431;N,N-Dimethylformamide;CN(C)C=O
41;InChIKey=UJPMYEOUBPIPHQ-UHFFFAOYSA-N;409;1,1,1-TRIFLUOROETHANE;CC(F)(F)F
42;InChIKey=GTLACDSXYULKMZ-UHFFFAOYSA-N;409;1,1,1,2,2-Pentafluoroethane;FC(F)C(F)(F)F
43;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;405;1-Butoxybutane;CCCCOCCCC
44;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;403;Pentan-1-ol;CCCCCO
45;InChIKey=IBSQPLPBRSHTTG-UHFFFAOYSA-N;400;1-Chloro-2-methylbenzene;Cc1ccccc1Cl
