;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;5520;oxidane;O
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1664;Butan-1-ol;CCCCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1614;HEPTANE;CCCCCCC
3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;1196;methanol;CO
5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;1026;Cyclohexane;C1CCCCC1
6;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1008;ethanol;CCO
10;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;934;Propan-1-ol;CCCO
11;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;866;HEXAN-1-OL;CCCCCCO
14;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;819;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
16;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;797;Propan-2-ol;CC(C)O
20;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;669;2-propan-2-yloxypropane;CC(C)OC(C)C
21;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;658;Oxolane;C1CCOC1
25;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;614;Hexane;CCCCCC
28;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;515;Cyclopentane;C1CCCC1
29;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;512;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
36;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;465;1,4-Dioxane;C1COCCO1
37;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;450;2-Methylbutan-2-ol;CCC(C)(C)O
44;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;403;Pentan-1-ol;CCCCCO
47;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;381;2-Methoxyethanol;COCCO
48;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;366;Methylcyclohexane;CC1CCCCC1
49;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;361;2-Methylpropan-1-ol;CC(C)CO
51;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;355;1-Propoxypropan-2-ol;CCCOCC(C)O
72;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;261;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
75;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;243;2-Methylpropan-2-ol;CC(C)(C)O
83;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;230;1,3-DIOXOLANE;C1COCO1
92;InChIKey=JOLQKTGDSGKSKJ-UHFFFAOYSA-N;200;1-Ethoxypropan-2-ol;CCOCC(C)O
123;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;144;;C1CCCCCCC1
128;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;136;Butan-2-ol;CCC(C)O
135;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;117;Methylcyclopentane;CC1CCCC1
167;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;73;2-Propoxyethanol;CCCOCCO
168;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;72;2-Methylheptane;CCCCCC(C)C
170;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;71;2-Ethoxyethanol;CCOCCO
173;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;69;pentan-2-ol;CCCC(C)O
175;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;67;2-Methyloxolane;CC1CCCO1
197;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;56;2-Methylbutan-1-ol;CCC(C)CO
210;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;52;3-Methylbutan-1-ol;CC(C)CCO
219;InChIKey=HHAPGMVKBLELOE-UHFFFAOYSA-N;45;2-(2-Methylpropoxy)ethanol;CC(C)COCCO
231;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;42;hexan-2-ol;CCCCC(C)O
232;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;42;heptan-2-ol;CCCCCC(C)O
270;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;23;Ethoxyethane;CCOCC
279;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;21;2-Methoxy-2-methylbutane;CCC(C)(C)OC
286;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;18;2-propan-2-yloxyethanol;CC(C)OCCO
