;Filename;Count
0;j.jct.2012.06.009;358
1;je060395n;296
2;j.jct.2012.12.009;213
3;je200628n;186
4;j.jct.2013.02.006;144
5;j.jct.2013.05.011;143
6;je901063s;80
7;je700139p;50
8;je1005517;50
9;j.fluid.2013.02.008;48
10;j.fluid.2015.01.010;46
11;j.fluid.2014.05.023;42
12;j.fluid.2006.02.022;39
13;j.jct.2014.06.006;36
14;j.fluid.2010.05.010;35
15;j.fluid.2014.09.011;21
16;j.tca.2015.11.010;19
17;j.fluid.2011.09.010;16
18;j.fluid.2008.02.021;16
19;j.jct.2010.04.011;15
20;j.fluid.2010.03.027;13
21;j.fluid.2009.05.005;12
22;acs.jced.5b00116;10
23;j.fluid.2010.09.026;9
24;j.jct.2013.05.006;8
25;je049540s;8
26;je0495942;8
