;Filename;Count
0;j.tca.2015.06.017;2640
1;j.fluid.2008.03.004;2340
2;je700339f;2160
3;je7003758;2160
4;j.jct.2011.02.008;2102
5;je900387e;1995
6;s10765-007-0223-x;1812
7;j.jct.2011.01.014;1755
8;je300789a;1635
9;j.jct.2011.08.016;1500
10;je200721d;1500
11;j.tca.2006.08.006;1461
12;je034005y;1386
13;je4001203;1309
14;j.fluid.2015.05.031;1261
15;je200527t;1230
16;j.jct.2012.03.003;1200
17;je0340755;1130
18;je400361k;1092
19;j.jct.2013.11.014;1057
20;j.fluid.2010.10.028;1044
21;j.jct.2007.04.005;1031
22;j.jct.2004.12.014;1014
23;je400056z;999
24;j.jct.2011.02.018;988
25;j.jct.2004.10.011;968
26;j.jct.2007.11.009;968
27;j.jct.2005.09.003;968
28;je900739x;924
29;j.jct.2008.11.006;897
30;je400055v;894
31;j.jct.2004.10.001;893
32;je300175w;886
33;j.fluid.2013.06.041;884
34;je300775u;840
35;je901020a;834
36;j.jct.2009.05.006;825
37;j.fluid.2006.05.032;819
38;je500914a;812
39;j.fluid.2014.06.005;792
40;j.jct.2004.07.019;788
41;je034056v;786
42;je100734t;768
43;je101361u;757
44;j.jct.2013.05.051;756
45;j.fluid.2013.08.007;756
46;j.jct.2006.10.008;755
47;j.jct.2005.07.009;745
48;je049671t;745
49;j.jct.2006.05.004;722
50;j.jct.2012.06.012;720
51;j.jct.2005.03.016;720
52;j.jct.2010.12.028;719
53;j.jct.2008.01.015;710
54;je400184t;706
55;j.jct.2013.05.004;702
56;j.jct.2013.09.039;675
57;je700261b;668
58;je050050p;667
59;je0340248;660
60;je201184b;650
61;je034101z;650
62;j.jct.2011.08.012;648
63;j.jct.2007.01.015;647
64;j.tca.2012.08.011;644
65;j.fluid.2005.05.023;639
66;s10765-010-0768-y;630
67;j.jct.2012.10.015;630
68;je100832h;625
69;j.jct.2010.06.008;624
70;j.jct.2010.08.021;624
71;je800593p;620
72;j.jct.2006.08.009;616
73;je100765j;616
74;j.jct.2006.09.013;613
75;j.fluid.2007.04.030;605
76;j.fluid.2009.12.003;605
77;j.jct.2012.01.022;602
78;j.tca.2012.04.002;602
79;j.fluid.2013.11.031;600
80;j.jct.2010.12.009;600
81;j.jct.2010.06.011;600
82;j.jct.2005.03.020;594
83;je034177v;594
84;je050261u;585
85;je3011979;578
86;je900691n;577
87;je0340809;573
88;j.fluid.2009.11.030;569
89;j.jct.2008.05.014;563
90;j.fluid.2013.06.021;560
91;je800012v;560
92;je7003929;560
93;je5007604;558
94;j.jct.2012.11.011;555
95;j.jct.2008.10.007;555
96;j.tca.2011.02.002;552
97;j.jct.2009.09.001;552
98;je800026p;550
99;j.fluid.2010.07.011;544
100;s10765-009-0593-3;540
101;je301082y;540
102;je700096m;540
103;je050020m;538
104;je5009334;528
105;je700321s;528
106;je100581m;528
107;j.tca.2012.01.013;528
108;je900888e;524
109;je100089s;516
110;je700406p;514
111;j.fluid.2007.09.028;507
112;je050389b;504
113;je900437b;504
114;je050402s;504
115;s10765-007-0204-0;504
116;j.jct.2012.07.018;500
117;je800024u;484
118;je100547a;480
119;acs.jced.5b00031;480
120;j.jct.2005.03.019;476
121;je8000975;470
