;Filename;Count
0;j.jct.2011.08.016;1500
1;je200527t;1230
2;j.fluid.2008.03.004;1170
3;j.jct.2007.04.005;1031
4;j.jct.2011.02.018;988
5;j.jct.2007.11.009;968
6;j.jct.2008.11.006;897
7;j.fluid.2006.05.032;819
8;j.fluid.2013.08.007;756
9;j.jct.2013.05.051;756
10;j.jct.2005.03.016;720
11;j.jct.2013.05.004;702
12;j.jct.2007.01.015;647
13;j.fluid.2005.05.023;639
14;j.jct.2006.09.013;613
15;j.fluid.2013.11.031;600
16;je050261u;585
17;j.jct.2014.01.020;450
18;j.jct.2012.09.026;433
19;je200373q;423
20;je901020a;417
21;je900478c;398
22;je050200w;396
23;j.fluid.2014.06.005;396
24;j.jct.2007.01.009;387
25;je8004694;384
26;je100734t;384
27;j.jct.2010.10.018;360
28;j.jct.2005.05.020;356
29;j.jct.2008.01.015;355
30;je700428f;354
31;je060496l;352
32;j.jct.2013.09.039;345
33;j.jct.2011.08.012;324
34;j.jct.2012.12.003;324
35;je201184b;319
36;je400529k;319
37;j.jct.2009.06.016;318
38;je501041r;318
39;j.jct.2004.09.014;315
40;je4004806;308
41;j.jct.2011.06.006;300
42;je8008073;300
43;j.tca.2013.07.012;296
44;je050416y;294
45;j.fluid.2013.06.021;280
46;j.fluid.2006.12.011;273
47;je301082y;270
48;je300632p;264
49;je5009334;264
50;je100577v;260
51;je400361k;258
52;j.jct.2007.10.010;256
53;j.jct.2010.08.019;252
54;j.jct.2012.02.001;250
55;cs.jced.5b00031;240
56;je300827f;240
57;je8000975;235
58;j.jct.2007.05.005;234
59;j.jct.2006.06.008;234
60;je700300y;231
61;je049663c;227
62;s10765-009-0667-2;220
63;je800497u;220
64;j.jct.2005.03.006;215
65;j.jct.2005.06.010;212
66;j.jct.2013.04.021;210
67;j.jct.2005.06.011;198
68;je049776w;198
69;j.jct.2006.03.018;198
70;je8001305;196
71;je700672f;195
72;je900468u;194
73;je500886a;192
74;je700140j;189
75;je0501639;189
76;s10765-006-0053-2;187
77;je201222n;180
78;je700281z;171
79;je050484k;168
80;j.jct.2013.05.009;168
81;j.jct.2008.06.001;167
82;j.jct.2005.12.005;165
83;je7005727;165
84;j.fluid.2015.07.012;164
85;je060335h;164
86;j.jct.2009.01.008;162
87;j.jct.2007.06.014;157
88;je050540h;156
89;je060179e;155
90;j.tca.2012.04.002;154
91;cs.jced.5b00009;154
92;je900722m;153
93;je9010486;152
94;je700580g;150
95;j.jct.2009.03.009;150
96;j.jct.2007.05.016;144
97;j.jct.2013.10.025;144
98;j.fluid.2012.09.007;144
99;j.jct.2011.06.021;144
100;je9005344;144
101;j.jct.2008.02.005;144
102;je301095j;143
103;s10765-008-0390-4;138
104;j.jct.2012.12.007;135
105;j.jct.2008.09.006;135
106;j.jct.2010.09.008;134
107;je0504156;132
108;je050376y;132
109;je800504n;128
110;j.jct.2010.10.025;128
111;je0602519;126
112;j.fluid.2007.01.001;126
113;je400512u;126
114;je100757w;126
115;je800664z;126
116;j.jct.2013.11.036;121
117;je700254t;120
118;je8009336;117
119;j.jct.2007.09.004;117
120;j.jct.2007.02.008;117
121;j.jct.2013.12.028;117
122;j.jct.2010.05.016;114
123;s10765-013-1469-0;110
124;je0502546;110
125;je5004719;108
126;je800150h;108
127;j.fluid.2011.01.018;108
128;j.jct.2009.08.016;104
129;je050116g;102
130;j.jct.2009.09.001;102
131;je900966r;100
132;j.fluid.2014.05.032;100
133;je600554h;99
134;j.tca.2013.03.010;99
135;s10765-008-0491-0;96
136;je7007654;96
137;s10765-008-0498-6;96
138;je101173w;95
139;je901072c;94
140;je0497810;91
141;j.jct.2009.06.014;90
142;j.jct.2012.08.033;90
143;j.jct.2013.10.013;90
144;je3011634;89
145;je1009976;85
146;je900510x;85
147;j.jct.2014.06.031;85
148;j.fluid.2013.01.025;85
149;j.jct.2009.02.002;84
150;je201009c;84
151;j.jct.2012.05.033;84
152;j.jct.2004.12.002;84
153;j.jct.2009.11.018;84
154;j.jct.2008.01.008;83
155;j.jct.2015.06.009;83
156;je9008014;82
157;j.jct.2008.07.010;81
158;je050060q;81
159;s10765-007-0259-y;80
160;j.jct.2008.05.014;78
161;j.jct.2007.05.004;76
162;j.jct.2010.04.018;75
163;je800831d;74
164;je050085p;73
165;j.jct.2012.07.018;72
166;je0601098;70
167;je100484n;70
168;j.jct.2011.10.009;70
169;j.jct.2009.04.001;69
170;j.jct.2012.05.023;66
171;je200504u;66
172;je100823t;66
173;j.fluid.2014.10.013;64
174;je8004613;64
175;je049655w;63
176;je900954y;63
177;je900274n;63
178;j.jct.2009.06.001;60
179;je800940j;60
180;j.jct.2012.11.017;60
181;je060238o;57
182;je9010882;57
183;je700344f;56
184;je401101u;55
185;je0600799;55
186;j.jct.2013.06.020;54
187;j.fluid.2012.08.005;54
188;j.fluid.2012.11.039;50
189;j.jct.2009.09.013;50
190;je4000394;50
191;je400977r;50
192;j.jct.2012.08.019;50
193;j.jct.2011.07.008;48
194;je060389r;48
195;je4003515;48
196;s10765-013-1526-8;48
197;j.jct.2008.09.018;48
198;j.jct.2012.06.016;45
199;j.jct.2012.08.023;45
200;je900240s;44
201;je2000099;44
202;j.jct.2009.07.017;44
203;j.fluid.2010.05.017;39
204;j.fluid.2012.06.031;39
205;je9001416;39
206;je900807v;39
207;j.fluid.2009.12.019;39
208;j.jct.2010.05.009;39
209;je0502142;38
210;je9004933;37
211;j.jct.2006.01.012;37
212;je0500330;37
213;j.jct.2005.05.004;37
214;j.jct.2006.07.015;36
215;j.jct.2010.01.008;33
216;je100390b;33
217;j.fluid.2015.01.002;33
218;je100594u;33
219;s10765-010-0719-7;33
220;j.fluid.2008.06.019;33
221;je049610v;33
222;j.fluid.2011.03.030;33
223;j.jct.2013.11.021;30
224;j.jct.2014.08.005;30
225;je300482b;30
226;je300526w;30
227;je200468r;27
228;je060017i;27
229;s10765-009-0622-2;27
230;je300670n;27
231;j.fluid.2012.06.028;27
232;j.jct.2005.02.006;26
233;je700700f;26
234;j.fluid.2012.03.025;26
235;j.tca.2009.01.003;25
236;je300737t;24
237;je1001945;24
238;j.jct.2012.11.001;24
239;j.jct.2013.05.012;24
240;je501169y;24
241;j.fluid.2011.11.022;24
242;je101197a;24
243;s10765-009-0665-4;24
244;je600578u;22
245;je900557u;22
246;j.jct.2013.05.040;22
247;je501178z;21
248;j.jct.2015.10.002;20
249;je8004479;20
250;je0503608;19
251;j.fluid.2007.04.009;19
252;j.jct.2010.03.011;19
253;j.fluid.2011.06.007;19
254;je0504111;18
255;j.fluid.2012.01.023;18
256;j.jct.2011.06.013;18
257;je600565m;18
258;je300631s;18
259;j.jct.2007.05.010;18
260;je500982g;18
261;j.jct.2006.08.011;17
262;je201010s;17
263;je2011314;17
264;je200145r;16
265;je900643r;16
266;je9000697;16
267;je2003622;16
268;je900743e;15
269;j.fluid.2007.07.066;15
270;je700618y;15
271;j.fluid.2014.09.024;13
272;j.fluid.2011.11.016;13
273;j.jct.2011.11.027;13
274;je201140q;13
275;je200575c;13
276;je060113j;12
277;je900725w;12
278;je300633e;12
279;s10765-007-0220-0;12
280;s10765-009-0567-5;12
281;je2000205;12
282;je700094y;11
283;j.fluid.2008.09.005;11
284;j.jct.2006.09.006;11
285;je900586f;11
286;je900337a;11
287;j.fluid.2014.07.004;11
288;j.fluid.2007.07.002;11
289;j.tca.2008.09.006;11
290;j.jct.2009.10.002;10
291;j.jct.2008.09.008;10
292;je900064e;10
293;j.tca.2009.02.022;9
294;j.fluid.2011.05.017;9
295;je0600810;9
296;je100259j;7
297;j.jct.2006.01.007;6
298;je700732u;6
299;j.tca.2011.10.013;6
300;j.fluid.2005.03.032;6
301;je050412t;6
302;je800622e;6
303;je900656c;5
304;je900599q;4
305;je700210n;4
306;j.jct.2005.04.011;4
307;j.fluid.2010.12.012;3
308;j.jct.2015.03.012;1
