;Filename;Count
0;j.fluid.2006.04.016;239
1;j.fluid.2011.11.005;228
2;je9003806;226
3;j.jct.2010.11.004;174
4;j.jct.2009.07.001;148
5;j.jct.2005.03.012;140
6;j.jct.2005.06.018;135
7;je0504212;119
8;j.jct.2009.07.014;114
9;j.fluid.2009.06.015;106
10;je050085p;102
11;cs.jced.5b00300;100
12;j.fluid.2012.11.005;84
13;j.fluid.2014.10.016;84
14;j.fluid.2012.01.007;84
15;je700308j;82
16;j.jct.2011.04.006;79
17;je0603574;76
18;je060026r;76
19;je060368x;73
20;j.jct.2010.07.016;70
21;j.fluid.2010.08.024;69
22;j.jct.2012.02.037;68
23;je100897y;61
24;je060086x;61
25;je100095p;57
26;j.fluid.2009.11.010;57
27;je900560j;57
28;j.fluid.2014.05.031;56
29;je101031j;50
30;j.jct.2010.10.002;46
31;j.jct.2007.12.002;45
32;j.fluid.2006.03.020;45
33;j.tca.2010.03.028;42
34;j.jct.2009.06.001;42
35;j.fluid.2005.08.001;40
36;je049836y;39
37;j.fluid.2004.12.013;38
38;je9001416;38
39;j.jct.2014.01.002;36
40;je060017i;33
41;je0498457;33
42;je900077g;27
43;je300670n;27
44;j.fluid.2007.03.017;21
45;je7005743;19
46;je034253u;19
47;je049852v;19
48;j.fluid.2008.06.011;17
49;j.jct.2006.08.011;16
50;je8004613;16
51;j.jct.2013.06.018;16
52;je200851a;15
53;je100019r;15
54;je8007606;15
55;j.fluid.2010.02.012;15
56;j.tca.2005.08.034;11
57;j.jct.2015.01.013;9
58;je900347f;9
