;Filename;Count
0;j.fluid.2009.11.030;569
1;j.jct.2004.12.014;514
2;je800193a;452
3;j.jct.2005.07.009;429
4;j.fluid.2015.05.031;379
5;j.jct.2006.10.008;374
6;j.jct.2011.07.018;365
7;j.jct.2006.05.004;364
8;j.jct.2010.11.004;350
9;je900311v;335
10;j.jct.2013.05.024;303
11;j.fluid.2011.11.005;303
12;je9003806;302
13;j.fluid.2013.10.029;292
14;j.jct.2008.10.007;260
15;je7002447;260
16;j.jct.2009.05.006;259
17;je800889y;240
18;j.fluid.2006.04.016;239
19;j.jct.2007.03.010;223
20;j.jct.2005.03.020;216
21;j.jct.2007.04.002;210
22;je1006482;208
23;je700492k;201
24;je300280s;193
25;j.jct.2005.07.011;181
26;je3011979;177
27;j.tca.2005.11.041;171
28;je5008444;169
29;je800334m;161
30;j.fluid.2005.05.029;160
31;j.fluid.2008.03.012;156
32;je0497395;154
33;j.jct.2009.07.001;148
34;je200093f;142
35;je060003c;141
36;j.jct.2005.03.012;140
37;j.jct.2008.01.024;139
38;j.jct.2007.01.017;138
39;j.jct.2007.06.017;137
40;j.jct.2005.06.018;135
41;je0497350;132
42;je100220c;129
43;j.fluid.2014.05.031;128
44;j.fluid.2006.10.013;126
45;j.fluid.2007.12.008;126
46;j.fluid.2013.11.026;123
47;je0504212;119
48;j.jct.2011.09.011;119
49;j.jct.2009.07.014;114
50;j.tca.2007.04.012;112
51;j.fluid.2009.12.003;111
52;j.fluid.2009.06.015;106
53;je100489z;102
54;j.jct.2008.01.017;102
55;je050085p;102
56;je060355j;101
57;acs.jced.5b00300;100
58;j.fluid.2005.08.001;97
59;j.fluid.2009.06.018;95
60;j.fluid.2010.08.024;89
61;j.tca.2013.02.010;88
62;je700193w;88
63;j.tca.2007.08.008;85
64;je700414c;85
65;j.fluid.2012.11.005;84
66;j.fluid.2014.10.016;84
67;je7006633;84
68;j.fluid.2012.01.007;84
69;je700308j;82
70;je200333p;81
71;je100897y;81
72;j.fluid.2007.10.017;79
73;j.jct.2011.04.006;79
74;je060210c;78
75;je0603574;76
76;je060026r;76
77;j.fluid.2013.01.011;73
78;je060368x;73
79;j.jct.2010.12.028;71
80;j.jct.2010.07.016;70
81;j.jct.2012.02.037;68
82;j.fluid.2014.08.022;67
83;j.fluid.2005.03.028;66
84;j.fluid.2005.06.011;62
85;je1013476;62
86;je060086x;61
87;j.jct.2011.05.014;60
88;je900547w;58
89;je900560j;57
90;j.fluid.2011.01.005;57
91;j.fluid.2006.12.012;57
92;j.fluid.2009.11.010;57
93;je7005743;57
94;je100095p;57
95;j.tca.2009.03.014;56
96;j.jct.2013.09.015;54
97;j.jct.2009.06.001;54
98;je400722h;51
99;je0501991;51
100;je050444g;51
101;je0601513;51
102;j.fluid.2007.05.017;51
103;je101031j;50
104;j.jct.2012.03.011;50
105;je7007395;48
106;j.jct.2010.10.002;46
107;j.fluid.2007.07.063;45
108;j.fluid.2006.03.020;45
109;j.jct.2012.07.006;45
110;j.jct.2007.12.002;45
111;je900262t;45
112;je1005196;42
113;j.tca.2010.03.028;42
114;j.tca.2008.06.004;42
115;j.jct.2010.12.016;42
116;j.fluid.2013.10.038;41
117;je9005882;41
118;j.fluid.2009.10.018;41
119;je060184i;40
120;je801006q;39
121;j.jct.2008.01.012;39
122;je049836y;39
123;j.fluid.2011.06.001;38
124;j.fluid.2004.12.013;38
125;je9001416;38
126;je034253u;38
127;j.tca.2011.06.020;36
128;j.jct.2014.01.002;36
129;je301238f;36
130;j.fluid.2014.03.033;34
131;j.tca.2005.08.034;33
132;je0498457;33
133;je060017i;33
134;j.jct.2006.08.011;33
135;je300678r;30
136;je049824c;30
137;j.fluid.2010.10.022;29
138;j.tca.2008.02.022;28
139;acs.jced.5b00724;28
140;je300670n;27
141;je900077g;27
142;je900347f;27
143;j.tca.2010.01.005;24
144;j.fluid.2015.03.021;23
145;je060420p;21
146;je800888n;21
147;j.fluid.2007.03.017;21
148;je034254m;21
149;je100821g;20
150;j.fluid.2010.05.010;20
151;j.fluid.2005.11.016;20
152;j.jct.2015.01.013;19
153;j.jct.2006.03.020;19
154;j.jct.2010.01.016;19
155;je049852v;19
156;j.fluid.2014.04.004;18
157;j.fluid.2010.03.001;18
158;j.jct.2012.03.016;18
159;j.fluid.2008.06.011;17
160;je8004613;16
161;j.jct.2013.06.018;16
162;je8007606;15
163;j.fluid.2010.02.012;15
164;je100019r;15
165;je200851a;15
166;je0342522;15
167;j.fluid.2007.09.002;14
168;je200820v;13
169;je1002048;12
170;je800568m;11
171;je7007022;11
172;je400036b;9
173;je2002495;9
174;j.jct.2012.07.005;6
