;Filename;Count
0;j.jct.2011.01.014;585
1;j.jct.2004.12.014;500
2;j.fluid.2013.06.041;494
3;j.jct.2010.12.009;300
4;j.jct.2010.06.011;300
5;j.jct.2009.05.006;283
6;j.fluid.2010.07.011;272
7;j.jct.2010.12.025;268
8;j.fluid.2009.12.003;247
9;j.jct.2010.12.028;216
10;j.jct.2011.04.017;194
11;j.jct.2009.06.006;192
12;j.jct.2004.11.012;184
13;j.jct.2005.09.001;165
14;j.fluid.2010.10.028;162
15;j.jct.2004.11.020;158
16;je060003c;145
17;j.jct.2011.05.003;142
18;je7002918;136
19;j.jct.2011.12.002;132
20;j.fluid.2005.08.001;128
21;j.jct.2007.08.005;125
22;j.jct.2006.04.005;119
23;j.jct.2006.10.004;119
24;j.jct.2010.05.009;117
25;j.fluid.2010.05.001;112
26;j.fluid.2011.07.018;103
27;j.fluid.2010.04.011;99
28;j.jct.2004.07.010;98
29;j.jct.2009.07.020;96
30;j.fluid.2009.06.018;95
31;j.jct.2009.11.018;84
32;j.tca.2007.12.006;70
33;j.jct.2010.07.016;70
34;j.jct.2011.04.008;66
35;j.fluid.2005.06.011;60
36;j.jct.2009.01.006;59
37;j.fluid.2011.01.005;57
38;j.tca.2009.03.014;56
39;je050413l;50
40;j.jct.2011.05.017;48
41;j.jct.2007.08.006;46
42;j.tca.2013.02.010;44
43;j.tca.2008.06.004;42
44;j.jct.2012.01.022;42
45;j.tca.2010.03.028;42
46;je1005196;42
47;j.jct.2009.09.013;40
48;j.fluid.2006.12.012;38
49;j.fluid.2010.06.007;36
50;acs.jced.5b00331;32
51;j.tca.2008.02.022;28
52;j.fluid.2013.07.034;27
53;j.fluid.2011.01.007;22
54;j.jct.2010.12.016;21
55;j.fluid.2011.06.007;19
56;j.fluid.2006.04.010;10
57;j.fluid.2009.09.015;9
58;j.jct.2010.01.016;9
59;j.jct.2011.11.019;9
60;j.jct.2009.06.007;9
