;Filename;Count
0;j.fluid.2008.03.004;1170
1;j.jct.2008.05.014;485
2;j.jct.2009.09.001;450
3;je901020a;417
4;j.fluid.2014.06.005;396
5;je100734t;384
6;j.jct.2008.01.015;355
7;j.fluid.2013.06.021;280
8;je301082y;270
9;je5009334;264
10;cs.jced.5b00031;240
11;je8000975;235
12;j.jct.2006.06.008;234
13;j.jct.2007.05.005;234
14;j.jct.2013.04.021;210
15;je900468u;195
16;s10765-006-0063-0;180
17;je700281z;171
18;j.jct.2013.05.009;168
19;j.jct.2008.06.001;167
20;je7005727;165
21;j.jct.2009.01.008;162
22;j.jct.2009.03.009;150
23;j.jct.2011.09.008;145
24;j.jct.2013.10.025;144
25;je9005344;144
26;j.jct.2008.02.005;144
27;j.jct.2007.05.016;144
28;j.jct.2011.06.021;143
29;j.jct.2012.12.007;135
30;j.jct.2010.10.025;128
31;je400512u;126
32;j.fluid.2007.01.001;126
33;j.tca.2014.01.027;120
34;je050540h;117
35;je8009336;117
36;j.jct.2007.02.008;117
37;j.jct.2010.05.016;114
38;je5004719;108
39;j.jct.2009.08.016;104
40;s10765-008-0498-6;96
41;je7007654;96
42;s10765-008-0491-0;96
43;je901072c;94
44;je0497810;91
45;j.jct.2013.10.013;90
46;j.jct.2009.02.002;84
47;j.jct.2008.01.008;83
48;j.jct.2015.06.009;82
49;j.jct.2008.07.010;81
50;j.tca.2005.10.008;76
51;j.jct.2010.04.018;75
52;j.jct.2010.07.016;70
53;je0601098;70
54;j.jct.2006.03.018;66
55;j.jct.2012.05.023;66
56;j.jct.2005.06.011;66
57;je200504u;66
58;je8004613;65
59;j.jct.2009.01.010;64
60;je900274n;63
61;j.jct.2009.06.001;60
62;j.jct.2005.12.005;55
63;j.jct.2008.09.018;55
64;j.jct.2009.09.013;54
65;j.jct.2013.06.020;54
66;je400977r;50
67;s10765-013-1526-8;48
68;je060389r;48
69;j.jct.2012.08.023;45
70;je900240s;44
71;j.tca.2010.03.028;41
72;je0502142;38
73;je0500330;37
74;je0498457;35
75;je100594u;34
76;je060017i;34
77;je0501585;33
78;je9010882;32
79;j.jct.2013.11.021;30
80;je200468r;27
81;je501169y;24
82;j.jct.2012.11.001;24
83;s10765-009-0665-4;24
84;j.jct.2012.05.033;22
85;j.jct.2013.05.012;20
86;j.fluid.2007.07.066;15
87;j.jct.2006.08.007;15
88;j.jct.2013.08.033;13
89;j.jct.2006.07.015;12
90;je2000205;12
91;j.jct.2013.09.008;12
92;s10765-010-0719-7;11
93;j.tca.2005.08.034;11
94;j.jct.2008.09.008;10
95;je900064e;8
96;j.jct.2006.01.007;6
97;j.tca.2011.10.013;6
