;Filename;Count
0;j.fluid.2008.03.004;1170
1;je300789a;820
2;j.jct.2011.01.014;585
3;j.jct.2008.05.014;485
4;je900739x;462
5;j.jct.2009.09.001;450
6;je901020a;417
7;je060291c;409
8;j.fluid.2014.06.005;396
9;j.jct.2008.08.003;389
10;je100734t;384
11;j.jct.2008.01.015;355
12;j.tca.2012.08.011;322
13;j.jct.2010.06.008;312
14;j.jct.2010.08.021;312
15;je100765j;308
16;j.fluid.2013.06.021;280
17;je5007604;279
18;je800026p;275
19;s10765-009-0593-3;270
20;je301082y;270
21;je5009334;264
22;j.fluid.2007.07.016;264
23;j.fluid.2014.10.004;264
24;je900437b;252
25;acs.jced.5b00031;240
26;je8000975;235
27;j.jct.2007.05.005;234
28;j.jct.2006.06.008;234
29;j.jct.2007.02.008;234
30;je050110r;234
31;je600519p;228
32;j.jct.2013.05.003;227
33;je060353z;220
34;j.jct.2013.06.020;218
35;j.jct.2010.12.028;216
36;je5004719;216
37;je1012857;210
38;j.jct.2013.04.021;210
39;j.jct.2013.01.013;210
40;j.jct.2012.01.022;210
41;j.tca.2011.06.003;210
42;j.jct.2013.10.018;204
43;je060107n;202
44;je700021f;198
45;je900468u;195
46;j.jct.2007.05.015;195
47;s10765-006-0047-0;180
48;j.tca.2011.06.020;180
49;s10765-006-0063-0;180
50;je400415r;180
51;s10765-009-0562-x;176
52;je400539h;176
53;je700245a;174
54;je400722h;174
55;je700281z;171
56;je100472t;170
57;j.jct.2006.03.010;168
58;j.jct.2013.05.009;168
59;j.jct.2008.06.001;167
60;je900874z;166
61;je900570e;165
62;je7005727;165
63;j.jct.2012.09.015;162
64;j.jct.2009.01.008;162
65;j.fluid.2007.12.007;162
66;j.tca.2011.07.023;154
67;j.tca.2014.06.028;150
68;j.jct.2009.03.009;150
69;j.fluid.2014.01.019;150
70;j.jct.2013.11.015;150
71;je500458e;147
72;j.jct.2011.09.008;145
73;j.jct.2013.10.013;145
74;j.tca.2013.12.021;145
75;s10765-011-0995-x;144
76;je9005344;144
77;j.jct.2007.05.016;144
78;je301353z;144
79;j.jct.2013.10.025;144
80;j.jct.2008.02.005;144
81;s10765-013-1526-8;144
82;j.jct.2011.06.021;143
83;j.jct.2011.05.003;141
84;j.tca.2014.06.031;138
85;j.jct.2006.04.005;135
86;j.jct.2012.12.007;135
87;s10765-011-1087-7;135
88;je900689m;132
89;j.tca.2014.06.026;132
90;j.jct.2011.12.002;132
91;je900056u;132
92;je060343y;132
93;j.tca.2011.02.004;132
94;je9006597;132
95;je100967k;132
96;j.jct.2011.05.018;132
97;j.jct.2008.05.004;132
98;j.tca.2011.01.019;132
99;j.jct.2015.11.015;131
100;j.jct.2012.07.019;130
101;j.jct.2010.10.025;128
102;j.fluid.2007.01.001;126
103;je400512u;126
104;j.jct.2014.09.011;126
105;je0504459;126
106;je900597n;125
107;j.tca.2014.01.027;120
108;je050540h;117
109;je800463k;117
110;j.jct.2005.08.002;117
111;je8009336;117
112;j.jct.2013.08.010;116
113;je400977r;115
114;j.jct.2010.05.016;114
115;s10765-010-0752-6;110
116;acs.jced.5b00343;105
117;j.jct.2009.08.016;104
118;j.jct.2013.04.017;104
119;j.fluid.2011.07.018;103
120;je800653d;103
121;j.fluid.2014.12.012;99
122;je049661s;99
123;j.tca.2011.07.005;99
124;je1008262;99
125;j.tca.2010.04.025;99
126;j.jct.2009.12.008;99
127;je900525f;99
128;je0601098;97
129;s10765-010-0874-x;96
130;je7007654;96
131;s10765-008-0498-6;96
132;j.jct.2009.07.020;96
133;j.jct.2009.05.001;96
134;s10765-008-0491-0;96
135;je800908h;96
136;je901072c;94
137;je0497810;91
138;je4009987;90
139;j.tca.2013.12.015;90
140;je900442b;88
141;s10765-008-0399-8;88
142;je060192z;84
143;j.jct.2015.11.014;84
144;j.jct.2013.07.027;84
145;j.jct.2009.02.002;84
146;j.jct.2008.01.008;83
147;j.jct.2015.06.009;82
148;j.jct.2008.07.010;81
149;j.jct.2007.06.007;80
150;j.tca.2012.10.017;79
151;j.jct.2013.09.008;78
152;j.fluid.2010.04.017;78
153;je5010643;77
154;j.jct.2012.12.010;77
155;j.tca.2005.10.008;76
156;j.jct.2010.04.018;75
157;je200121f;72
158;je200468r;71
159;j.jct.2010.07.016;70
160;je200504u;66
161;j.jct.2006.03.018;66
162;j.jct.2012.05.023;66
163;j.jct.2011.04.008;66
164;j.tca.2014.03.038;66
165;j.jct.2005.06.011;66
166;je8004613;65
167;j.jct.2010.10.016;65
168;je9003959;65
169;j.jct.2009.01.010;64
170;j.tca.2013.08.002;63
171;je900274n;63
172;je060210c;60
173;j.jct.2009.06.001;60
174;j.jct.2013.11.021;60
175;j.jct.2013.05.012;60
176;j.jct.2012.03.034;60
177;je050413l;60
178;j.jct.2009.11.017;57
179;je050483s;56
180;j.tca.2009.03.014;56
181;j.jct.2010.11.015;55
182;j.jct.2009.01.006;55
183;je060200b;55
184;s10765-010-0773-1;55
185;je100610v;55
186;j.jct.2008.09.018;55
187;j.jct.2005.12.005;55
188;j.jct.2007.08.006;55
189;je900240s;55
190;j.jct.2009.09.013;54
191;j.jct.2010.11.007;52
192;j.jct.2009.06.006;52
193;j.fluid.2013.09.026;50
194;je9005486;50
195;je0603325;50
196;je060486k;50
197;j.jct.2007.08.005;49
198;je060389r;48
199;j.jct.2012.08.023;45
200;je8003723;44
201;j.jct.2011.06.011;44
202;j.jct.2006.01.009;42
203;je049544x;42
204;j.jct.2007.01.008;42
205;j.tca.2008.06.004;42
206;je700619q;42
207;je1005196;42
208;je800100m;42
209;j.jct.2011.01.005;41
210;j.tca.2010.03.028;41
211;je049793l;40
212;j.jct.2013.11.022;40
213;j.jct.2008.03.011;39
214;j.jct.2006.10.004;39
215;j.tca.2013.09.006;39
216;j.fluid.2005.06.024;39
217;je800077r;39
218;j.jct.2005.09.001;38
219;je0502142;38
220;je060052p;38
221;je900481e;38
222;je0500330;37
223;j.jct.2006.07.015;36
224;j.tca.2014.03.004;36
225;je0498457;35
226;je7003963;34
227;j.jct.2015.03.004;34
228;j.jct.2006.08.007;34
229;je060017i;34
230;je100594u;34
231;j.fluid.2015.06.041;33
232;je050162g;33
233;j.tca.2005.08.034;33
234;je0501585;33
235;je060311a;33
236;je9010882;32
237;je7003148;30
238;j.jct.2012.11.007;30
239;je101264r;29
240;j.tca.2008.02.022;28
241;j.jct.2012.11.001;24
242;s10765-009-0665-4;24
243;je501169y;24
244;je4005883;24
245;je100170v;22
246;j.jct.2012.05.033;22
247;je060301+;21
248;j.jct.2012.04.020;20
249;je7006742;18
250;j.jct.2006.08.003;16
251;s10765-010-0862-1;15
252;j.fluid.2007.07.066;15
253;j.jct.2013.08.033;13
254;j.jct.2006.01.007;12
255;j.jct.2012.12.022;12
256;j.tca.2011.10.013;12
257;je2000205;12
258;j.jct.2010.07.003;11
259;j.jct.2007.10.007;11
260;s10765-010-0719-7;11
261;acs.jced.5b00198;10
262;j.jct.2008.09.008;10
263;j.jct.2011.07.002;10
264;je900064e;8
265;j.jct.2013.05.037;8
266;j.tca.2011.03.024;6
267;j.tca.2009.07.011;5
268;j.jct.2012.03.029;4
269;j.jct.2013.11.001;2
270;j.jct.2013.09.005;2
271;j.jct.2013.09.009;1
