;Mixture;Count
0;tert-pentyl alcohol__water;16
1;2-methyl-1-butanol__water;15
2;1-butanol, 3-methyl-__water;15
3;pentan-2-ol__water;13
4;3-pentanol__water;11
5;3-methyl-2-butanol__water;10
6;furan__water;9
7;1-butanol__water;8
8;decane__1,3-propanediol;5
9;toluene__methoxymethane;5
10;octane__1,3-propanediol;5
11;glycerol__ethanol;5
12;1,2-dimethylbenzene__methoxymethane;5
13;methanol__1-octadecanol;5
14;octane__1-octadecanol;5
15;glycerol__water;5
16;propane__1,4-dimethylbenzene;5
17;propan-1-ol__1-octadecanol;5
18;1,4-dimethylbenzene__methoxymethane;5
19;2-methylpropane__1,4-dimethylbenzene;5
20;1-dodecanol__decane;5
21;ethanol__1-octadecanol;5
22;1,4-dimethylbenzene__butane;5
23;butan-1-ol__1-octadecanol;5
24;tert-butyl ethyl ether__water;4
25;toluene__water;4
26;benzene__propane;4
27;1,3-dimethylbenzene__methoxymethane;4
28;butane__toluene;4
29;benzene__butane;4
30;benzene__methoxymethane;4
31;propane__toluene;4
32;butane, 2-ethoxy-2-methyl-__water;4
33;2-methylpropane__toluene;4
34;2-methylpropane__1,2-dimethylbenzene;4
35;methyl tert-butyl ether__water;4
36;butane__1,3-dimethylbenzene;4
37;2-methylpropane__1,3-dimethylbenzene;4
38;propane__1,2-dimethylbenzene;4
39;benzene__2-methylpropane;4
40;1,2-dimethylbenzene__butane;4
41;octane__1-dodecanol;4
42;tert-amyl methyl ether__water;4
43;propane__1,3-dimethylbenzene;4
44;methanol__diethylene glycol;3
45;cyclohexane__triethylene glycol;3
46;ethylbenzene__triethylene glycol;3
47;benzene__triethylene glycol;3
48;cyclohexane__diethylene glycol;3
49;hexane__1,3-propanediol;3
50;n-pentane__triethylene glycol;3
51;benzene__diethylene glycol;3
52;n-hexane__diethylene glycol;3
53;1-tetradecanol__decane;3
54;diethylene glycol__n-nonane;3
55;2-propanol__diethylene glycol;3
56;hexane__1-dodecanol;3
57;diethylene glycol__cyclopentane;3
58;1,2-ethanediol__decane;3
59;ethanol__triethylene glycol;3
60;n-octane__triethylene glycol;3
61;1-decanol__decane;3
62;2-propanol__triethylene glycol;3
63;triethylene glycol__cycloheptane;3
64;n-nonane__triethylene glycol;3
65;octane__1-tetradecanol;3
66;diethylene glycol__n-octane;3
67;diethylene glycol__cycloheptane;3
68;diethylene glycol__cyclooctane;3
69;triethylene glycol__n-heptane;3
70;triethylene glycol__cyclooctane;3
71;toluene__triethylene glycol;3
72;hexane__1-decanol;3
73;ethanol__diethylene glycol;3
74;triethylene glycol__cyclopentane;3
75;1-propanol__triethylene glycol;3
76;toluene__diethylene glycol;3
77;n-pentane__diethylene glycol;3
78;octane__1-decanol;3
79;diethylene glycol__n-heptane;3
80;1-propanol__diethylene glycol;3
81;n-hexane__triethylene glycol;3
82;ethylbenzene__diethylene glycol;3
83;1,2-ethanediol__hexane;3
84;3-methylphenol__nonane;2
85;2-methylphenol__nonane;2
86;hexane__1-tetradecanol;2
87;methanol__triethylene glycol;2
88;propylene glycol__ethylbenzene;1
89;methylcyclopentane__methyl cellosolve;1
90;methyl cellosolve__n-decane;1
91;propylene glycol__o-xylene;1
92;methyl cellosolve__cyclohexane;1
93;p-cymene__methyl cellosolve;1
94;benzene__methyl cellosolve;1
95;propylene glycol__naphthalene;1
96;m-xylene__methyl cellosolve;1
97;3-methylphenol__decane;1
98;methyl cellosolve__n-undecane;1
99;methyl cellosolve__n-heptane;1
100;propylene glycol__m-xylene;1
101;o-xylene__methyl cellosolve;1
102;propylene glycol__toluene;1
103;3-methylphenol__undecane;1
104;toluene__methyl cellosolve;1
105;naphthalene__methyl cellosolve;1
106;methyl cellosolve__n-hexane;1
107;ethylbenzene__methyl cellosolve;1
108;p-xylene__methyl cellosolve;1
109;2-methylphenol__undecane;1
110;propylene glycol__n-hexane;1
111;methyl cellosolve__n-nonane;1
112;propylene glycol__benzene;1
113;propylene glycol__p-xylene;1
114;propylene glycol__n-octane;1
115;methyl cellosolve__n-octane;1
116;methyl cellosolve__cyclooctane;1
117;2-methylphenol__decane;1
118;methylcyclohexane__methyl cellosolve;1
119;propylene glycol__n-heptane;1
