;Mixture;Count
0;tert-pentyl alcohol__water;16
1;2-methyl-1-butanol__water;15
2;acrolein__water;15
3;1-butanol, 3-methyl-__water;15
4;pentan-2-ol__water;13
5;lauric acid__isooctane;12
6;propenoic acid, 2-methyl- methyl ester__water;11
7;3-pentanol__water;11
8;3-methyl-2-butanol__water;10
9;propyl ethanoate__water;10
10;ethyl propanoate__water;10
11;furan__water;9
12;1-chlorobutane__water;9
13;butyl ethanoate__water;8
14;dimethyl carbonate__water;8
15;diethyl carbonate__water;8
16;ethenyl ethanoate__water;8
17;2-thiapropane__water;8
18;1-butanol__water;8
19;(E)-crotonaldehyde__water;7
20;ethyl ethanoate__water;7
21;ethyl butanoate__water;7
22;valeraldehyde__water;7
23;heptane__lauric acid;6
24;cyclohexaneamine__ethylcyclohexane;6
25;ethyl alcohol__tetradecanoic acid;6
26;dimethyl ketone__lauric acid;6
27;phenylmethane__capric acid;6
28;methanol__tetradecanoic acid;6
29;butan-2-ol__capric acid;6
30;propan-1-ol__lauric acid;6
31;2-propanol__lauric acid;6
32;benzene, methoxy-__tetradecanoic acid;6
33;hexadecanoic acid__dimethyl ketone;6
34;monochlorobenzene__tetradecanoic acid;6
35;2-propanol__tetradecanoic acid;6
36;2-propanol__capric acid;6
37;methylcyclohexane__cyclohexaneamine;6
38;ethene, trichloro-__capric acid;6
39;propan-1-ol__capric acid;6
40;ethyl ethanoate__tetradecanoic acid;6
41;propan-1-ol__tetradecanoic acid;6
42;1-butanol__tetradecanoic acid;6
43;n-octadecanoic acid__1,2-dichloroethane;6
44;n-octadecanoic acid__methoxybenzene;6
45;dimethyl ketone__tetradecanoic acid;6
46;cyclohexane__capric acid;6
47;methane, trichloro-__tetradecanoic acid;6
48;ethene, trichloro-__tetradecanoic acid;6
49;butan-2-ol__tetradecanoic acid;6
50;ethylbenzene__sulfolane;5
51;propan-1-ol__1-octadecanol;5
52;n-octadecanoic acid__n-propyl alcohol;5
53;methane, trichloro-__capric acid;5
54;1-octadecanol__acetic acid, butyl ester;5
55;toluene__sulfolane;5
56;1,4-dimethylbenzene__2-methylpropene;5
57;chloroethane__1,2-dimethylbenzene;5
58;butan-1-ol__1-octadecanol;5
59;decane__sulfolane;5
60;methanol__1-octadecanol;5
61;cyclohexane__lauric acid;5
62;1-butanol__lauric acid;5
63;styrene__methoxymethane;5
64;n-octadecanoic acid__n-butanol;5
65;n-hexane__capric acid;5
66;1,2-dimethylbenzene__sulfolane;5
67;propane__1,4-dimethylbenzene;5
68;1-butanethiol__water;5
69;linoleic acid__cyclohexane;5
70;1-propanethiol__water;5
71;1,4-dimethylbenzene__cis-2-butene;5
72;toluene__methoxymethane;5
73;ethyl alcohol__capric acid;5
74;decane__1,3-propanediol;5
75;methane, trichloro-__lauric acid;5
76;heptane__capric acid;5
77;1-dodecanol__decane;5
78;1,4-dimethylbenzene__methoxymethane;5
79;1,4-dimethylbenzene__propene;5
80;1,4-dimethylbenzene__1-butene;5
81;cyclohexane__tetradecanoic acid;5
82;glycerol__water;5
83;linoleic acid__freon 20;5
84;heptane__tetradecanoic acid;5
85;linoleic acid__1,2-dichloroethane;5
86;benzene__sulfolane;5
87;glycerol__ethanol;5
88;butan-2-ol__lauric acid;5
89;octane__1,3-propanediol;5
90;linoleic acid__benzene, chloro-;5
91;1,4-dimethylbenzene__sulfolane;5
92;1,3-dimethylbenzene__sulfolane;5
93;chloroethane__toluene;5
94;chloroethane__styrene;5
95;monochlorobenzene__lauric acid;5
96;chloroethane__1,4-dimethylbenzene;5
97;ethanol__1-octadecanol;5
98;1-octadecanol__ethyl ethanoate;5
99;ethylbenzene__lauric acid;5
100;phenylmethane__lauric acid;5
101;1,4-dimethylbenzene__trans-2-butene;5
102;1-octadecanol__pentene;5
103;2-methylpropane__1,4-dimethylbenzene;5
104;sulfolane__heptane;5
105;ethyl ethanoate__lauric acid;5
106;ethyl alcohol__lauric acid;5
107;octane__1-octadecanol;5
108;methanol__lauric acid;5
109;thiophene__water;5
110;1,1-difluoroethane__1,4-dimethylbenzene;5
111;methylene chloride__1-octadecanol;5
112;octane__sulfolane;5
113;1,4-dimethylbenzene__butane;5
114;1,4-dimethylbenzene__1,3-butadiene;5
115;1,2-dimethylbenzene__methoxymethane;5
116;ethene, trichloro-__lauric acid;5
117;nonane__sulfolane;5
118;1-octadecanol__1-heptene;5
119;linoleic acid__methylbenzene;5
120;1,2-dimethylbenzene__cis-2-butene;4
121;butane__toluene;4
122;tert-butyl ethyl ether__water;4
123;n-octadecanoic acid__methylbenzene;4
124;benzene__2-methylpropene;4
125;1-pentene__1,12-diaminododecane;4
126;1,2-dimethylbenzene__1,3-butadiene;4
127;ethyl ethanoate__1,12-diaminododecane;4
128;methyl tert-butyl ether__water;4
129;1-butanol__capric acid;4
130;2-methylpropane__toluene;4
131;1,1-difluoroethane__toluene;4
132;butyl oxide__1,12-diaminododecane;4
133;cis-9-octadecenoic acid__1-hexene;4
134;pentane, 1-chloro-__1,12-diaminododecane;4
135;propane__1,2-dimethylbenzene;4
136;heptane__1,12-diaminododecane;4
137;1,3-dimethylbenzene__trans-2-butene;4
138;n-octadecanoic acid__ethyl ethanoate;4
139;octane__1-dodecanol;4
140;toluene__2-methylpropene;4
141;toluene__propene;4
142;pentane__1,12-diaminododecane;4
143;propane__toluene;4
144;linoleic acid__1-hexene;4
145;1,3-butadiene__toluene;4
146;1-hexene__1,12-diaminododecane;4
147;1,1-difluoroethane__1,3-dimethylbenzene;4
148;n-butyl acetate__1,12-diaminododecane;4
149;linoleic acid__n-heptane;4
150;cis-9-octadecenoic acid__2,2,4-trimethylpentane;4
151;ethanol__1,12-diaminododecane;4
152;ethanoic acid, propyl ester__1,12-diaminododecane;4
153;1-propanol__2-octanone;4
154;toluene__water;4
155;monochlorobenzene__capric acid;4
156;1,1-difluoroethane__1,2-dimethylbenzene;4
157;benzene__methoxymethane;4
