;Mixture;Count
0;ethanol__heptane;1664
1;2-propanol__water;1278
2;methanol__water;1117
3;benzene__octane;1080
4;ethanol__water;1050
5;cyclohexane__nonane;1031
6;1-propanol__toluene;986
7;heptane__dimethoxytetraglycol;854
8;ethanol__methylcyclohexane;851
9;1,4-butanediol__water;849
10;ethanol__toluene;805
11;1-heptanol__heptane;756
12;n-octane__n-decane;750
13;n-hexane__octane;750
14;n-decane__heptane;750
15;n-hexane__decane;750
16;n-heptane__undecane;744
17;ethyl alcohol__n-decane;720
18;1-propanol__water;713
19;2-methyl-2-propanol__water;650
20;n-butyl alcohol__2-methylheptane;648
21;1,3-propanediol__water;634
22;3-methylpentane-1,5-diol__water;592
23;1-butanol__cyclohexane;590
24;dodecane__heptane;563
25;2-methyl-2-propyl-1,3-propanediol__water;554
26;tert-pentyl alcohol__heptane;552
27;1,2-propanediol__water;546
28;benzene__cyclohexane;534
29;glycerol__water;502
30;2,2,4-trimethylpentane__methyl tert-butyl ether;500
31;toluene__methyl tert-butyl ether;493
32;ethanol__methanol;469
33;1-propoxy-2-propanol__water;463
34;1,9-nonanediol__water;453
35;1,1,1-trimethanolethane__water;405
36;propane__butane;403
37;cyclohexane__hexadecane;401
38;2-methylpropane__butane;393
39;benzene__methyl tert-butyl ether;393
40;2,2-bis(hydroxymethyl)-1,3-propanediol__water;391
41;1,3-dimethylbenzene__tert-butyl ethyl ether;390
42;1,2-dimethylbenzene__tert-butyl ethyl ether;390
43;1,3-dimethylbenzene__methyl tert-butyl ether;390
44;1,4-dimethylbenzene__tert-butyl ethyl ether;390
45;ethylbenzene__methyl tert-butyl ether;390
46;1,4-dimethylbenzene__methyl tert-butyl ether;390
47;1,2-dimethylbenzene__methyl tert-butyl ether;390
48;propane__2-methylpropane;383
49;1-propanol__heptane;378
50;tetrahydrofuran__water;368
51;1,2-dihydroxyethane__water;361
52;tert-butanol__water;360
53;hexane__1-hexanol;352
54;2-ethyl-2-(hydroxymethyl)-1,3-propanediol__water;340
55;1,2-ethanediol__water;337
56;1-hexanol__dibutyl ether;328
57;water__18-crown-6;319
58;water__15-crown-5;319
59;n-butyl alcohol__butyl oxide;300
60;n-heptane__2,2,4-trimethylpentane;299
61;ethanol__2,2,4-trimethylpentane;295
62;cyclohexanol__water;295
63;cis-decalin__trans-decalin;293
64;1,3-propanediol, 2,2-diethyl-__water;288
65;cyclopentanol__water;287
66;neopentyl glycol__water;284
67;1,8-dihydroxyoctane__water;283
68;monoglyme__water;280
69;bis(2-hydroxyethyl) ether__water;280
70;pentamethyleneglycol__water;276
71;neopentyl alcohol__water;276
72;.beta.-butylene glycol__water;276
73;water__3,3,7,7-tetrakis(hydroxymethyl)-5-oxanonane;270
74;1,5-pentanediol__water;269
75;2-methyl-1,3-propanediol__water;263
76;2,2-diethyl-1,3-propanediol__water;263
77;1-butanol__heptane;261
78;propan-1-ol__1,8-cineole;260
79;2-methyl-2-propanol__methyl tert-butyl ether;260
80;1-propanol__dibutyl ether;259
81;1,6-hexanediol__water;255
82;triglyme__water;252
83;1-heptanol__1,4-dioxane;252
84;1,1'-biphenyl__phenoxybenzene;250
85;1,2-butanediol__water;248
86;1,3-butanediol__water;248
87;methanol__benzene;248
88;2-(2-butoxyethoxy)ethanol__water;247
89;1,4-dimethylbenzene__decane;246
90;1,4-dimethylbenzene__octane;242
91;3,3-bis(hydroxymethyl)heptane__water;240
92;hexane__hexadecane;234
93;1,6-dihydroxyhexane__water;234
94;2-butoxyethanol__water;232
95;1,4-butanediol__1-dodecanol;227
96;ribitol__water;227
97;diglyme__water;224
98;1-butanol__2,2,4-trimethylpentane;224
99;cycloheptanol__water;222
100;1,8-octanediol__water;220
101;glycerin__water;218
102;propylene glycol__water;216
103;1-butanol__toluene;214
104;D(+)-glucose__water;213
105;2-butyl-2-ethyl-1,3-propanediol__water;212
106;1,2-hexanediol__water;209
107;decane__methyl tert-butyl ether;201
108;hexane__n-decane;200
109;2-propanol__dibutyl ether;200
110;3,6-dioxaoctane__water;196
111;2-phenylethanol__2-propanol;195
112;1-butanol__dibutyl ether;194
113;nonane__methyl tert-butyl ether;193
114;1-butanol__dodecane;193
115;1-octanol__hexadecane;192
