;Mixture;Count;x1;x2;SMILES1;SMILES2
0;ethanol__heptane;1664;ethanol;heptane;CCO;CCCCCCC
1;2-propanol__water;1278;2-propanol;water;CC(C)O;O
2;methanol__water;1117;methanol;water;CO;O
4;ethanol__water;1050;ethanol;water;CCO;O
8;ethanol__methylcyclohexane;851;ethanol;methylcyclohexane;CCO;CC1CCCCC1
18;1-propanol__water;713;1-propanol;water;CCCO;O
19;2-methyl-2-propanol__water;650;2-methyl-2-propanol;water;CC(C)(C)O;O
20;n-butyl alcohol__2-methylheptane;648;n-butyl alcohol;2-methylheptane;CCCCO;CCCCCC(C)C
22;3-methylpentane-1,5-diol__water;592;3-methylpentane-1,5-diol;water;CC(CCO)CCO;O
23;1-butanol__cyclohexane;590;1-butanol;cyclohexane;CCCCO;C1CCCCC1
26;tert-pentyl alcohol__heptane;552;tert-pentyl alcohol;heptane;CCC(C)(C)O;CCCCCCC
32;ethanol__methanol;469;ethanol;methanol;CCO;CO
33;1-propoxy-2-propanol__water;463;1-propoxy-2-propanol;water;CCCOCC(C)O;O
36;propane__butane;403;propane;butane;CCC;CCCC
38;2-methylpropane__butane;393;2-methylpropane;butane;CC(C)C;CCCC
48;propane__2-methylpropane;383;propane;2-methylpropane;CCC;CC(C)C
49;1-propanol__heptane;378;1-propanol;heptane;CCCO;CCCCCCC
50;tetrahydrofuran__water;368;tetrahydrofuran;water;C1CCOC1;O
52;tert-butanol__water;360;tert-butanol;water;CC(C)(C)O;O
53;hexane__1-hexanol;352;hexane;1-hexanol;CCCCCC;CCCCCCO
60;n-heptane__2,2,4-trimethylpentane;299;n-heptane;2,2,4-trimethylpentane;CCCCCCC;CC(C)CC(C)(C)C
61;ethanol__2,2,4-trimethylpentane;295;ethanol;2,2,4-trimethylpentane;CCO;CC(C)CC(C)(C)C
66;neopentyl glycol__water;284;neopentyl glycol;water;CC(C)(CO)CO;O
71;neopentyl alcohol__water;276;neopentyl alcohol;water;CC(C)(C)CO;O
75;2-methyl-1,3-propanediol__water;263;2-methyl-1,3-propanediol;water;CC(CO)CO;O
77;1-butanol__heptane;261;1-butanol;heptane;CCCCO;CCCCCCC
98;1-butanol__2,2,4-trimethylpentane;224;1-butanol;2,2,4-trimethylpentane;CCCCO;CC(C)CC(C)(C)C
127;1-butanol__hexane;174;1-butanol;hexane;CCCCO;CCCCCC
130;1-propanol__2,2,4-trimethylpentane;172;1-propanol;2,2,4-trimethylpentane;CCCO;CC(C)CC(C)(C)C
132;ethanol__cyclohexane;170;ethanol;cyclohexane;CCO;C1CCCCC1
134;ethanol__isopropyl ether;169;ethanol;isopropyl ether;CCO;CC(C)OC(C)C
136;2-propanol__cyclohexane;165;2-propanol;cyclohexane;CC(C)O;C1CCCCC1
142;1,4-dioxane__water;157;1,4-dioxane;water;C1COCCO1;O
143;2,2-dimethyl-1,3-propanediol__water;156;2,2-dimethyl-1,3-propanediol;water;CC(C)(CO)CO;O
151;hexane__heptane;149;hexane;heptane;CCCCCC;CCCCCCC
155;ethanol__isooctane;144;ethanol;isooctane;CCO;CCCCCC(C)C
177;ethanol__2-methyl-1-butanol;134;ethanol;2-methyl-1-butanol;CCO;CCC(C)CO
181;2-propanol__tert-butanol;132;2-propanol;tert-butanol;CC(C)O;CC(C)(C)O
191;1-propanol__tert-butanol;132;1-propanol;tert-butanol;CCCO;CC(C)(C)O
199;isopropyl ether__2,2,4-trimethylpentane;126;isopropyl ether;2,2,4-trimethylpentane;CC(C)OC(C)C;CC(C)CC(C)(C)C
201;ethanol, 2-ethoxy-__cyclohexane;124;ethanol, 2-ethoxy-;cyclohexane;CCOCCO;C1CCCCC1
205;oxacyclopentane__water;120;oxacyclopentane;water;C1CCOC1;O
206;1-butanol__2-methyltetrahydrofuran;120;1-butanol;2-methyltetrahydrofuran;CCCCO;CC1CCCO1
209;ethanol__hexane;118;ethanol;hexane;CCO;CCCCCC
223;1-butanol__tetrahydropyran;108;1-butanol;tetrahydropyran;CCCCO;C1CCOCC1
230;pentane__heptane;107;pentane;heptane;CCCCC;CCCCCCC
233;2-methoxyethanol__tert-butyl ethyl ether;105;2-methoxyethanol;tert-butyl ethyl ether;COCCO;CCOC(C)(C)C
234;methanol__2-methyl-1-propanol;105;methanol;2-methyl-1-propanol;CO;CC(C)CO
235;methanol__1-propanol;105;methanol;1-propanol;CO;CCCO
236;methanol__2-propanol;105;methanol;2-propanol;CO;CC(C)O
237;methanol__1-butanol;105;methanol;1-butanol;CO;CCCCO
241;1-propanol__cyclopentane;102;1-propanol;cyclopentane;CCCO;C1CCCC1
242;1-butanol__water;101;1-butanol;water;CCCCO;O
246;pentane__hexane;100;pentane;hexane;CCCCC;CCCCCC
253;ethanol__2-methyl-2-butanol;98;ethanol;2-methyl-2-butanol;CCO;CCC(C)(C)O
254;ethanol__3-methyl-1-butanol;98;ethanol;3-methyl-1-butanol;CCO;CC(C)CCO
256;2-methoxyethanol__1-hexanol;96;2-methoxyethanol;1-hexanol;COCCO;CCCCCCO
266;tetrahydrofuran__n-hexyl alcohol;96;tetrahydrofuran;n-hexyl alcohol;C1CCOC1;CCCCCCO
271;2-propanol__tetrahydrofuran;96;2-propanol;tetrahydrofuran;CC(C)O;C1CCOC1
285;methanol__2-methyl-2-propanol;95;methanol;2-methyl-2-propanol;CO;CC(C)(C)O
287;1-pentanol__2,2,4-trimethylpentane;92;1-pentanol;2,2,4-trimethylpentane;CCCCCO;CC(C)CC(C)(C)C
291;2-(2-methylpropoxy)ethanol__water;90;2-(2-methylpropoxy)ethanol;water;CC(C)COCCO;O
296;1-butanol__cyclopentane;89;1-butanol;cyclopentane;CCCCO;C1CCCC1
297;1-propanol__cyclohexane;89;1-propanol;cyclohexane;CCCO;C1CCCCC1
299;ethyl alcohol__n-butyl alcohol;88;ethyl alcohol;n-butyl alcohol;CCO;CCCCO
300;2-methoxyethanol__ethanol, 2-ethoxy-;88;2-methoxyethanol;ethanol, 2-ethoxy-;COCCO;CCOCCO
301;ethyl alcohol__propan-1-ol;88;ethyl alcohol;propan-1-ol;CCO;CCCO
309;n-butanol__oxacyclopentane;88;n-butanol;oxacyclopentane;CCCCO;C1CCOC1
311;ethyl alcohol__pentan-1-ol;88;ethyl alcohol;pentan-1-ol;CCO;CCCCCO
315;1-butanol__1,4-dioxane;86;1-butanol;1,4-dioxane;CCCCO;C1COCCO1
317;2-methyl-1-propanol__water;86;2-methyl-1-propanol;water;CC(C)CO;O
319;2-propanol__1,3-dioxolane;85;2-propanol;1,3-dioxolane;CC(C)O;C1COCO1
320;cyclohexane__1,4-dioxane;85;cyclohexane;1,4-dioxane;C1CCCCC1;C1COCCO1
323;2-propanol__tetrahydropyran;84;2-propanol;tetrahydropyran;CC(C)O;C1CCOCC1
324;tetrahydropyran__pentane, 2,2,4-trimethyl-;84;tetrahydropyran;pentane, 2,2,4-trimethyl-;C1CCOCC1;CC(C)CC(C)(C)C
326;2-propanol__pentane, 2,2,4-trimethyl-;84;2-propanol;pentane, 2,2,4-trimethyl-;CC(C)O;CC(C)CC(C)(C)C
329;1-hexanol__2,2,4-trimethylpentane;84;1-hexanol;2,2,4-trimethylpentane;CCCCCCO;CC(C)CC(C)(C)C
335;1-butanol__methylcyclohexane;82;1-butanol;methylcyclohexane;CCCCO;CC1CCCCC1
337;1-butanol__2-methyl-1-propanol;81;1-butanol;2-methyl-1-propanol;CCCCO;CC(C)CO
339;2-methyl-2-propanol__isobutyl alcohol;80;2-methyl-2-propanol;isobutyl alcohol;CC(C)(C)O;CC(C)CO
342;ethanol__cyclopentane;78;ethanol;cyclopentane;CCO;C1CCCC1
348;ethanol__tert-butyl ethyl ether;78;ethanol;tert-butyl ethyl ether;CCO;CCOC(C)(C)C
350;2-propanol__cyclopentane;78;2-propanol;cyclopentane;CC(C)O;C1CCCC1
352;2,2,4-trimethylpentane__tert-butyl ethyl ether;78;2,2,4-trimethylpentane;tert-butyl ethyl ether;CC(C)CC(C)(C)C;CCOC(C)(C)C
354;cyclopentane__2-pentanol;78;cyclopentane;2-pentanol;C1CCCC1;CCCC(C)O
355;2-methyl-2-butanol__tetrahydrofuran;78;2-methyl-2-butanol;tetrahydrofuran;CCC(C)(C)O;C1CCOC1
