;Mixture;Count
0;ethanol__heptane;1664
1;2-propanol__water;1278
2;methanol__water;1117
3;benzene__octane;1080
4;benzoic acid, methyl ester__pentylcarbinol;1053
5;ethanol__water;1050
6;benzoic acid, methyl ester__cyclohexane;1049
7;acetone__heptane;1044
8;cyclohexane__nonane;1031
9;1-propanone, 1-phenyl-__toluene;992
10;N-methyldiethanolamine__water;990
11;1-propanol__toluene;986
12;octane__1-chlorohexane;968
13;heptane__dimethoxytetraglycol;854
14;ethanol__methylcyclohexane;851
15;1,4-butanediol__water;849
16;ethanol__toluene;805
17;carbon dioxide__water;792
18;glycine__water;759
19;1-heptanol__heptane;756
20;1-bromobutane__carbon dioxide;751
21;n-hexane__octane;750
22;n-hexane__decane;750
23;n-decane__heptane;750
24;n-octane__n-decane;750
25;n-heptane__undecane;744
26;1-chlorobutane__heptane;738
27;ethyl alcohol__n-decane;720
28;1-propanol__water;713
29;ethanol__boldine;699
30;1-butanol__carbon dioxide;679
31;1-chlorobutane__carbon dioxide;675
32;N,N-dimethylformamide__carbon dioxide;667
33;heptane__1-chloro-2-methylpropane;660
34;2-chlorobutane__heptane;660
35;heptane__2-chloro-2-methylpropane;660
36;2-methyl-2-propanol__water;650
37;n-butyl alcohol__2-methylheptane;648
38;1,3-propanediol__water;634
39;propyl alcohol__boldine;600
40;n-hexane__dimethyl carbonate;600
41;3-methylpentane-1,5-diol__water;592
42;1-butanol__cyclohexane;590
43;methanol__2-hydroxyethylammonium acetate;585
44;ethanol__2-hydroxyethylammonium acetate;585
45;water__2-hydroxyethylammonium acetate;585
46;propan-1-ol__1,6-octadien-3-ol, 3,7-dimethyl-;584
47;carbon dioxide__dimethyl carbonate;577
48;carbon dioxide__1-methylimidazole;569
49;2-amino-2-methyl-1-propanol__water;565
50;dodecane__heptane;563
51;thianaphthene__hexane;560
52;1-chlorobutane__hexane;560
53;2-methyl-2-propyl-1,3-propanediol__water;554
54;tert-pentyl alcohol__heptane;552
55;decane__carbon dioxide;549
56;1,2-propanediol__water;546
57;carbon dioxide__n-heptane;540
58;2-propanol__carbon dioxide;538
59;benzene__cyclohexane;534
60;difluoromethane__ethane, pentafluoro-;521
61;methyl sulfoxide__ethylene glycol;516
62;glycerol__water;502
63;2,2,4-trimethylpentane__methyl tert-butyl ether;500
64;toluene__methyl tert-butyl ether;493
65;N,N-dimethylformamide__water;482
66;ethanol__methanol;469
67;1-propoxy-2-propanol__water;463
68;piperidine__water;460
69;1,2-ethanediamine__water;460
70;carbon dioxide__tridecane;459
71;magnesium acetate__water;457
72;1,9-nonanediol__water;453
73;1,3-dimethylurea__water;452
74;3-ethoxy-1-propanamine__water;450
75;betaine__water;436
76;L-alanine__water;434
77;decane__dimethyl carbonate;430
78;thiophene__carbon dioxide;425
79;methanol__N-methyl-2-pyrrolidone;410
80;ethane, pentafluoro-__1,1,1-trifluoroethane;409
81;N-methyl-2-pyrrolidone__water;408
82;1,1,1-trimethanolethane__water;405
83;3-dimethylaminopropylamine__water;405
84;propane__butane;403
85;cyclohexane__hexadecane;401
86;2-methylpropane__butane;393
87;benzene__methyl tert-butyl ether;393
88;2,2-bis(hydroxymethyl)-1,3-propanediol__water;391
89;1,4-dimethylbenzene__tert-butyl ethyl ether;390
90;1,4-dimethylbenzene__methyl tert-butyl ether;390
91;1,3-dimethylbenzene__methyl tert-butyl ether;390
92;1,3-dimethylbenzene__tert-butyl ethyl ether;390
93;1,2-dimethylbenzene__tert-butyl ethyl ether;390
94;ethylbenzene__methyl tert-butyl ether;390
95;1,2-dimethylbenzene__methyl tert-butyl ether;390
96;1,4-dichlorobutane__N,N-dimethylacetamide;384
97;N-methyl-2-pyrrolidone__1,6-dichlorohexane;384
98;N,N-dimethylformamide__1,6-dichlorohexane;383
99;N,N-dimethylformamide__1,2-dichloroethane;383
100;1-chlorobutane__N-methyl-2-pyrrolidone;383
101;1,2-dichloroethane__N-methyl-2-pyrrolidone;383
102;1,2-dichloroethane__N,N-dimethylacetamide;383
103;1-chlorohexane__N-methyl-2-pyrrolidone;383
104;1-chlorooctane__N-methyl-2-pyrrolidone;383
105;1,4-dichlorobutane__N-methyl-2-pyrrolidone;383
106;propane__2-methylpropane;383
