;Mixture;Count;x1;x2;SMILES1;SMILES2
2;2-propanol__water;1012;2-propanol;water;CC(C)O;O
5;ethanol__methylcyclohexane;753;ethanol;methylcyclohexane;CCO;CC1CCCCC1
9;ethanol__water;712;ethanol;water;CCO;O
10;ethanol__heptane;708;ethanol;heptane;CCO;CCCCCCC
11;2-methyl-2-propanol__water;636;2-methyl-2-propanol;water;CC(C)(C)O;O
12;1-butanol__cyclohexane;501;1-butanol;cyclohexane;CCCCO;C1CCCCC1
14;tert-butanol__water;360;tert-butanol;water;CC(C)(C)O;O
15;n-butyl alcohol__2-methylheptane;324;n-butyl alcohol;2-methylheptane;CCCCO;CCCCCC(C)C
17;1-propoxy-2-propanol__water;318;1-propoxy-2-propanol;water;CCCOCC(C)O;O
34;tetrahydrofuran__water;220;tetrahydrofuran;water;C1CCOC1;O
37;neopentyl alcohol__water;213;neopentyl alcohol;water;CC(C)(C)CO;O
38;methanol__water;212;methanol;water;CO;O
39;2-methyl-1,3-propanediol__water;209;2-methyl-1,3-propanediol;water;CC(CO)CO;O
57;1-propanol__water;172;1-propanol;water;CCCO;O
60;propane__butane;157;propane;butane;CCC;CCCC
61;2,2-dimethyl-1,3-propanediol__water;156;2,2-dimethyl-1,3-propanediol;water;CC(C)(CO)CO;O
65;ethanol__2,2,4-trimethylpentane;150;ethanol;2,2,4-trimethylpentane;CCO;CC(C)CC(C)(C)C
66;hexane__heptane;149;hexane;heptane;CCCCCC;CCCCCCC
78;3-methylpentane-1,5-diol__water;138;3-methylpentane-1,5-diol;water;CC(CCO)CCO;O
85;ethanol__2-methyl-1-butanol;116;ethanol;2-methyl-1-butanol;CCO;CCC(C)CO
88;ethanol__cyclohexane;111;ethanol;cyclohexane;CCO;C1CCCCC1
91;1-propanol__2,2,4-trimethylpentane;108;1-propanol;2,2,4-trimethylpentane;CCCO;CC(C)CC(C)(C)C
92;pentane__heptane;107;pentane;heptane;CCCCC;CCCCCCC
97;2-methoxyethanol__tert-butyl ethyl ether;105;2-methoxyethanol;tert-butyl ethyl ether;COCCO;CCOC(C)(C)C
100;tert-pentyl alcohol__heptane;102;tert-pentyl alcohol;heptane;CCC(C)(C)O;CCCCCCC
106;pentane__hexane;100;pentane;hexane;CCCCC;CCCCCC
108;ethanol__3-methyl-1-butanol;98;ethanol;3-methyl-1-butanol;CCO;CC(C)CCO
109;ethanol__2-methyl-2-butanol;98;ethanol;2-methyl-2-butanol;CCO;CCC(C)(C)O
