;Mixture;Count
0;benzene__octane;1067
1;benzoic acid, methyl ester__pentylcarbinol;1053
2;benzoic acid, methyl ester__cyclohexane;1049
3;cyclohexane__nonane;1031
4;2-propanol__water;1012
5;1-propanone, 1-phenyl-__toluene;968
6;octane__1-chlorohexane;968
7;acetone__heptane;882
8;1-propanol__toluene;842
9;1-heptanol__heptane;756
10;ethanol__methylcyclohexane;753
11;1-bromobutane__carbon dioxide;751
12;n-decane__heptane;750
13;n-octane__n-decane;750
14;ethanol__toluene;723
15;ethanol__water;712
16;ethanol__heptane;708
17;1-chlorobutane__carbon dioxide;675
18;1-butanol__carbon dioxide;668
19;N,N-dimethylformamide__carbon dioxide;667
20;2-methyl-2-propanol__water;636
21;carbon dioxide__dimethyl carbonate;577
22;carbon dioxide__1-methylimidazole;569
23;thianaphthene__hexane;560
24;decane__carbon dioxide;549
25;2-amino-2-methyl-1-propanol__water;541
26;2-propanol__carbon dioxide;538
27;N-methyldiethanolamine__water;538
28;methyl sulfoxide__ethylene glycol;516
29;1-butanol__cyclohexane;501
30;propan-1-ol__1,6-octadien-3-ol, 3,7-dimethyl-;488
31;thiophene__carbon dioxide;425
32;glycerol__water;381
33;betaine__water;368
34;1-hexanol__carbon dioxide;368
35;1,2-dichloroethane__N,N-dimethylacetamide;360
36;1-chlorohexane__N-methyl-2-pyrrolidone;360
37;1,4-dichlorobutane__N,N-dimethylacetamide;360
38;N,N-dimethylformamide__1,4-dichlorobutane;360
39;N,N-dimethylformamide__1,6-dichlorohexane;360
40;N,N-dimethylacetamide__1,6-dichlorohexane;360
41;N-methyl-2-pyrrolidone__1,6-dichlorohexane;360
42;1-chlorobutane__N-methyl-2-pyrrolidone;360
43;1-chlorooctane__N-methyl-2-pyrrolidone;360
44;tert-butanol__water;360
45;1,4-dichlorobutane__N-methyl-2-pyrrolidone;360
46;N,N-dimethylformamide__1,2-dichloroethane;360
47;1,2-dichloroethane__N-methyl-2-pyrrolidone;360
48;bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-__1-methyl-p-isopropenyl-1-cyclohexene;330
49;n-butyl alcohol__2-methylheptane;324
50;1,1,1-trimethanolethane__water;324
51;N,N-dimethylformamide__water;323
52;1-propoxy-2-propanol__water;318
53;ethanol__1-hexene;308
54;n-hexane__dimethyl carbonate;300
55;n-butyl alcohol__butyl oxide;300
56;cyclopentanol__water;287
57;cyclohexanol__water;280
58;bis(2-hydroxyethyl) ether__water;280
59;cis-decalin__trans-decalin;278
60;cyclohexane__dimethyl carbonate;275
61;2-ethyl-2-(hydroxymethyl)-1,3-propanediol__water;270
62;1,5-pentanediol__water;269
63;ethylene chloride__dimethylglycol;264
64;benzene__cyclohexane;262
65;propan-1-ol__1,8-cineole;260
66;1,6-hexanediol__water;255
67;1-hexanol__dibutyl ether;254
68;glycine__water;250
69;1,1'-biphenyl__phenoxybenzene;250
70;ethylene chloride__2,5,8-trioxanonane;250
71;ethylene chloride__bis(2-ethoxyethyl) ether;243
72;1,4-dimethylbenzene__octane;242
73;ammonia__ammonium bromide;236
74;magnesium acetate__water;235
75;1,4-butanediol__1-dodecanol;227
76;n-butanol__1-hexene;224
77;3-ethoxy-1-propanamine__water;223
78;tetrabutylammonium bromide__water;223
79;cycloheptanol__water;222
80;1,8-octanediol__water;220
81;tetrahydrofuran__water;220
82;water__3,3,7,7-tetrakis(hydroxymethyl)-5-oxanonane;214
83;1,9-nonanediol__water;213
84;neopentyl alcohol__water;213
85;methanol__water;212
86;2-aminoethanol__water;211
87;2-methyl-1,3-propanediol__water;209
88;chloroform__1-propanol;204
89;ammonia__ammonium chloride;200
90;2-propanol__dibutyl ether;200
91;1-propanol__dibutyl ether;200
92;N,N-dimethylformamide__toluene;199
93;3,6-dioxaoctane__water;196
94;1,4-dimethylbenzene__methyl tert-butyl ether;195
95;ethanol__2-hydroxyethylammonium acetate;195
96;1,3-dimethylbenzene__methyl tert-butyl ether;195
97;1,2-dimethylbenzene__methyl tert-butyl ether;195
98;1,3-dimethylbenzene__tert-butyl ethyl ether;195
99;1,4-dimethylbenzene__tert-butyl ethyl ether;195
100;water__2-hydroxyethylammonium acetate;195
101;methanol__2-hydroxyethylammonium acetate;195
102;1,2-dimethylbenzene__tert-butyl ethyl ether;195
103;methanol__chloroform;192
104;2-butoxyethanol__water;191
105;2-dimethylaminoethanol__water;188
106;ethane__hydrogen sulfide;188
107;2,6,10,15,19,23-hexamethyltetracosane__2,6,10,15,19,23-hexamethyltetracosane;187
108;toluene__N-methyl-2-pyrrolidone;185
109;L-alanine__water;184
110;2-propanol__propene;183
111;decane__methyl tert-butyl ether;181
112;diethyl carbonate__1,4-dimethylbenzene;180
113;1,4-dimethylbenzene__N-methyl-2-pyrrolidone;180
114;1,4-dimethylbenzene__decane;180
115;L-valine__water;176
116;2-propanol__1,6-octadien-3-ol, 3,7-dimethyl-;176
117;ethanol__1,6-octadien-3-ol, 3,7-dimethyl-;176
118;cyclohexylmethanol__water;176
119;carbon dioxide__water;176
120;2-cyclohexylethanol__water;175
121;benzene__cyclohexylamine;175
122;nonane__methyl tert-butyl ether;173
123;diethoxymethane__water;173
124;1-propanol__water;172
125;n-octane__nonane;171
126;isopropyl ether__1-chlorobutane;168
127;ethanol__benzyl acetate;168
128;isopropyl ether__2-methyl-2-chloropropane;168
129;isopropyl ether__propane, 1-chloro-2-methyl-;168
130;chloroform__1-butanol;168
131;1-methylpropyl chloride__isopropyl ether;167
132;2-propanol__butanone;167
133;pentaerythritol__water;165
134;propanone__toluene;165
135;cyclopentanone__water;164
136;triethylamine__water;161
137;methyl sulfoxide__water;161
138;propane__butane;157
139;benzene__N-methyl-2-pyrrolidone;157
140;cyclooctanol__water;156
141;2,2-dimethyl-1,3-propanediol__water;156
142;2,5,8-trioxanonane__water;154
143;3-pentanone__water;153
144;1,3-propanediamine, N-methyl-__water;153
145;methanol__methyl tert-butyl ether;151
146;n-octane__dimethyl carbonate;150
147;ethanol__2,2,4-trimethylpentane;150
148;diethyl carbonate__n-octane;150
149;1-propanol__chlorobenzene;150
150;1,4-dimethylbenzene__dimethyl carbonate;150
151;hexane__heptane;149
152;aminoethanoic acid__water;149
153;L-threonine__water;148
154;phenylmethanal__cyclohexane;147
155;cyclohexylamine__cyclohexane;147
156;2-(2-butoxyethoxy)ethanol__water;145
157;2-propanol__methyl tert-butyl ether;144
158;butan-1-ol__methyl tert-butyl ether;144
159;1,4-butanediol__water;142
160;cyclohexanone__water;141
161;pentan-1-ol__methyl tert-butyl ether;140
162;propan-1-ol__methyl tert-butyl ether;140
163;ethanol__methyl tert-butyl ether;140
164;diethanolamine__water;140
165;itaconic acid__water;140
166;pentylcarbinol__methyl tert-butyl ether;140
167;ribitol__water;139
168;pentane__nonane;138
169;.beta.-butylene glycol__water;138
170;3-methylpentane-1,5-diol__water;138
171;1-butanol__benzene;138
172;1-butanol__1-hexanamine;136
173;1-hexanamine__heptane;136
174;diethyl carbonate__n-decane;135
175;acetonitrile__formamide;135
176;methanol__magnesium acetate;133
177;N-methylmorpholine__water;132
178;tetrapropylammonium bromide__water;132
179;1-propanol__benzene;131
180;2-phenylethanol__2-propanol;129
181;propanone__water;126
182;1-heptanol__1,4-dioxane;126
183;1-pentanol__chlorobenzene;126
184;ethanol__chloroform;126
185;ethanol__tetrabutylphosphonium bromide;126
186;propan-1-ol__tetrabutylphosphonium bromide;126
187;1-butanol__chlorobenzene;126
188;2-methylpropane__carbon dioxide;126
189;n-butane__carbon dioxide;124
190;1,3-dimethylbenzene__N-methyl-2-pyrrolidone;122
191;methanol__benzene;121
192;cyclohexane__1-hexene;120
193;3,3-bis(hydroxymethyl)heptane__water;120
194;phosphoric triamide, hexamethyl-__water;120
195;n-decane__dimethyl carbonate;120
196;.gamma.-butyrolactone__toluene;119
197;.gamma.-butyrolactone__ethylbenzene;119
198;propane__carbon dioxide;119
199;ethylbenzene__N-methyl-2-pyrrolidone;119
200;N,N-dimethylformamide__ethylbenzene;119
201;butan-1-ol__tetrabutylphosphonium bromide;119
202;1,2-dimethylbenzene__N-methyl-2-pyrrolidone;118
203;methanol__pyridine, 2,4,6-trimethyl-;117
204;D-glucose__water;117
205;1-pentanol__(R)-1-methyl-4-(1-methylethenyl)cyclohexene;117
206;ethanol__ethyl caproate;117
207;ethanol__2-methyl-1-butanol;116
208;pentane__n-octane;114
209;ammonium citrate, dibasic__water;114
210;2,5-hexanediol__water;114
211;2-pyridinemethanol__water;114
212;N,N,N',N'-tetramethylurea__water;114
213;1-decanol__tributyl phosphate;113
214;1-octanol__tributyl phosphate;113
215;butan-1-ol__tetrabutylammonium bromide;112
216;propan-1-ol__tetrabutylammonium bromide;112
217;ethanol__cyclohexane;111
218;n-butanol__dimethoxytetraglycol;110
219;2-butanol__1-amino-2-propanol;110
220;1-butanol__1-amino-2-propanol;110
221;acetic acid__ethanoic anhydride;110
222;diethylene glycol monohexyl ether__water;109
223;2,4-pentanedione__water;109
224;N,N-dimethylformamide__benzene;109
225;vitamin B6 hydrochloride__water;108
226;ethanol__diethanolamine;108
227;1-propanol__2,2,4-trimethylpentane;108
228;ethylene glycol__pyridine, 2,4,6-trimethyl-;108
229;glycerin__water;107
230;pentane__heptane;107
231;propylene glycol__water;106
232;1,3-propanediol__water;106
233;acetamide, N,N-dimethyl-__n-butyl acrylate;105
234;dimethylformamide__diethylene glycol;105
235;2-(2-methoxyethoxy)ethanol__tert-butyl ethyl ether;105
236;acetamide, N,N-dimethyl-__propenoic acid, ethyl ester;105
237;methanol__ethylbenzene;105
238;ethanol, 2-[2-(2-methoxyethoxy)ethoxy]-__tert-butyl ethyl ether;105
239;formamide, N,N-dimethyl-__propenoic acid, ethyl ester;105
240;2-methyl-2-propanol__chlorobenzene;105
241;N,N-dimethylformamide__1,2-dimethylbenzene;105
242;acrylic acid, methyl ester__acetamide, N,N-dimethyl-;105
243;formamide, N,N-dimethyl-__acrylic acid, methyl ester;105
244;N,N-dimethylformamide__1,3-dimethylbenzene;105
245;propenoic acid, 2-methyl- methyl ester__acetamide, N,N-dimethyl-;105
246;formamide, N,N-dimethyl-__propenoic acid, 2-methyl- methyl ester;105
247;2-methoxyethanol__tert-butyl ethyl ether;105
248;3-pyridinemethanol__water;105
249;formamide, N,N-dimethyl-__n-butyl acrylate;105
250;n-butyl alcohol__cyclohexanamine, N-cyclohexyl-;104
251;pentan-1-ol__cyclohexanamine, N-cyclohexyl-;104
252;propyl alcohol__cyclohexanamine, N-cyclohexyl-;104
253;cycloheptanone__water;104
254;1,4-cyclohexanedione__water;103
255;nonane__butyric acid, methyl ester;103
256;ethyl butanoate__heptane;103
257;1-propanol__formamide;102
258;propanone__tetrabutylammonium bromide;102
259;ethyl butanoate__nonane;102
260;tert-pentyl alcohol__heptane;102
261;ethanol__butanone;102
262;N,N-dimethylformamide__acetonitrile;102
263;acetonitrile__N,N-dimethylacetamide;102
264;benzene__.gamma.-butyrolactone;102
265;formamide__1,2-ethanediol;102
266;propanone__tetrabutylphosphonium bromide;102
267;ethanol__formamide;102
268;1,2-propanediol__formamide;102
269;1-butanol__dodecane;102
270;3-methylpyridine__water;102
271;acetonitrile__N-methylacetamide;102
272;N,N'-dimethylurea__water;100
273;n-decane__octadecane;100
274;dodecane__isobutylbenzene;100
275;heptane__butyric acid, methyl ester;100
276;tetralin__isobutylbenzene;100
277;dodecane__tetralin;100
278;pentane__hexane;100
279;(diethylamino)ethanol__1,3-propanediamine, N-methyl-;99
280;(2-hydroxyethyl)dimethylamine__1,3-propanediamine, N-methyl-;99
281;methanol__methyl methacrylate;99
282;heptane__methyl tert-butyl ether;99
283;ethanol__2-methyl-2-butanol;98
284;ethanol__3-methyl-1-butanol;98
285;heptane__dimethyl carbonate;98
286;tris(hydroxymethyl)methanamine__water;97
287;2,6,10,15,19,23-hexamethyltetracosane__1-octanol;96
288;1,2-hexanediol__water;96
289;1-methylimidazole__water;96
290;L-serine__water;96
291;1-octanol__hexadecane;96
292;sec-butanol__cyclohexanamine, N-cyclohexyl-;96
293;dibutylamine__diethylene glycol monohexyl ether;95
294;L-arginine__water;95
295;1-butanol__2,2,4-trimethylpentane;93
296;1,2-dimethoxyethane__water;93
297;toluene__cyclohexane;93
298;formamide__water;92
299;benzene__2,2,4-trimethylpentane;92
300;methylene bromide__heptane;91
301;benzene__butanenitrile;91
302;N-methyldiethanolamine__2-aminoethanol;91
303;2-chlorobutane__ether, ethyl butyl;91
304;2-(2-methoxyethoxy)ethanol__water;91
305;butyl chloride__ether, ethyl butyl;91
306;propane, 1-chloro-2-methyl-__ether, ethyl butyl;91
307;2-methyl-2-chloropropane__ether, ethyl butyl;91
308;methanol__diethylene glycol monohexyl ether;90
309;1-propanol__diethylene glycol monohexyl ether;90
310;acetophenone__toluene;90
311;butylamine__dipropylene glycol monopropyl ether;90
312;carbonyldiamide__water;90
313;1-pentanol__diethylene glycol monohexyl ether;90
314;1-chlorooctane__N,N-dimethylacetamide;90
315;butylamine__diethylene glycol monohexyl ether;90
316;N,N-dimethylformamide__1-chlorooctane;90
317;oxacyclopentane__water;90
318;dibutylamine__dipropylene glycol monopropyl ether;90
319;N,N-dimethylformamide__1-chlorobutane;90
320;1-chlorobutane__N,N-dimethylacetamide;90
321;tributylamine__diethylene glycol monohexyl ether;90
322;tributylamine__dipropylene glycol monopropyl ether;90
323;ethanol__N-methyldiethanolamine;90
324;N,N-dimethylacetamide__1-chlorohexane;90
325;N,N-dimethylformamide__1-chlorohexane;90
326;(+-)-ethyl  2-hydroxypropionate__1,3-propanediol;88
327;methyl ethyl ketone__(+-)-ethyl lactate;88
328;dodecane__tributyl phosphate;88
329;acetonitrile__water;88
330;1-butanol__toluene;88
331;n-butyl alcohol__1,2-benzenedicarboxylic acid, dimethyl ester;88
332;butan-2-ol__dimethyl 1,6-hexanedioate;88
333;ethyl butyrate__3-methyl-1-butanol;88
334;1,2-dihydroxypropane__lactic acid, butyl ester;88
335;(+-)-ethyl lactate__toluene;88
336;butan-2-ol__1,2-benzenedicarboxylic acid, dimethyl ester;88
337;(+-)-ethyl  2-hydroxypropionate__tetrahydrofuran;88
338;propylene glycol__pyridine;88
339;2,2'-methyliminodiethanol__1,3-propanediamine, N-methyl-;88
340;(+-)-ethyl lactate__N-methyl-2-pyrrolidone;88
341;ethyl butyrate__1-hexanol;88
342;pyridine__1,3-propanediol;88
343;ethyl alcohol__propan-1-ol;88
344;toluene__octane;88
345;glycerol__1,2-propanediol;88
346;glycerol__2-propanol;88
347;methylsulfinylmethane__N-methyldiethanolamine;88
348;n-propyl alcohol__lactic acid, butyl ester;88
349;N-methyldiethanolamine__tetramethylene sulfone;88
350;methylsulfinylmethane__iminodiethanol;88
351;1-octanol__1-decanol;88
352;methylsulfinylmethane__2-aminoethanol;88
353;1-butanol__ethyl butyrate;88
