;Mixture;Count
0;ethanol__methanol;105
1;methanol__2-propanol;105
2;methanol__1-propanol;105
3;methanol__1-butanol;105
4;methanol__2-methyl-1-propanol;105
5;methanol__2-methyl-2-propanol;95
6;1,2-dimethoxyethane__nonane;66
7;n-octane__dimethoxytetraglycol;66
8;pentan-1-ol__dimethoxytetraglycol;66
9;nonane__2,5,8-trioxanonane;66
10;pentan-1-ol__butyl oxide;45
11;n-octane__butyl oxide;45
12;pentan-1-ol__n-octane;45
13;bis(2-hydroxyethyl) ether__ethanol, 2-propoxy-;39
14;triethylene glycol__ethanol, 2-propoxy-;39
15;tetraethylene glycol__ethanol, 2-propoxy-;39
16;heptane__dimethoxytetraglycol;34
17;2,5,8-trioxanonane__heptane;33
18;triglyme__heptane;33
19;dimethylglycol__heptane;31
20;1,2-ethanediol__water;10
21;glycerol__water;8
22;1,2-propanediol__water;8
23;1,3-propanediol__water;8
