;Mixture;Count
0;diethyl carbonate__carbon dioxide;160
1;methanol__water;140
2;propanone__carbon dioxide;129
3;diethyl 1,3-propanedioate__ethyl ethanoate;114
4;2-methyl-1-propanol__diethyl 1,3-propanedioate;114
5;diethyl 1,3-propanedioate__heptane;114
6;1-pentanol__diethyl 1,3-propanedioate;114
7;1-butanol__diethyl 1,3-propanedioate;113
8;2-methylpiperidine__water;107
9;1-butanol__dibutyl ether;84
10;ethanol__water;83
11;N-methylpiperidine__water;80
12;ethanol__methanol;76
13;methanol__diethyl malonate;76
14;1-propanol__diethyl oxalate;76
15;ethanol__diethyl oxalate;76
16;ethanol__2-propanol;76
17;2-propanol__diethyl oxalate;76
18;methanol__diethyl oxalate;75
19;1-butanol__dimethyl carbonate;75
20;benzene__pyrrole;74
21;ethanol__1-propanol;74
22;1-pentanol__dimethyl carbonate;70
23;hexyl methyl ketone__octyl alcohol;69
24;hexyl methyl ketone__1-hydroxyhexane;68
25;dimethyl diketone__water;66
26;methylsulfinylmethane__n-hexanoic acid;66
27;1-butanol__acetophenone;65
28;acetophenone__cyclohexane;65
29;1-butanol__ethyl acetoacetate;65
30;acetophenone__heptane;65
31;2-methyl-1-propanol__acetophenone;65
32;ethyl ethanoate__ethyl acetoacetate;65
33;1-pentanol__acetophenone;65
34;1-pentanol__ethyl acetoacetate;65
35;pyrrole__cyclohexane;64
36;N,N-dimethylformamide__n-hexanoic acid;62
37;(RS)-2-butanol__1,1-dimethylethyl methyl ether;61
38;ethanol__2,4-pentanedione;60
39;tetradecane__2-decanone;60
40;ethanonitrile__nonanol;60
41;2-octanone__tetradecane;60
42;dodecane__dipentyl ether;59
43;dodecane__2-decanone;59
44;ethanonitrile__1-decanol;59
45;ethanol, 2-ethoxy-__octane;59
46;tetradecane__dipentyl ether;59
47;2-octanone__dodecane;58
48;ethanol, 2-ethoxy-__cyclohexane;58
49;1-butanol__5-oxanonane;57
50;methanol__2,4-pentanedione;57
51;1-propanol__methyl methanoate;57
52;cetane__2-decanone;57
53;3-octanone__dodecane;57
54;cetane__dipentyl ether;56
55;2-octanone__hexadecane;55
56;2-methyl-1-propanol__bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-;55
57;acetophenone__water;55
58;3-octanone__tetradecane;53
59;3-octanone__hexadecane;52
