;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Activity coefficient;Activity coefficient_std
186038;j.jct.2010.04.011;methyl sulfoxide;1,5-hexadiene;C[S](C)=O;C=CCCC=C;164071-41-4;41919-05-5;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=PYGSKMBEVAICCR-UHFFFAOYSA-N;dimethyl sulfoxide__1,5-hexadiene;0.0;298.0;101.0;11.6;1.16
186039;j.jct.2010.04.011;cetane;1,5-hexadiene;CCCCCCCCCCCCCCCC;C=CCCC=C;544-76-3;41919-05-5;InChIKey=DCAYPVUWAIABOU-UHFFFAOYSA-N;InChIKey=PYGSKMBEVAICCR-UHFFFAOYSA-N;cetane__1,5-hexadiene;0.0;298.0;101.0;0.8;0.08
186040;j.jct.2010.04.011;methyl sulfoxide;1-heptyne;C[S](C)=O;CCCCCC#C;164071-41-4;628-71-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=YVXHZKKCZYLQOP-UHFFFAOYSA-N;dimethyl sulfoxide__1-heptyne;0.0;298.0;101.0;6.9;0.69
186041;j.jct.2010.04.011;methyl sulfoxide;1-hexyne;C[S](C)=O;CCCCC#C;164071-41-4;693-02-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=CGHIBGNXEGJPQZ-UHFFFAOYSA-N;dimethyl sulfoxide__1-hexyne;0.0;298.0;101.0;4.1;0.41
186042;j.jct.2010.04.011;methyl sulfoxide;1-octyne;C[S](C)=O;CCCCCCC#C;164071-41-4;629-05-0;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=UMIPWJGWASORKV-UHFFFAOYSA-N;dimethyl sulfoxide__1-octyne;0.0;298.0;101.0;10.2;1.02
186043;j.jct.2010.04.011;methyl sulfoxide;p-cymene;C[S](C)=O;CC(C)c1ccc(C)cc1;164071-41-4;4939-75-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=HFPZCAJZSCWRBC-UHFFFAOYSA-N;dimethyl sulfoxide__p-cymene;0.0;298.0;101.0;15.1;1.51
186044;j.jct.2010.04.011;methyl sulfoxide;4-ethenylcyclohexene;C[S](C)=O;C=CC1CCC=CC1;164071-41-4;92619-43-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=BBDKZWKEPDTENS-UHFFFAOYSA-N;dimethyl sulfoxide__4-ethenylcyclohexene;0.0;298.0;101.0;20.7;2.07
186046;j.jct.2010.04.011;methyl sulfoxide;methane, bromotrichloro-;C[S](C)=O;ClC(Cl)(Cl)Br;164071-41-4;75-62-7;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=XNNQFQFUQLJSQT-UHFFFAOYSA-N;dimethyl sulfoxide__methane, bromotrichloro-;0.0;298.0;101.0;2.1;0.21
186047;j.jct.2010.04.011;methyl sulfoxide;1,3,5-cycloheptatriene;C[S](C)=O;C1C=CC=CC=C1;164071-41-4;544-25-2;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=CHVJITGCYZJHLR-UHFFFAOYSA-N;dimethyl sulfoxide__1,3,5-cycloheptatriene;0.0;298.0;101.0;5.7;0.57
186048;j.jct.2010.04.011;methyl sulfoxide;1,2,3,4-tetrahydrobenzene;C[S](C)=O;C1CCC=CC1;164071-41-4;7493-04-1;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=HGCIXCUEYOPUTN-UHFFFAOYSA-N;dimethyl sulfoxide__1,2,3,4-tetrahydrobenzene;0.0;298.0;101.0;14.9;1.49
186049;j.jct.2010.04.011;methyl sulfoxide;cyclooctane;C[S](C)=O;C1CCCCCCC1;164071-41-4;292-64-8;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;dimethyl sulfoxide__cyclooctane;0.0;298.0;101.0;63.3;6.33
186051;j.jct.2010.04.011;methyl sulfoxide;cyclopentene;C[S](C)=O;C1CC=CC1;164071-41-4;142-29-0;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=LPIQUOYDBNQMRZ-UHFFFAOYSA-N;dimethyl sulfoxide__cyclopentene;0.0;298.0;101.0;7.0;0.7
186052;j.jct.2010.04.011;methyl sulfoxide;methylcyclohexane;C[S](C)=O;CC1CCCCC1;164071-41-4;108-87-2;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;dimethyl sulfoxide__methylcyclohexane;0.0;298.0;101.0;49.2;4.92
