;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Excess molar enthalpy (molar enthalpy of mixing), kJ/mol;Excess molar enthalpy (molar enthalpy of mixing), kJ/mol_std
21478;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.0703;318.15;101.0;0.3576;0.0001
21479;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.154;318.15;101.0;0.7379;0.0001
21480;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.2369;318.15;101.0;1.0418;0.0001
21481;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.3018;318.15;101.0;1.2373;0.0001
21482;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.3693;318.15;101.0;1.384;0.0001
21483;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.4258;318.15;101.0;1.4654;0.0001
21484;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.4809;318.15;101.0;1.5144;0.0001
21485;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.5084;318.15;101.0;1.519;0.0001
21486;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.5258;318.15;101.0;1.5206;0.0001
21487;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.5447;318.15;101.0;1.5121;0.0001
21488;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.586;318.15;101.0;1.4779;0.0001
21489;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.6301;318.15;101.0;1.4205;0.0001
21490;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.6752;318.15;101.0;1.3368;0.0001
21491;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.7232;318.15;101.0;1.2334;0.0001
21492;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.7744;318.15;101.0;1.0832;0.0001
21493;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.8241;318.15;101.0;0.8991;0.0001
21494;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.8704;318.15;101.0;0.7031;0.0001
21495;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.9177;318.15;101.0;0.4702;0.0001
21496;j.jct.2004.12.014;heptane;methyl propanoate;CCCCCCC;CCC(=O)OC;142-82-5;554-12-1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;heptane__methyl propanoate;0.9639;318.15;101.0;0.2247;0.0001
21514;j.jct.2004.12.014;nonane;methyl propanoate;CCCCCCCCC;CCC(=O)OC;111-84-2;554-12-1;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;nonane__methyl propanoate;0.084;318.15;101.0;0.4626;0.0001
21515;j.jct.2004.12.014;nonane;methyl propanoate;CCCCCCCCC;CCC(=O)OC;111-84-2;554-12-1;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;nonane__methyl propanoate;0.1528;318.15;101.0;0.794;0.0001
21516;j.jct.2004.12.014;nonane;methyl propanoate;CCCCCCCCC;CCC(=O)OC;111-84-2;554-12-1;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;nonane__methyl propanoate;0.2279;318.15;101.0;1.094;0.0001
21517;j.jct.2004.12.014;nonane;methyl propanoate;CCCCCCCCC;CCC(=O)OC;111-84-2;554-12-1;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;nonane__methyl propanoate;0.2957;318.15;101.0;1.3111;0.0001
21518;j.jct.2004.12.014;nonane;methyl propanoate;CCCCCCCCC;CCC(=O)OC;111-84-2;554-12-1;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;nonane__methyl propanoate;0.3549;318.15;101.0;1.4628;0.0001
21519;j.jct.2004.12.014;nonane;methyl propanoate;CCCCCCCCC;CCC(=O)OC;111-84-2;554-12-1;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;nonane__methyl propanoate;0.4111;318.15;101.0;1.5709;0.0001
21520;j.jct.2004.12.014;nonane;methyl propanoate;CCCCCCCCC;CCC(=O)OC;111-84-2;554-12-1;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;nonane__methyl propanoate;0.4611;318.15;101.0;1.636;0.0001
21521;j.jct.2004.12.014;nonane;methyl propanoate;CCCCCCCCC;CCC(=O)OC;111-84-2;554-12-1;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;InChIKey=RJUFJBKOKNCXHH-UHFFFAOYSA-N;nonane__methyl propanoate;0.5059;318.15;101.0;1.6742;0.0001
