;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
0;oxidane;O;12690.0;122.0;1188.0;34.0;376.0;390.0;578.0;15378.0
1;ethanol;CCO;4710.0;16.0;454.0;105.0;507.0;0.0;23.0;5815.0
2;Butan-1-ol;CCCCO;3277.0;13.0;1219.0;105.0;581.0;130.0;71.0;5396.0
3;HEPTANE;CCCCCCC;3493.0;8.0;1065.0;131.0;211.0;0.0;14.0;4922.0
4;Propan-1-ol;CCCO;3295.0;11.0;647.0;105.0;202.0;0.0;0.0;4260.0
7;Cyclohexane;C1CCCCC1;2568.0;7.0;540.0;0.0;354.0;0.0;46.0;3515.0
9;Propan-2-ol;CC(C)O;2520.0;6.0;499.0;105.0;139.0;0.0;0.0;3269.0
13;methanol;CO;1184.0;10.0;215.0;620.0;297.0;0.0;0.0;2326.0
16;2-Ethoxy-2-methylpropane;CCOC(C)(C)C;1153.0;4.0;819.0;0.0;0.0;0.0;0.0;1976.0
17;Methylcyclohexane;CC1CCCCC1;1478.0;1.0;354.0;0.0;76.0;0.0;0.0;1909.0
20;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C;1370.0;0.0;261.0;0.0;156.0;0.0;0.0;1787.0
21;2-Methylpropan-2-ol;CC(C)(C)O;1435.0;0.0;177.0;95.0;0.0;0.0;0.0;1707.0
22;Pentan-1-ol;CCCCCO;858.0;0.0;245.0;156.0;299.0;0.0;0.0;1558.0
24;HEXAN-1-OL;CCCCCCO;1105.0;0.0;322.0;0.0;50.0;0.0;0.0;1477.0
29;Hexane;CCCCCC;732.0;22.0;223.0;0.0;157.0;0.0;87.0;1221.0
33;2-Methoxyethanol;COCCO;565.0;18.0;354.0;0.0;0.0;0.0;0.0;937.0
36;Cyclopentane;C1CCCC1;412.0;6.0;398.0;0.0;71.0;0.0;0.0;887.0
37;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1;289.0;0.0;254.0;0.0;227.0;0.0;112.0;882.0
39;2-Methylbutan-2-ol;CCC(C)(C)O;248.0;16.0;450.0;0.0;98.0;0.0;39.0;851.0
42;Oxolane;C1CCOC1;505.0;0.0;164.0;0.0;98.0;0.0;39.0;806.0
44;2-Methylpropan-1-ol;CC(C)CO;483.0;0.0;155.0;105.0;31.0;0.0;0.0;774.0
52;1,4-Dioxane;C1COCCO1;241.0;0.0;243.0;0.0;59.0;0.0;0.0;543.0
53;2-Methylheptane;CCCCCC(C)C;413.0;0.0;72.0;0.0;42.0;0.0;0.0;527.0
54;Pentane;CCCCC;483.0;6.0;0.0;0.0;0.0;0.0;0.0;489.0
58;1-Propoxypropan-2-ol;CCCOCC(C)O;318.0;0.0;145.0;0.0;0.0;0.0;0.0;463.0
