;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
0;oxidane;O;12690.0;122.0;1188.0;34.0;376.0;390.0;578.0;15378.0
1;ethanol;CCO;4710.0;16.0;454.0;105.0;507.0;0.0;23.0;5815.0
3;Butan-1-ol;CCCCO;3277.0;13.0;1219.0;105.0;581.0;130.0;71.0;5396.0
2;Propan-1-ol;CCCO;3295.0;11.0;647.0;105.0;202.0;0.0;0.0;4260.0
8;HEPTANE;CCCCCCC;2312.0;8.0;1065.0;131.0;211.0;0.0;14.0;3741.0
4;methylbenzene;Cc1ccccc1;2705.0;29.0;660.0;0.0;158.0;0.0;14.0;3566.0
6;2-Methoxy-2-methylpropane;COC(C)(C)C;2321.0;4.0;838.0;0.0;140.0;0.0;0.0;3303.0
5;Propan-2-ol;CC(C)O;2520.0;6.0;499.0;105.0;139.0;0.0;0.0;3269.0
7;BENZENE;c1ccccc1;2314.0;24.0;393.0;0.0;241.0;0.0;14.0;2986.0
9;octane;CCCCCCCC;2022.0;28.0;226.0;156.0;94.0;0.0;0.0;2526.0
14;1-Butoxybutane;CCCCOCCCC;1327.0;0.0;405.0;90.0;595.0;0.0;0.0;2417.0
10;Cyclohexane;C1CCCCC1;1485.0;7.0;540.0;0.0;320.0;0.0;46.0;2398.0
17;methanol;CO;1184.0;10.0;215.0;620.0;297.0;0.0;0.0;2326.0
15;1,4-Dimethylbenzene;Cc1ccc(C)cc1;1307.0;22.0;648.0;0.0;14.0;0.0;14.0;2005.0
19;2-Ethoxy-2-methylpropane;CCOC(C)(C)C;1153.0;4.0;819.0;0.0;0.0;0.0;0.0;1976.0
11;Methylcyclohexane;CC1CCCCC1;1478.0;1.0;354.0;0.0;76.0;0.0;0.0;1909.0
18;OCTAN-1-OL;CCCCCCCCO;1157.0;0.0;668.0;0.0;32.0;0.0;0.0;1857.0
13;Heptan-1-ol;CCCCCCCO;1430.0;0.0;340.0;0.0;21.0;0.0;0.0;1791.0
12;2-Methylpropan-2-ol;CC(C)(C)O;1435.0;0.0;177.0;95.0;0.0;0.0;0.0;1707.0
16;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C;1216.0;0.0;261.0;0.0;156.0;0.0;0.0;1633.0
22;Pentan-1-ol;CCCCCO;858.0;0.0;245.0;156.0;299.0;0.0;0.0;1558.0
23;2-Butoxyethanol;CCCCOCCO;851.0;0.0;632.0;0.0;38.0;0.0;0.0;1521.0
20;HEXAN-1-OL;CCCCCCO;1105.0;0.0;322.0;0.0;50.0;0.0;0.0;1477.0
24;DECAN-1-OL;CCCCCCCCCCO;817.0;9.0;564.0;0.0;45.0;0.0;0.0;1435.0
