;Mixture;x1;x2;SMILES1;SMILES2;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Mixture Count emv binary;Mixture Count all
0;benzene__octane;benzene;octane;c1ccccc1;CCCCCCCC;1067.0;0.0;13.0;0.0;0.0;0.0;0.0;1080.0
2;2-propanol__water;2-propanol;water;CC(C)O;O;1012.0;0.0;0.0;0.0;45.0;0.0;0.0;1057.0
3;1-propanol__toluene;1-propanol;toluene;CCCO;Cc1ccccc1;842.0;0.0;0.0;0.0;0.0;0.0;0.0;842.0
9;ethanol__water;ethanol;water;CCO;O;712.0;0.0;20.0;0.0;83.0;0.0;0.0;815.0
8;ethanol__toluene;ethanol;toluene;CCO;Cc1ccccc1;723.0;0.0;71.0;0.0;0.0;0.0;0.0;794.0
5;ethanol__methylcyclohexane;ethanol;methylcyclohexane;CCO;CC1CCCCC1;753.0;0.0;11.0;0.0;0.0;0.0;0.0;764.0
4;1-heptanol__heptane;1-heptanol;heptane;CCCCCCCO;CCCCCCC;756.0;0.0;0.0;0.0;0.0;0.0;0.0;756.0
10;ethanol__heptane;ethanol;heptane;CCO;CCCCCCC;708.0;0.0;39.0;0.0;0.0;0.0;0.0;747.0
11;2-methyl-2-propanol__water;2-methyl-2-propanol;water;CC(C)(C)O;O;636.0;0.0;6.0;0.0;0.0;0.0;0.0;642.0
12;1-butanol__cyclohexane;1-butanol;cyclohexane;CCCCO;C1CCCCC1;501.0;0.0;51.0;0.0;38.0;0.0;0.0;590.0
156;dodecane__heptane;dodecane;heptane;CCCCCCCCCCCC;CCCCCCC;78.0;0.0;485.0;0.0;0.0;0.0;0.0;563.0
100;tert-pentyl alcohol__heptane;tert-pentyl alcohol;heptane;CCC(C)(C)O;CCCCCCC;102.0;0.0;450.0;0.0;0.0;0.0;0.0;552.0
70;1,4-butanediol__water;1,4-butanediol;water;OCCCCO;O;142.0;0.0;142.0;0.0;36.0;109.0;109.0;538.0
17;1-propoxy-2-propanol__water;1-propoxy-2-propanol;water;CCCOCC(C)O;O;318.0;0.0;145.0;0.0;0.0;0.0;0.0;463.0
13;glycerol__water;glycerol;water;OCC(O)CO;O;381.0;5.0;0.0;8.0;0.0;0.0;0.0;394.0
48;1,2-dimethylbenzene__tert-butyl ethyl ether;1,2-dimethylbenzene;tert-butyl ethyl ether;Cc1ccccc1C;CCOC(C)(C)C;195.0;0.0;195.0;0.0;0.0;0.0;0.0;390.0
45;1,4-dimethylbenzene__tert-butyl ethyl ether;1,4-dimethylbenzene;tert-butyl ethyl ether;Cc1ccc(C)cc1;CCOC(C)(C)C;195.0;0.0;195.0;0.0;0.0;0.0;0.0;390.0
44;1,4-dimethylbenzene__methyl tert-butyl ether;1,4-dimethylbenzene;methyl tert-butyl ether;Cc1ccc(C)cc1;COC(C)(C)C;195.0;0.0;195.0;0.0;0.0;0.0;0.0;390.0
43;1,3-dimethylbenzene__methyl tert-butyl ether;1,3-dimethylbenzene;methyl tert-butyl ether;Cc1cccc(C)c1;COC(C)(C)C;195.0;0.0;195.0;0.0;0.0;0.0;0.0;390.0
46;1,3-dimethylbenzene__tert-butyl ethyl ether;1,3-dimethylbenzene;tert-butyl ethyl ether;Cc1cccc(C)c1;CCOC(C)(C)C;195.0;0.0;195.0;0.0;0.0;0.0;0.0;390.0
47;1,2-dimethylbenzene__methyl tert-butyl ether;1,2-dimethylbenzene;methyl tert-butyl ether;Cc1ccccc1C;COC(C)(C)C;195.0;0.0;195.0;0.0;0.0;0.0;0.0;390.0
38;methanol__water;methanol;water;CO;O;212.0;0.0;12.0;0.0;140.0;0.0;0.0;364.0
14;tert-butanol__water;tert-butanol;water;CC(C)(C)O;O;360.0;0.0;0.0;0.0;0.0;0.0;0.0;360.0
28;1-hexanol__dibutyl ether;1-hexanol;dibutyl ether;CCCCCCO;CCCCOCCCC;254.0;0.0;54.0;0.0;20.0;0.0;0.0;328.0
15;n-butyl alcohol__2-methylheptane;n-butyl alcohol;2-methylheptane;CCCCO;CCCCCC(C)C;324.0;0.0;0.0;0.0;0.0;0.0;0.0;324.0
16;1,1,1-trimethanolethane__water;1,1,1-trimethanolethane;water;CC(CO)(CO)CO;O;324.0;0.0;0.0;0.0;0.0;0.0;0.0;324.0
25;benzene__cyclohexane;benzene;cyclohexane;c1ccccc1;C1CCCCC1;262.0;0.0;44.0;0.0;0.0;0.0;0.0;306.0
94;1,3-propanediol__water;1,3-propanediol;water;OCCCO;O;106.0;0.0;0.0;8.0;36.0;64.0;90.0;304.0
18;n-butyl alcohol__butyl oxide;n-butyl alcohol;butyl oxide;CCCCO;CCCCOCCCC;300.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0
21;cyclohexanol__water;cyclohexanol;water;OC1CCCCC1;O;280.0;0.0;15.0;0.0;0.0;0.0;0.0;295.0
19;cyclopentanol__water;cyclopentanol;water;OC1CCCC1;O;287.0;0.0;0.0;0.0;0.0;0.0;0.0;287.0
20;bis(2-hydroxyethyl) ether__water;bis(2-hydroxyethyl) ether;water;OCCOCCO;O;280.0;0.0;0.0;0.0;0.0;0.0;0.0;280.0
22;cis-decalin__trans-decalin;cis-decalin;trans-decalin;C1CC[C@@H]2CCCC[C@@H]2C1;C1CC[C@@H]2CCCC[C@H]2C1;278.0;0.0;0.0;0.0;0.0;0.0;0.0;278.0
76;.beta.-butylene glycol__water;.beta.-butylene glycol;water;CC(O)CCO;O;138.0;0.0;138.0;0.0;0.0;0.0;0.0;276.0
