;InChI;Count;Component;SMILES
0;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;9511;Decane;CCCCCCCCCC
1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;2029;HEPTANE;CCCCCCC
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1851;ethanol;CCO
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1844;Butan-1-ol;CCCCO
4;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1349;oxidane;O
5;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;1218;methylbenzene;Cc1ccccc1
6;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;1197;Propan-1-ol;CCCO
7;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;1043;methanol;CO
8;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;811;HEXAN-1-OL;CCCCCCO
9;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;805;2-Methylpropan-1-ol;CC(C)CO
10;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;710;Propan-2-ol;CC(C)O
11;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;671;Hexane;CCCCCC
12;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;572;Pentan-1-ol;CCCCCO
13;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;559;Heptan-1-ol;CCCCCCCO
14;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;550;Cyclohexane;C1CCCCC1
15;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;515;DECAN-1-OL;CCCCCCCCCCO
16;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;506;octane;CCCCCCCC
17;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;494;BENZENE;c1ccccc1
18;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;480;OCTAN-1-OL;CCCCCCCCO
19;InChIKey=SNRUBQQJIBEYMU-UHFFFAOYSA-N;475;Dodecane;CCCCCCCCCCCC
20;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;474;Methoxymethane;COC
21;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;459;Ethane-1,2-diol;OCCO
22;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;411;Nonane;CCCCCCCCC
23;InChIKey=DCAYPVUWAIABOU-UHFFFAOYSA-N;376;HEXADECANE;CCCCCCCCCCCCCCCC
24;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;365;PROPANE-1,2-DIOL;CC(O)CO
25;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;362;1,2-Dimethoxyethane;COCCOC
26;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;299;Butane-1,4-diol;OCCCCO
27;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;282;Nonan-1-ol;CCCCCCCCCO
28;InChIKey=RSJKGSCJYJTIGS-UHFFFAOYSA-N;280;Undecane;CCCCCCCCCCC
29;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;274;1-(2-methoxyethoxy)-2-[2-(2-methoxyethoxy)ethoxy]ethane;COCCOCCOCCOCCOC
30;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;274;2-propan-2-yloxypropane;CC(C)OC(C)C
31;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;267;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
