;InChI;Count;Component;SMILES
1;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;2029;HEPTANE;CCCCCCC
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1851;ethanol;CCO
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1844;Butan-1-ol;CCCCO
4;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1349;oxidane;O
6;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;1197;Propan-1-ol;CCCO
7;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;1043;methanol;CO
8;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;811;HEXAN-1-OL;CCCCCCO
9;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;805;2-Methylpropan-1-ol;CC(C)CO
10;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;710;Propan-2-ol;CC(C)O
11;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;671;Hexane;CCCCCC
12;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;572;Pentan-1-ol;CCCCCO
14;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;550;Cyclohexane;C1CCCCC1
20;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;474;Methoxymethane;COC
30;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;274;2-propan-2-yloxypropane;CC(C)OC(C)C
31;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;267;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
35;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;242;Butan-2-ol;CCC(C)O
41;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;199;Oxolane;C1CCOC1
42;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;196;2-Methylpentane;CCCC(C)C
45;InChIKey=WGECXQBGLLYSFP-UHFFFAOYSA-N;180;2,3-Dimethylpentane;CCC(C)C(C)C
47;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;175;Methylcyclohexane;CC1CCCCC1
48;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;174;2-Ethoxyethanol;CCOCCO
49;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;174;2-Methylbutan-2-ol;CCC(C)(C)O
53;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;169;PROPANE;CCC
54;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;168;hexan-2-ol;CCCCC(C)O
55;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;162;1,4-Dioxane;C1COCCO1
60;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;154;2-Methylpropan-2-ol;CC(C)(C)O
61;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;152;heptan-2-ol;CCCCCC(C)O
62;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;145;2-Methoxyethanol;COCCO
65;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;144;2-Methylpropane;CC(C)C
67;InChIKey=SZNYYWIUQFZLLT-UHFFFAOYSA-N;139;2-methyl-1-(2-methylpropoxy)propane;CC(C)COCC(C)C
