;InChI;Count;Component;SMILES
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;2029;HEPTANE;CCCCCCC
3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1854;ethanol;CCO
4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1849;Butan-1-ol;CCCCO
5;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;1380;oxidane;O
7;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;1205;Propan-1-ol;CCCO
8;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;1050;methanol;CO
9;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;859;Butan-2-ol;CCC(C)O
10;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;812;HEXAN-1-OL;CCCCCCO
11;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;805;2-Methylpropan-1-ol;CC(C)CO
12;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;719;Propan-2-ol;CC(C)O
14;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;672;Hexane;CCCCCC
16;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;573;Pentan-1-ol;CCCCCO
18;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;551;Cyclohexane;C1CCCCC1
19;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;526;2-Methylpropan-2-ol;CC(C)(C)O
24;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;474;Methoxymethane;COC
45;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;274;2-propan-2-yloxypropane;CC(C)OC(C)C
47;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;268;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
69;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;199;Oxolane;C1CCOC1
73;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;196;2-Methylpentane;CCCC(C)C
81;InChIKey=WGECXQBGLLYSFP-UHFFFAOYSA-N;180;2,3-Dimethylpentane;CCC(C)C(C)C
85;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;176;Methylcyclohexane;CC1CCCCC1
87;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;174;2-Methylbutan-2-ol;CCC(C)(C)O
88;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;174;2-Ethoxyethanol;CCOCCO
92;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;169;PROPANE;CCC
95;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;168;hexan-2-ol;CCCCC(C)O
97;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;162;1,4-Dioxane;C1COCCO1
109;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;153;2-Methoxyethanol;COCCO
111;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;152;heptan-2-ol;CCCCCC(C)O
116;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;144;2-Methylpropane;CC(C)C
