;InChI;Count;Component;SMILES
0;InChIKey=ZZLCFHIKESPLTH-UHFFFAOYSA-N;94;1-Methyl-4-phenylbenzene;Cc1ccc(cc1)c2ccccc2
1;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;88;2-Methylbutan-2-ol;CCC(C)(C)O
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;86;ethanol;CCO
3;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;81;Methoxymethane;COC
4;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;75;methanol;CO
5;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;73;2-Methylbutan-1-ol;CCC(C)CO
6;InChIKey=XCIXKGXIYUWCLL-UHFFFAOYSA-N;72;Cyclopentanol;OC1CCCC1
7;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;68;Butane-1,4-diol;OCCCCO
8;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;65;Pentan-3-ol;CCC(O)CC
9;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;61;2,2-dimethylpropan-1-ol;CC(C)(C)CO
10;InChIKey=CJGXJKVMUHXVHL-UHFFFAOYSA-N;57;2,2-dimethylpropylbenzene;CC(C)(C)Cc1ccccc1
11;InChIKey=CDOYZTOFTGTGBC-UHFFFAOYSA-N;54;1-tert-butyl-4-phenylbenzene;CC(C)(C)c1ccc(cc1)c2ccccc2
12;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;54;oxidane;O
13;InChIKey=XXMIOPMDWAUFGU-UHFFFAOYSA-N;51;HEXANE-1,6-DIOL;OCCCCCCO
14;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;49;Butan-1-ol;CCCCO
15;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;47;Ethane-1,2-diol;OCCO
16;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;47;pentan-2-ol;CCCC(C)O
17;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;47;Propane-1,3-diol;OCCCO
18;InChIKey=ALQSHHUCVQOPAS-UHFFFAOYSA-N;42;Pentane-1,5-diol;OCCCCCO
19;InChIKey=SXCBDZAEHILGLM-UHFFFAOYSA-N;41;Heptane-1,7-diol;OCCCCCCCO
20;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;39;HEPTANE;CCCCCCC
21;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;38;DECAN-1-OL;CCCCCCCCCCO
22;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;31;butane-1,2-diol;CCC(O)CO
23;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;30;3-Methylbutan-2-ol;CC(C)C(C)O
24;InChIKey=ALVZNPYWJMLXKV-UHFFFAOYSA-N;24;nonane-1,9-diol;OCCCCCCCCCO
25;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;21;Cyclohexane;C1CCCCC1
26;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;18;Propan-1-ol;CCCO
27;InChIKey=SZXQTJUDPRGNJN-UHFFFAOYSA-N;18;3-(3-hydroxypropoxy)propan-1-ol;OCCCOCCCO
28;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;17;;OC[C@H](O)[C@H](O)[C@H](O)CO
29;InChIKey=REZBJCUQELMZBL-UHFFFAOYSA-N;14;1-tert-butyl-4-(phenoxy)benzene;CC(C)(C)c1ccc(Oc2ccccc2)cc1
30;InChIKey=OEIJHBUUFURJLI-UHFFFAOYSA-N;14;Octane-1,8-diol;OCCCCCCCCO
31;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;12;OCTAN-1-OL;CCCCCCCCO
32;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;12;PROPANE-1,2-DIOL;CC(O)CO
33;InChIKey=PRAKJMSDJKAYCZ-UHFFFAOYSA-N;12;2,6,10,15,19,23-Hexamethyltetracosane;CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
34;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;12;;CC(O)C(C)O
35;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;11;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
36;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;11;octane;CCCCCCCC
37;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;11;1,2-Bis(2-methoxyethoxy)ethane;COCCOCCOCCOC
38;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;10;2-Methylheptane;CCCCCC(C)C
39;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;8;HEXAN-1-OL;CCCCCCO
40;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;8;2-Methyloxolane;CC1CCCO1
41;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;8;Decane;CCCCCCCCCC
42;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;8;Butane-1,3-diol;CC(O)CCO
