;InChI;Count;Component;SMILES
1;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;88;2-Methylbutan-2-ol;CCC(C)(C)O
2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;86;ethanol;CCO
3;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;81;Methoxymethane;COC
4;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;75;methanol;CO
5;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;73;2-Methylbutan-1-ol;CCC(C)CO
9;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;61;2,2-dimethylpropan-1-ol;CC(C)(C)CO
12;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;54;oxidane;O
14;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;49;Butan-1-ol;CCCCO
16;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;47;pentan-2-ol;CCCC(C)O
20;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;39;HEPTANE;CCCCCCC
23;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;30;3-Methylbutan-2-ol;CC(C)C(C)O
25;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;21;Cyclohexane;C1CCCCC1
26;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;18;Propan-1-ol;CCCO
35;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;11;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
38;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;10;2-Methylheptane;CCCCCC(C)C
39;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;8;HEXAN-1-OL;CCCCCCO
40;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;8;2-Methyloxolane;CC1CCCO1
46;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;6;Propan-2-ol;CC(C)O
68;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;1;heptan-2-ol;CCCCCC(C)O
