;InChI;Count;Component;SMILES
2;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;88;2-Methylbutan-2-ol;CCC(C)(C)O
3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;86;ethanol;CCO
4;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;81;Methoxymethane;COC
6;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;75;methanol;CO
7;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;73;2-Methylbutan-1-ol;CCC(C)CO
13;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;61;2,2-dimethylpropan-1-ol;CC(C)(C)CO
17;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;54;oxidane;O
21;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;49;Butan-1-ol;CCCCO
33;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;47;pentan-2-ol;CCCC(C)O
41;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;39;HEPTANE;CCCCCCC
61;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;30;3-Methylbutan-2-ol;CC(C)C(C)O
77;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;21;Cyclohexane;C1CCCCC1
84;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;18;Propan-1-ol;CCCO
121;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;11;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
125;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;10;2-Methylheptane;CCCCCC(C)C
127;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;8;2-Methyloxolane;CC1CCCO1
129;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;8;HEXAN-1-OL;CCCCCCO
139;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;6;Propan-2-ol;CC(C)O
175;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;1;heptan-2-ol;CCCCCC(C)O
