;InChI;Count;Component;SMILES
0;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;9289;Decane;CCCCCCCCCC
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1327;Butan-1-ol;CCCCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1254;HEPTANE;CCCCCCC
3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1169;ethanol;CCO
4;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;721;2-Methylpropan-1-ol;CC(C)CO
5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;664;HEXAN-1-OL;CCCCCCO
6;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;659;Propan-1-ol;CCCO
7;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;641;methylbenzene;Cc1ccccc1
8;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;634;oxidane;O
9;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;606;methanol;CO
10;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;396;Pentan-1-ol;CCCCCO
11;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;368;Cyclohexane;C1CCCCC1
12;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;357;Propan-2-ol;CC(C)O
13;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;356;OCTAN-1-OL;CCCCCCCCO
14;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;328;DECAN-1-OL;CCCCCCCCCCO
15;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;317;octane;CCCCCCCC
16;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;314;Ethane-1,2-diol;OCCO
17;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;313;Heptan-1-ol;CCCCCCCO
18;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;273;Nonane;CCCCCCCCC
19;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;272;PROPANE-1,2-DIOL;CC(O)CO
20;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;251;BENZENE;c1ccccc1
21;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;196;Hexane;CCCCCC
22;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;193;1,2-Dimethoxyethane;COCCOC
23;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;184;Nonan-1-ol;CCCCCCCCCO
24;InChIKey=PRAKJMSDJKAYCZ-UHFFFAOYSA-N;184;2,6,10,15,19,23-Hexamethyltetracosane;CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
25;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;157;butane-1,2-diol;CCC(O)CO
