;InChI;Count;Component;SMILES
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1327;Butan-1-ol;CCCCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1254;HEPTANE;CCCCCCC
3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1169;ethanol;CCO
4;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;721;2-Methylpropan-1-ol;CC(C)CO
5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;664;HEXAN-1-OL;CCCCCCO
6;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;659;Propan-1-ol;CCCO
8;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;634;oxidane;O
9;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;606;methanol;CO
10;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;396;Pentan-1-ol;CCCCCO
11;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;368;Cyclohexane;C1CCCCC1
12;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;357;Propan-2-ol;CC(C)O
21;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;196;Hexane;CCCCCC
26;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;154;hexan-2-ol;CCCCC(C)O
28;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;142;Methylcyclohexane;CC1CCCCC1
30;InChIKey=NKDDWNXOKDWJAK-UHFFFAOYSA-N;119;Dimethoxymethane;COCOC
36;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;108;Methoxymethane;COC
37;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;107;2-Methylheptane;CCCCCC(C)C
38;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;101;2,3-Dimethylbutane;CC(C)C(C)C
39;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;101;2,2-Dimethylbutane;CCC(C)(C)C
40;InChIKey=PFEOZHBOMNWTJB-UHFFFAOYSA-N;100;3-Methylpentane;CCC(C)CC
41;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;100;2-Methylpentane;CCCC(C)C
45;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;96;Oxolane;C1CCOC1
53;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;77;1,4-Dioxane;C1COCCO1
55;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;75;Butan-2-ol;CCC(C)O
57;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;65;2-Methylpropan-2-ol;CC(C)(C)O
59;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;61;Ethoxyethane;CCOCC
63;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;58;2-Methylpropane;CC(C)C
64;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;50;BUTANE;CCCC
65;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;47;2-propan-2-yloxypropane;CC(C)OC(C)C
66;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;45;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
73;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;37;2-Methylbutan-2-ol;CCC(C)(C)O
74;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;37;3-Methylbutan-1-ol;CC(C)CCO
76;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;35;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
77;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;35;2-Methoxyethanol;COCCO
78;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;32;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
80;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;28;2-Ethoxyethanol;CCOCCO
82;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;26;pentan-2-ol;CCCC(C)O
83;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;25;ETHANE;CC
91;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;18;Cyclopentane;C1CCCC1
97;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;15;Pentane;CCCCC
101;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;13;1,3-DIOXOLANE;C1COCO1
102;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;12;;C1CCCCCCC1
104;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;11;2-Methylbutan-1-ol;CCC(C)CO
105;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;11;heptan-2-ol;CCCCCC(C)O
108;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;10;2-Methyloxolane;CC1CCCO1
109;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;10;1-Propoxypropan-2-ol;CCCOCC(C)O
111;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;9;1-propoxypropane;CCCOCCC
115;InChIKey=PZHIWRCQKBBTOW-UHFFFAOYSA-N;8;1-ethoxybutane;CCCCOCC
137;InChIKey=JOLQKTGDSGKSKJ-UHFFFAOYSA-N;5;1-Ethoxypropan-2-ol;CCOCC(C)O
141;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;4;2-Propoxyethanol;CCCOCCO
143;InChIKey=DHKHKXVYLBGOIT-UHFFFAOYSA-N;3;1,1-Diethoxyethane;CCOC(C)OCC
148;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;3;2-Methoxy-2-methylbutane;CCC(C)(C)OC
151;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;3;Methylcyclopentane;CC1CCCC1
152;InChIKey=WVYWICLMDOOCFB-UHFFFAOYSA-N;3;4-Methylpentan-2-ol;CC(C)CC(C)O
153;InChIKey=WFRBDWRZVBPBDO-UHFFFAOYSA-N;3;2-Methylpentan-2-ol;CCCC(C)(C)O
154;InChIKey=PFNHSEQQEPMLNI-UHFFFAOYSA-N;3;2-Methylpentan-1-ol;CCCC(C)CO
163;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;1;2-propan-2-yloxyethanol;CC(C)OCCO
