;InChI;Count;Component;SMILES
2;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1328;Butan-1-ol;CCCCO
3;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1254;HEPTANE;CCCCCCC
4;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1172;ethanol;CCO
5;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;721;2-Methylpropan-1-ol;CC(C)CO
6;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;665;HEXAN-1-OL;CCCCCCO
7;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;660;Propan-1-ol;CCCO
9;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;638;oxidane;O
10;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;608;methanol;CO
12;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;397;Pentan-1-ol;CCCCCO
13;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;369;Cyclohexane;C1CCCCC1
14;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;360;Propan-2-ol;CC(C)O
26;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;197;Hexane;CCCCCC
39;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;154;hexan-2-ol;CCCCC(C)O
44;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;143;Methylcyclohexane;CC1CCCCC1
60;InChIKey=NKDDWNXOKDWJAK-UHFFFAOYSA-N;119;Dimethoxymethane;COCOC
74;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;108;Methoxymethane;COC
76;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;107;2-Methylheptane;CCCCCC(C)C
78;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;101;2,3-Dimethylbutane;CC(C)C(C)C
80;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;101;2,2-Dimethylbutane;CCC(C)(C)C
81;InChIKey=PFEOZHBOMNWTJB-UHFFFAOYSA-N;100;3-Methylpentane;CCC(C)CC
82;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;100;2-Methylpentane;CCCC(C)C
87;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;96;Oxolane;C1CCOC1
103;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;77;1,4-Dioxane;C1COCCO1
105;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;76;Butan-2-ol;CCC(C)O
111;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;66;2-Methylpropan-2-ol;CC(C)(C)O
115;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;61;Ethoxyethane;CCOCC
123;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;58;2-Methylpropane;CC(C)C
127;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;50;BUTANE;CCCC
130;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;47;2-propan-2-yloxypropane;CC(C)OC(C)C
132;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;46;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
144;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;37;3-Methylbutan-1-ol;CC(C)CCO
146;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;37;2-Methylbutan-2-ol;CCC(C)(C)O
147;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;35;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
149;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;35;2-Methoxyethanol;COCCO
155;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;32;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
164;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;28;2-Ethoxyethanol;CCOCCO
170;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;26;pentan-2-ol;CCCC(C)O
171;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;25;ETHANE;CC
206;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;18;Cyclopentane;C1CCCC1
227;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;15;Pentane;CCCCC
251;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;13;1,3-DIOXOLANE;C1COCO1
270;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;12;;C1CCCCCCC1
272;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;11;heptan-2-ol;CCCCCC(C)O
279;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;11;2-Methylbutan-1-ol;CCC(C)CO
287;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;10;1-Propoxypropan-2-ol;CCCOCC(C)O
299;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;10;2-Methyloxolane;CC1CCCO1
302;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;9;1-propoxypropane;CCCOCCC
323;InChIKey=PZHIWRCQKBBTOW-UHFFFAOYSA-N;8;1-ethoxybutane;CCCCOCC
378;InChIKey=JOLQKTGDSGKSKJ-UHFFFAOYSA-N;5;1-Ethoxypropan-2-ol;CCOCC(C)O
423;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;4;2-Propoxyethanol;CCCOCCO
434;InChIKey=PFNHSEQQEPMLNI-UHFFFAOYSA-N;3;2-Methylpentan-1-ol;CCCC(C)CO
447;InChIKey=DHKHKXVYLBGOIT-UHFFFAOYSA-N;3;1,1-Diethoxyethane;CCOC(C)OCC
448;InChIKey=WVYWICLMDOOCFB-UHFFFAOYSA-N;3;4-Methylpentan-2-ol;CC(C)CC(C)O
454;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;3;Methylcyclopentane;CC1CCCC1
455;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;3;2-Methoxy-2-methylbutane;CCC(C)(C)OC
461;InChIKey=WFRBDWRZVBPBDO-UHFFFAOYSA-N;3;2-Methylpentan-2-ol;CCCC(C)(C)O
569;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;1;2-propan-2-yloxyethanol;CC(C)OCCO
