;InChI;Count;Component;SMILES
0;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;145;Methoxymethane;COC
1;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;51;methylbenzene;Cc1ccccc1
2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;31;oxidane;O
3;InChIKey=VFTFKUDGYRBSAL-UHFFFAOYSA-N;25;1,4,7,10,13-PENTAOXACYCLOPENTADECANE;C1COCCOCCOCCOCCO1
4;InChIKey=XQQZRZQVBFHBHL-UHFFFAOYSA-N;24;1,4,7,10-TETRAOXACYCLODODECANE;C1COCCOCCOCCO1
5;InChIKey=XEZNGIUYQVAUSS-UHFFFAOYSA-N;16;1,4,7,10,13,16-HEXAOXACYCLOOCTADECANE;C1COCCOCCOCCOCCOCCO1
6;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;11;Butan-1-ol;CCCCO
7;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;10;Pentan-1-ol;CCCCCO
8;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;9;1,2-Dimethoxyethane;COCCOC
9;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;9;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
10;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;8;ethanol;CCO
11;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;8;1,2-Bis(2-methoxyethoxy)ethane;COCCOCCOCCOC
12;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;8;octane;CCCCCCCC
13;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;7;methanol;CO
14;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;7;Propan-1-ol;CCCO
15;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;6;PROPANE-1,2-DIOL;CC(O)CO
16;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;6;1-(2-methoxyethoxy)-2-[2-(2-methoxyethoxy)ethoxy]ethane;COCCOCCOCCOCCOC
17;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;6;Nonane;CCCCCCCCC
18;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;5;2-Methylpropan-1-ol;CC(C)CO
19;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;5;Propan-2-ol;CC(C)O
20;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;5;1-Butoxybutane;CCCCOCCCC
21;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;3;2-Propoxyethanol;CCCOCCO
22;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;3;HEPTANE;CCCCCCC
23;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;3;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
24;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;3;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
25;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;3;1,4-Dioxane;C1COCCO1
26;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;3;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol;OCCOCCOCCOCCO
27;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;3;2-Ethylhexan-1-ol;CCCCC(CC)CO
28;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;2;HEXAN-1-OL;CCCCCCO
29;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;2;OCTAN-1-OL;CCCCCCCCO
30;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;2;PROPANE-1,2,3-TRIOL;OCC(O)CO
31;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;2;Heptan-1-ol;CCCCCCCO
32;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;1;Ethane-1,2-diol;OCCO
