;InChI;Count;Component;SMILES
0;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;145;Methoxymethane;COC
2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;31;oxidane;O
6;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;11;Butan-1-ol;CCCCO
7;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;10;Pentan-1-ol;CCCCCO
10;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;8;ethanol;CCO
13;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;7;methanol;CO
14;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;7;Propan-1-ol;CCCO
18;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;5;2-Methylpropan-1-ol;CC(C)CO
19;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;5;Propan-2-ol;CC(C)O
21;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;3;2-Propoxyethanol;CCCOCCO
22;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;3;HEPTANE;CCCCCCC
25;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;3;1,4-Dioxane;C1COCCO1
28;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;2;HEXAN-1-OL;CCCCCCO
