;InChI;Count;Component;SMILES
0;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;145;Methoxymethane;COC
1;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;51;methylbenzene;Cc1ccccc1
2;InChIKey=LLEVMYXEJUDBTA-UHFFFAOYSA-N;34;Heptanedinitrile;N#CCCCCCC#N
3;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;31;oxidane;O
4;InChIKey=ZTOMUSMDRMJOTH-UHFFFAOYSA-N;30;Pentanedinitrile;N#CCCCC#N
5;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;26;CYCLOBUTANONE;O=C1CCC1
6;InChIKey=CGZZMOTZOONQIA-UHFFFAOYSA-N;26;Cycloheptanone;O=C1CCCCCC1
7;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;26;Cyclohexanone;O=C1CCCCC1
8;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;26;Cyclopentanone;O=C1CCCC1
9;InChIKey=BTNXBLUGMAMSSH-UHFFFAOYSA-N;25;['octa-2,4,6-triynedinitrile', 'Octanedinitrile'];N#CCCCCCCC#N
10;InChIKey=VFTFKUDGYRBSAL-UHFFFAOYSA-N;25;1,4,7,10,13-PENTAOXACYCLOPENTADECANE;C1COCCOCCOCCOCCO1
11;InChIKey=XQQZRZQVBFHBHL-UHFFFAOYSA-N;24;1,4,7,10-TETRAOXACYCLODODECANE;C1COCCOCCOCCO1
12;InChIKey=IAZDPXIOMUYVGZ-UHFFFAOYSA-N;22;Methylsulfinylmethane;C[S](C)=O
13;InChIKey=IIRFCWANHMSDCG-UHFFFAOYSA-N;18;Cyclooctanone;O=C1CCCCCCC1
14;InChIKey=IAHFWCOBPZCAEA-UHFFFAOYSA-N;17;Butanedinitrile;N#CCCC#N
15;InChIKey=XEZNGIUYQVAUSS-UHFFFAOYSA-N;16;1,4,7,10,13,16-HEXAOXACYCLOOCTADECANE;C1COCCOCCOCCOCCOCCO1
16;InChIKey=CRVGTESFCCXCTH-UHFFFAOYSA-N;14;2-(2-hydroxyethyl-methylamino)ethanol;CN(CCO)CCO
17;InChIKey=FXHOOIRPVKKKFG-UHFFFAOYSA-N;12;N,N-Dimethylacetamide;CN(C)C(C)=O
18;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;11;Butan-1-ol;CCCCO
19;InChIKey=OHLUUHNLEMFGTQ-UHFFFAOYSA-N;10;N-Methylacetamide;CNC(C)=O
20;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;10;Pentan-1-ol;CCCCCO
21;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;9;1,2-Dimethoxyethane;COCCOC
22;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;9;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
23;InChIKey=HXJUTPCZVOIRIF-UHFFFAOYSA-N;8;thiolane 1,1-dioxide;O=[S]1(=O)CCCC1
24;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;8;1,2-Bis(2-methoxyethoxy)ethane;COCCOCCOCCOC
25;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;8;octane;CCCCCCCC
26;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;8;ethanol;CCO
27;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;7;methanol;CO
28;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;7;Propan-1-ol;CCCO
29;InChIKey=GSEJCLTVZPLZKY-UHFFFAOYSA-N;6;['2-(bis(2-hydroxyethynyl)amino)ethynol', '2-(bis(2-hydroxyethyl)amino)ethanol'];OCCN(CCO)CCO
30;InChIKey=ZBCBWPMODOFKDW-UHFFFAOYSA-N;6;2-(2-Hydroxyethylamino)ethanol;OCCNCCO
31;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;6;Nonane;CCCCCCCCC
32;InChIKey=CBTVGIZVANVGBH-UHFFFAOYSA-N;6;2-Amino-2-methylpropan-1-ol;CC(C)(N)CO
33;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;6;PROPANE-1,2-DIOL;CC(O)CO
