;InChI;Count;Component;SMILES
0;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;235;methylbenzene;Cc1ccccc1
1;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;183;oxidane;O
2;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;142;methanol;CO
3;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;132;HEPTANE;CCCCCCC
4;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;101;DECAN-1-OL;CCCCCCCCCCO
5;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;93;Hexane;CCCCCC
6;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;91;ethanol;CCO
7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;85;Butan-1-ol;CCCCO
8;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;81;Nonane;CCCCCCCCC
9;InChIKey=XKIRHOWVQWCYBT-UHFFFAOYSA-N;80;3-Ethylpentan-3-ol;CCC(O)(CC)CC
10;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;80;Pentan-3-ol;CCC(O)CC
11;InChIKey=FRDAATYAJDYRNW-UHFFFAOYSA-N;80;3-Methylpentan-3-ol;CCC(C)(O)CC
12;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;78;Pentan-1-ol;CCCCCO
13;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;78;Propan-1-ol;CCCO
14;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;78;OCTAN-1-OL;CCCCCCCCO
15;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;77;Heptan-1-ol;CCCCCCCO
16;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;71;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
17;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;70;1,2-Dimethoxyethane;COCCOC
18;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;64;HEXAN-1-OL;CCCCCCO
19;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;63;Butane-1,3-diol;CC(O)CCO
20;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;62;Nonan-1-ol;CCCCCCCCCO
21;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;60;butane-1,2-diol;CCC(O)CO
22;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;56;Propane-1,3-diol;OCCCO
23;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;55;Cyclohexane;C1CCCCC1
24;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;53;Propan-2-ol;CC(C)O
25;InChIKey=SNRUBQQJIBEYMU-UHFFFAOYSA-N;53;Dodecane;CCCCCCCCCCCC
26;InChIKey=XXMIOPMDWAUFGU-UHFFFAOYSA-N;49;HEXANE-1,6-DIOL;OCCCCCCO
27;InChIKey=TZYRSLHNPKPEFV-UHFFFAOYSA-N;48;2-Ethylbutan-1-ol;CCC(CC)CO
28;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;46;Butane-1,4-diol;OCCCCO
