;InChI;Count;Component;SMILES
1;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;183;oxidane;O
2;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;142;methanol;CO
3;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;132;HEPTANE;CCCCCCC
5;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;93;Hexane;CCCCCC
6;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;91;ethanol;CCO
7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;85;Butan-1-ol;CCCCO
12;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;78;Pentan-1-ol;CCCCCO
13;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;78;Propan-1-ol;CCCO
18;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;64;HEXAN-1-OL;CCCCCCO
23;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;55;Cyclohexane;C1CCCCC1
24;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;53;Propan-2-ol;CC(C)O
30;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;43;2-Methylbutan-1-ol;CCC(C)CO
32;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;43;Oxolane;C1CCOC1
34;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;43;2-Methylbutan-2-ol;CCC(C)(C)O
37;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;32;1,4-Dioxane;C1COCCO1
43;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;24;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
45;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;22;2-propan-2-yloxypropane;CC(C)OC(C)C
47;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;19;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
49;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;16;2-Methylpropan-2-ol;CC(C)(C)O
50;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;15;2-Methylpropan-1-ol;CC(C)CO
51;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;15;Cyclopentane;C1CCCC1
55;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;13;Butan-2-ol;CCC(C)O
57;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;12;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
61;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;11;2-Ethoxyethanol;CCOCCO
63;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;11;1,3-DIOXOLANE;C1COCO1
65;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;10;2-Methoxyethanol;COCCO
66;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;10;1-Propoxypropan-2-ol;CCCOCC(C)O
69;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;8;Methylcyclohexane;CC1CCCCC1
71;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;6;pentan-2-ol;CCCC(C)O
85;InChIKey=JOLQKTGDSGKSKJ-UHFFFAOYSA-N;5;1-Ethoxypropan-2-ol;CCOCC(C)O
98;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;4;3-Methylbutan-1-ol;CC(C)CCO
99;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;4;2-Methyloxolane;CC1CCCO1
101;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;4;;C1CCCCCCC1
102;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;3;Methylcyclopentane;CC1CCCC1
109;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;2;hexan-2-ol;CCCCC(C)O
110;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;2;heptan-2-ol;CCCCCC(C)O
114;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;1;2-Methoxy-2-methylbutane;CCC(C)(C)OC
117;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;1;2-propan-2-yloxyethanol;CC(C)OCCO
119;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;1;Ethoxyethane;CCOCC
