;InChI;Count;Component;SMILES
0;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;235;methylbenzene;Cc1ccccc1
1;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;183;oxidane;O
2;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;142;methanol;CO
3;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;132;HEPTANE;CCCCCCC
4;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;124;propan-2-one;CC(C)=O
5;InChIKey=RGXWDWUGBIJHDO-UHFFFAOYSA-N;108;Ethyl decanoate;CCCCCCCCCC(=O)OCC
6;InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N;101;DECAN-1-OL;CCCCCCCCCCO
7;InChIKey=GQEZCXVZFLOKMC-UHFFFAOYSA-N;100;hexadec-1-ene;CCCCCCCCCCCCCCC=C
8;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;93;Hexane;CCCCCC
9;InChIKey=SECXISVLQFMRJM-UHFFFAOYSA-N;92;1-methylpyrrolidin-2-one;CN1CCCC1=O
10;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;91;ethanol;CCO
11;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;85;Butan-1-ol;CCCCO
12;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;81;Nonane;CCCCCCCCC
13;InChIKey=XKIRHOWVQWCYBT-UHFFFAOYSA-N;80;3-Ethylpentan-3-ol;CCC(O)(CC)CC
14;InChIKey=FRDAATYAJDYRNW-UHFFFAOYSA-N;80;3-Methylpentan-3-ol;CCC(C)(O)CC
15;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;80;Pentan-3-ol;CCC(O)CC
16;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;78;OCTAN-1-OL;CCCCCCCCO
17;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;78;Pentan-1-ol;CCCCCO
18;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;78;Propan-1-ol;CCCO
19;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;77;Heptan-1-ol;CCCCCCCO
20;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;71;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
21;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;70;1,2-Dimethoxyethane;COCCOC
22;InChIKey=MLRVZFYXUZQSRU-UHFFFAOYSA-N;66;1-CHLOROHEXANE;CCCCCCCl
23;InChIKey=ANOOTOPTCJRUPK-UHFFFAOYSA-N;66;1-Iodohexane;CCCCCCI
24;InChIKey=YRHYCMZPEVDGFQ-UHFFFAOYSA-N;64;Methyl decanoate;CCCCCCCCCC(=O)OC
25;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;64;HEXAN-1-OL;CCCCCCO
26;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;63;Butane-1,3-diol;CC(O)CCO
27;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;62;Nonan-1-ol;CCCCCCCCCO
