;Filename;Count
0;je800110r;8773
1;je5010214;1866
2;j.jct.2011.10.023;1131
3;je8006875;560
4;je400055v;497
5;j.fluid.2012.11.013;400
6;je700145e;393
7;j.tca.2015.08.013;385
8;cs.jced.5b00051;374
9;j.jct.2010.08.010;362
10;j.jct.2012.08.014;351
11;je049973v;318
12;j.fluid.2007.04.023;300
13;je301283e;294
14;je034036t;280
15;je800356x;271
16;je0502849;270
17;je060411g;269
18;j.jct.2007.05.007;264
19;je049929f;252
20;j.jct.2008.02.020;246
21;j.jct.2005.10.002;240
22;je7004374;232
23;j.jct.2011.08.012;226
24;j.jct.2013.05.051;216
25;j.jct.2011.08.016;213
26;s10765-007-0223-x;205
27;je0604378;204
28;j.jct.2011.02.008;196
29;je4001697;194
30;cs.jced.5b00662;188
31;cs.jced.5b00152;185
32;j.fluid.2006.05.032;182
33;je0500936;182
34;j.jct.2004.10.001;182
35;je400274f;180
36;j.tca.2014.10.002;180
37;je049580w;180
38;j.jct.2007.11.009;176
39;je0340304;168
40;j.jct.2015.10.006;165
41;j.jct.2008.10.010;163
42;j.jct.2010.03.022;160
43;je400783h;158
44;je101361u;153
45;j.fluid.2008.03.004;150
46;je700261b;150
47;je060154f;150
48;j.jct.2008.12.014;150
49;je7003929;150
50;cs.jced.5b00613;149
51;je8009418;148
52;je050020m;148
53;j.jct.2010.05.002;148
54;j.jct.2006.07.009;147
55;je060283w;145
56;j.jct.2005.03.016;144
57;je034056v;144
58;s10765-006-0110-x;140
59;je800998u;139
60;j.jct.2012.03.013;136
61;je034218n;128
62;je049893r;128
63;j.jct.2014.08.023;126
64;j.jct.2015.05.027;126
65;j.jct.2012.09.027;122
66;j.tca.2014.03.043;122
67;je6005778;121
68;je501065g;116
69;s10765-008-0503-0;114
70;s10765-008-0485-y;114
71;j.jct.2012.05.016;110
72;j.fluid.2008.06.007;110
73;j.fluid.2012.02.007;110
74;j.jct.2011.04.011;108
75;je8005369;108
76;j.jct.2008.05.014;107
77;je025606c;105
78;je900414p;104
79;je4003256;102
80;j.tca.2015.06.017;100
81;je050135q;96
82;je501106d;96
83;j.jct.2005.02.003;92
84;je0605036;90
85;j.jct.2011.01.014;90
86;je034101z;90
87;je049662k;90
88;je800417q;89
89;j.jct.2005.09.003;88
90;j.fluid.2007.04.030;88
91;j.jct.2004.10.011;88
92;je800024u;88
93;je800244q;88
94;j.jct.2005.05.019;86
95;j.jct.2008.12.020;84
96;je030136n;81
97;je500512f;81
98;je0342320;80
99;j.jct.2004.06.009;79
100;je5009334;79
101;j.fluid.2006.12.011;78
102;j.jct.2012.07.018;77
103;je500062a;75
104;je900105g;74
105;j.jct.2007.03.012;74
106;j.fluid.2005.07.009;72
107;j.jct.2005.03.006;69
108;j.jct.2011.12.010;69
109;j.jct.2007.04.011;69
110;je700188w;68
111;je300234g;65
112;je100927m;65
113;j.tca.2006.10.025;63
114;s10765-009-0607-1;61
115;j.jct.2012.10.002;60
116;j.jct.2007.05.011;60
117;j.jct.2012.02.001;60
118;j.fluid.2014.06.005;60
119;j.fluid.2008.06.014;60
120;je101286a;60
121;j.jct.2004.09.007;60
122;je034005y;60
123;s10765-006-0079-5;59
124;je300148f;59
125;cs.jced.5b00790;57
126;je800012v;56
127;je0499768;56
128;je0340755;55
129;j.jct.2008.08.003;55
130;j.jct.2007.05.005;54
131;j.jct.2005.10.009;54
132;j.jct.2012.12.003;53
133;j.fluid.2013.08.007;52
134;j.jct.2008.09.018;52
135;s10765-006-0053-2;51
136;j.fluid.2013.06.041;50
137;j.jct.2012.10.025;50
138;je7006692;50
139;j.jct.2008.01.015;50
140;j.jct.2010.01.003;48
141;je700428f;48
142;je100581m;48
143;je049685z;48
144;je0503296;47
145;je600554h;46
146;j.jct.2011.06.013;46
147;j.jct.2014.09.020;45
148;j.fluid.2008.03.009;45
149;j.jct.2005.05.003;45
150;j.jct.2005.02.004;45
151;je900922x;44
152;je200668a;44
153;j.jct.2014.01.020;44
154;j.jct.2012.09.009;42
155;je5007604;42
156;je5007532;42
157;j.fluid.2006.03.015;42
158;s10765-010-0768-y;42
159;j.jct.2008.04.003;42
160;je7006549;42
161;j.jct.2006.09.014;42
162;je2013473;41
163;j.jct.2005.03.012;41
164;j.fluid.2013.11.031;40
165;je060353z;40
166;je060496l;40
167;j.jct.2005.05.020;40
168;je300789a;40
169;je5005752;40
170;cs.jced.5b00031;40
171;je5010164;40
172;je100577v;40
173;j.fluid.2010.08.014;39
174;je5005643;38
175;j.fluid.2011.11.022;38
176;je200373q;38
177;je100734t;37
178;j.jct.2012.09.026;37
179;j.tca.2011.08.002;37
180;j.jct.2004.12.010;36
181;je400529k;36
182;j.jct.2014.01.030;36
183;je020140j;36
184;je800593p;36
185;je901020a;36
186;j.jct.2012.09.015;36
187;je7001804;36
188;j.fluid.2014.06.024;36
189;j.jct.2008.09.006;36
190;je4004806;35
191;je049663c;33
192;j.tca.2014.01.027;33
193;s10765-006-0088-4;33
194;j.jct.2009.06.023;33
195;s10765-015-1980-6;32
196;j.jct.2011.06.019;32
197;j.jct.2014.07.023;32
198;je100652b;32
199;j.fluid.2014.04.002;32
200;j.jct.2012.11.032;32
201;j.jct.2012.11.007;32
202;je700499d;32
203;cs.jced.5b00838;32
204;j.jct.2012.06.031;32
205;j.jct.2005.03.024;32
206;je034177v;31
207;je400149j;31
208;j.jct.2013.11.027;31
209;je060200b;31
210;je900048r;31
211;j.jct.2010.09.008;30
212;s10765-006-0063-0;30
213;j.tca.2012.05.004;30
214;je500977g;30
215;j.tca.2012.05.036;30
216;je100362p;30
217;je100089s;30
218;j.jct.2013.08.013;30
219;j.tca.2009.01.008;30
220;j.tca.2010.05.012;30
221;je034022n;30
222;j.jct.2011.10.027;30
223;j.jct.2007.02.002;30
224;je501041r;30
225;j.jct.2012.11.011;30
226;je100353j;30
227;j.jct.2012.02.007;30
228;j.fluid.2011.06.011;30
229;j.jct.2006.06.008;30
230;cs.jced.5b00049;30
231;j.jct.2007.02.008;30
232;je501141e;30
233;j.tca.2012.04.002;28
234;je050416y;28
235;j.tca.2011.07.023;28
236;j.jct.2007.10.010;28
237;j.jct.2014.04.022;28
238;je401124t;28
239;je100100n;28
240;j.tca.2012.08.011;28
241;cs.jced.5b00009;28
242;j.jct.2006.03.018;28
243;j.jct.2006.02.001;28
244;j.jct.2005.06.011;28
245;j.jct.2012.11.027;28
246;j.jct.2012.01.008;27
247;je0600808;27
248;cs.jced.5b00789;27
249;je050200w;26
250;je900722m;26
251;je500498m;26
252;j.jct.2013.08.033;26
253;j.tca.2005.10.008;25
254;j.jct.2010.12.009;25
255;je049776w;25
256;j.jct.2014.06.023;25
257;j.jct.2007.05.016;25
258;je034208m;25
259;j.tca.2013.07.012;25
260;j.jct.2010.06.011;25
261;j.jct.2012.01.013;25
262;j.tca.2014.03.042;25
263;je050540h;24
264;je101358p;24
265;s10765-007-0204-0;24
266;je0201323;24
267;je700281z;24
268;je900689m;24
269;j.jct.2005.12.005;24
270;j.jct.2006.09.017;24
271;j.fluid.2014.11.005;24
272;j.jct.2013.09.024;24
273;j.jct.2007.09.004;24
274;je7005727;24
275;je5004719;24
276;je901043q;24
277;je0301794;24
278;j.jct.2013.05.009;24
279;j.jct.2013.10.018;24
280;j.jct.2012.10.023;24
281;je400512u;24
282;j.jct.2011.12.002;24
283;je400539h;24
284;je0340248;24
285;j.jct.2013.01.032;24
286;j.jct.2006.09.007;24
287;j.jct.2012.05.023;24
288;j.jct.2012.12.007;24
289;j.jct.2008.06.001;24
290;je9006597;24
291;j.jct.2008.02.005;24
292;j.tca.2013.03.025;24
293;j.jct.2009.01.008;24
294;j.jct.2008.07.005;24
295;j.fluid.2007.07.016;24
296;je0497810;24
297;je200504u;24
298;j.fluid.2009.11.030;24
299;je900468u;23
300;j.fluid.2007.09.028;23
301;j.tca.2012.01.007;23
302;j.jct.2015.06.009;23
303;j.jct.2006.11.003;23
304;je0497496;23
305;je200609g;22
306;je400839x;22
307;je100832h;22
308;j.fluid.2008.02.008;22
309;je800150h;22
310;je600557n;22
311;j.tca.2009.11.011;22
312;je900732r;22
313;je5008789;22
314;je3011979;22
315;je700021f;22
316;je049738c;22
317;je050414d;21
318;je7002513;21
319;j.jct.2005.03.019;21
320;j.jct.2004.08.003;21
321;j.fluid.2014.03.017;21
322;je060307z;21
323;j.jct.2004.09.021;21
324;j.jct.2012.10.008;21
325;j.tca.2013.12.021;20
326;je0500734;20
327;j.jct.2007.11.010;20
328;je060179e;20
329;j.tca.2011.05.006;20
